Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,2,334,274,394,394,394,274,394,0.00%,2.24467,3.95,3.03
TR_perfuserb_MasterPOPlan_PageLoad,1,265,265,265,265,265,265,265,0.00%,2.73224,4.81,3.69
TR_perfusera_MasterPOPlan_FillData,2,293,287,299,299,299,287,299,0.00%,2.15285,13.59,6.07
TR_perfuserc_MasterPOPlan_PageLoad,1,277,277,277,277,277,277,277,0.00%,2.59067,4.56,3.5
TR_perfuserb_MasterPOPlan_FillData,1,324,324,324,324,324,324,324,0.00%,1.85529,11.71,5.23
TR_perfusera_MasterPOPlan_Search_ButtonClick,2,128,125,132,132,132,125,132,0.00%,3.02572,3.73,4.51
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,133,133,133,133,133,133,133,0.00%,4.14938,5.12,6.18
TR_perfuserc_MasterPOPlan_FillData,1,328,328,328,328,328,328,328,0.00%,1.74825,11.03,4.93
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,120,120,120,120,120,120,120,0.00%,4.31034,5.32,6.42
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,2,752,738,766,766,766,738,766,0.00%,1.05263,26.88,9.92
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,733,733,733,733,733,733,733,0.00%,0.68213,17.42,6.43
TR_perfusera_OperationRouting_Save_ButtonClick,2,211,208,214,214,214,208,214,0.00%,2.39808,5.55,7.06
TR_perfuserb_OperationRouting_Save_ButtonClick,1,211,211,211,211,211,211,211,0.00%,2.22717,5.15,6.56
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,727,727,727,727,727,727,727,0.00%,0.68166,17.41,6.42
TR_perfusera_JobPreference_PageLoad,2,245,243,247,247,247,243,247,0.00%,2.32019,17.62,6.61
TR_perfuserb_JobPreference_PageLoad,1,252,252,252,252,252,252,252,0.00%,2.05339,15.59,5.85
TR_perfuserc_OperationRouting_Save_ButtonClick,1,213,213,213,213,213,213,213,0.00%,2.27273,5.26,6.69
TR_perfusera_JobPreference_Save_ButtonClick,2,290,284,296,296,296,284,296,0.00%,2.13447,5.43,6.36
TR_perfuserc_JobPreference_PageLoad,1,230,230,230,230,230,230,230,0.00%,2.1978,16.69,6.26
TR_perfuserb_JobPreference_Save_ButtonClick,1,275,275,275,275,275,275,275,0.00%,1.95695,4.98,5.83
TR_perfuserc_JobPreference_Save_ButtonClick,1,256,256,256,256,256,256,256,0.00%,2.08768,5.31,6.22
TR_perfusera_AddAdditionalQty_PageLoad,2,360,350,370,370,370,350,370,0.00%,1.76523,19.01,7.43
TR_perfuserb_AddAdditionalQty_PageLoad,1,360,360,360,360,360,360,360,0.00%,1.41443,15.23,5.96
TR_perfuserc_AddAdditionalQty_PageLoad,1,363,363,363,363,363,363,363,0.00%,1.3986,15.06,5.89
