Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,340,340,340,340,340,340,340,0.000%,2.32019,4.07,3.13
TR_perfuserb_MasterPOPlan_PageLoad,1,275,275,275,275,275,275,275,0.000%,2.66667,4.67,3.60
TR_perfuserc_MasterPOPlan_PageLoad,1,291,291,291,291,291,291,291,0.000%,2.47525,4.34,3.34
TR_perfuserd_MasterPOPlan_PageLoad,1,329,329,329,329,329,329,329,0.000%,2.32558,4.08,3.14
TR_perfusera_MasterPOPlan_FillData,1,585,585,585,585,585,585,585,0.000%,1.24224,7.82,3.50
TR_perfuserb_MasterPOPlan_FillData,1,535,535,535,535,535,535,535,0.000%,1.32979,8.37,3.75
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,182,182,182,182,182,182,182,0.000%,3.30033,4.05,4.92
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,129,129,129,129,129,129,129,0.000%,4.18410,5.13,6.24
TR_perfuserc_MasterPOPlan_FillData,1,600,600,600,600,600,600,600,0.000%,1.20773,7.60,3.40
TR_perfuserd_MasterPOPlan_FillData,1,520,520,520,520,520,520,520,0.000%,1.34590,8.47,3.79
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,132,132,132,132,132,132,132,0.000%,3.95257,4.85,5.89
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,134,134,134,134,134,134,134,0.000%,4.06504,4.99,6.06
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,811,811,811,811,811,811,811,0.000%,.63857,16.28,6.02
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,906,906,906,906,906,906,906,0.000%,.61425,15.66,5.79
TR_perfusera_OperationRouting_Save_ButtonClick,1,273,273,273,273,273,273,273,0.000%,2.00401,4.59,5.90
TR_perfuserb_OperationRouting_Save_ButtonClick,1,254,254,254,254,254,254,254,0.000%,2.05761,4.71,6.06
