Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserl_MasterPOPlan_PageLoad,1,2283,2283,2283,2283,2283,2283,2283,0.000%,.41894,0.55,0.57
TR_perfuserm_MasterPOPlan_PageLoad,1,2231,2231,2231,2231,2231,2231,2231,0.000%,.42680,0.56,0.58
TR_perfusero_MasterPOPlan_PageLoad,1,2111,2111,2111,2111,2111,2111,2111,0.000%,.44984,0.59,0.61
TR_perfuserh_MasterPOPlan_PageLoad,1,2543,2543,2543,2543,2543,2543,2543,0.000%,.37580,0.50,0.51
TR_perfuserb_MasterPOPlan_PageLoad,1,2541,2541,2541,2541,2541,2541,2541,0.000%,.35537,0.46,0.48
TR_perfuseri_MasterPOPlan_PageLoad,1,2543,2543,2543,2543,2543,2543,2543,0.000%,.37807,0.50,0.52
TR_perfuserc_MasterPOPlan_PageLoad,1,2571,2571,2571,2571,2571,2571,2571,0.000%,.35537,0.47,0.48
TR_perfuserf_MasterPOPlan_PageLoad,1,2588,2588,2588,2588,2588,2588,2588,0.000%,.36298,0.48,0.50
TR_perfuserg_MasterPOPlan_PageLoad,1,2592,2592,2592,2592,2592,2592,2592,0.000%,.36324,0.48,0.50
TR_perfuserk_MasterPOPlan_PageLoad,1,2466,2466,2466,2466,2466,2466,2466,0.000%,.38865,0.51,0.53
TR_perfusera_MasterPOPlan_PageLoad,1,2600,2600,2600,2600,2600,2600,2600,0.000%,.33478,0.44,0.46
TR_perfusere_MasterPOPlan_PageLoad,1,2613,2613,2613,2613,2613,2613,2613,0.000%,.35398,0.47,0.48
TR_perfuserd_MasterPOPlan_PageLoad,1,2637,2637,2637,2637,2637,2637,2637,0.000%,.34904,0.46,0.48
TR_perfuserj_MasterPOPlan_PageLoad,1,2536,2536,2536,2536,2536,2536,2536,0.000%,.37722,0.50,0.51
TR_perfusern_MasterPOPlan_PageLoad,1,2293,2293,2293,2293,2293,2293,2293,0.000%,.41511,0.54,0.57
TR_perfuserl_MasterPOPlan_FillData,1,720,720,720,720,720,720,720,0.000%,1.07527,6.75,3.06
TR_perfuserm_MasterPOPlan_FillData,1,723,723,723,723,723,723,723,0.000%,1.07296,6.72,3.05
TR_perfuserh_MasterPOPlan_FillData,1,711,711,711,711,711,711,711,0.000%,1.06157,6.65,3.02
TR_perfuserc_MasterPOPlan_FillData,1,696,696,696,696,696,696,696,0.000%,1.08932,6.86,3.10
TR_perfuserb_MasterPOPlan_FillData,1,753,753,753,753,753,753,753,0.000%,1.02881,6.48,2.93
TR_perfusero_MasterPOPlan_FillData,1,773,773,773,773,773,773,773,0.000%,.99701,6.26,2.84
TR_perfuseri_MasterPOPlan_FillData,1,840,840,840,840,840,840,840,0.000%,.94162,5.93,2.68
TR_perfuserf_MasterPOPlan_FillData,1,816,816,816,816,816,816,816,0.000%,.95785,6.01,2.73
TR_perfusera_MasterPOPlan_FillData,1,831,831,831,831,831,831,831,0.000%,.95694,6.03,2.72
TR_perfusere_MasterPOPlan_FillData,1,835,835,835,835,835,835,835,0.000%,.95420,6.01,2.72
TR_perfuserg_MasterPOPlan_FillData,1,858,858,858,858,858,858,858,0.000%,.92937,5.83,2.64
TR_perfuserk_MasterPOPlan_FillData,1,880,880,880,880,880,880,880,0.000%,.90090,5.67,2.56
TR_perfuserj_MasterPOPlan_FillData,1,849,849,849,849,849,849,849,0.000%,.92336,5.81,2.63
TR_perfusern_MasterPOPlan_FillData,1,953,953,953,953,953,953,953,0.000%,.85837,5.37,2.44
TR_perfuserd_MasterPOPlan_FillData,1,953,953,953,953,953,953,953,0.000%,.84746,5.34,2.41
