Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,569,569,569,569,569,569,569,0.000%,1.49477,2.62,2.04
TR_perfuserb_MasterPOPlan_PageLoad,1,309,309,309,309,309,309,309,0.000%,2.40964,4.22,3.29
TR_perfuserc_MasterPOPlan_PageLoad,1,280,280,280,280,280,280,280,0.000%,2.57732,4.52,3.52
TR_perfuserd_MasterPOPlan_PageLoad,1,267,267,267,267,267,267,267,0.000%,2.68817,4.71,3.68
TR_perfuserb_MasterPOPlan_FillData,1,312,312,312,312,312,312,312,0.000%,1.86567,11.75,5.32
TR_perfusera_MasterPOPlan_FillData,1,336,336,336,336,336,336,336,0.000%,1.74825,11.01,4.99
TR_perfuserc_MasterPOPlan_FillData,1,311,311,311,311,311,311,311,0.000%,1.84162,11.60,5.25
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,145,145,145,145,145,145,145,0.000%,3.92157,4.81,5.91
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,123,123,123,123,123,123,123,0.000%,4.16667,5.11,6.28
TR_perfuserd_MasterPOPlan_FillData,1,306,306,306,306,306,306,306,0.000%,1.81818,11.45,5.18
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,128,128,128,128,128,128,128,0.000%,4.18410,5.13,6.30
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,127,127,127,127,127,127,127,0.000%,4.09836,5.03,6.18
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,828,828,828,828,828,828,828,0.000%,.62422,16.56,5.95
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,824,824,824,824,824,824,824,0.000%,.62775,16.65,5.99
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,779,779,779,779,779,779,779,0.000%,.64309,17.06,6.13
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,753,753,753,753,753,753,753,0.000%,.64226,17.04,6.13
TR_perfuserb_OperationRouting_Save_ButtonClick,1,262,262,262,262,262,262,262,0.000%,2.08333,4.77,6.21
TR_perfusera_OperationRouting_Save_ButtonClick,1,243,243,243,243,243,243,243,0.000%,2.07469,4.75,6.18
TR_perfuserc_OperationRouting_Save_ButtonClick,1,259,259,259,259,259,259,259,0.000%,2.03252,4.65,6.05
TR_perfuserd_OperationRouting_Save_ButtonClick,1,246,246,246,246,246,246,246,0.000%,2.11864,4.85,6.31
TR_perfuserb_JobPreference_PageLoad,1,237,237,237,237,237,237,237,0.000%,2.21239,16.37,6.37
