Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,425,425,425,425,425,425,425,0.000%,1.94175,2.45,2.65
TR_perfuserb_MasterPOPlan_PageLoad,1,348,348,348,348,348,348,348,0.000%,2.22717,2.81,3.04
TR_perfuserd_MasterPOPlan_PageLoad,1,231,231,231,231,231,231,231,0.000%,3.00300,3.79,4.09
TR_perfuserc_MasterPOPlan_PageLoad,1,285,285,285,285,285,285,285,0.000%,2.57069,3.24,3.50
TR_perfusere_MasterPOPlan_PageLoad,1,229,229,229,229,229,229,229,0.000%,3.02115,3.81,4.12
TR_perfuserf_MasterPOPlan_PageLoad,1,254,254,254,254,254,254,254,0.000%,2.80899,3.54,3.83
TR_perfuserg_MasterPOPlan_PageLoad,1,218,218,218,218,218,218,218,0.000%,3.11526,3.93,4.25
TR_perfuserh_MasterPOPlan_PageLoad,1,248,248,248,248,248,248,248,0.000%,2.87356,3.62,3.92
TR_perfuserj_MasterPOPlan_PageLoad,1,212,212,212,212,212,212,212,0.000%,3.19489,4.03,4.36
TR_perfuseri_MasterPOPlan_PageLoad,1,282,282,282,282,282,282,282,0.000%,2.61097,3.29,3.56
TR_perfusera_MasterPOPlan_FillData,1,311,311,311,311,311,311,311,0.000%,1.90114,11.97,5.41
TR_perfuserc_MasterPOPlan_FillData,1,299,299,299,299,299,299,299,0.000%,2.00803,12.64,5.71
TR_perfuserk_MasterPOPlan_PageLoad,1,297,297,297,297,297,297,297,0.000%,2.45700,3.10,3.35
TR_perfuserb_MasterPOPlan_FillData,1,347,347,347,347,347,347,347,0.000%,1.76991,11.14,5.03
TR_perfuserd_MasterPOPlan_FillData,1,354,354,354,354,354,354,354,0.000%,1.74520,10.99,4.96
TR_perfusere_MasterPOPlan_FillData,1,337,337,337,337,337,337,337,0.000%,1.78253,11.22,5.07
TR_perfuserm_MasterPOPlan_PageLoad,1,246,246,246,246,246,246,246,0.000%,2.74725,3.46,3.75
TR_perfuserl_MasterPOPlan_PageLoad,1,278,278,278,278,278,278,278,0.000%,2.57732,3.25,3.51
TR_perfusern_MasterPOPlan_PageLoad,1,259,259,259,259,259,259,259,0.000%,2.71003,3.42,3.69
TR_perfuserg_MasterPOPlan_FillData,1,336,336,336,336,336,336,336,0.000%,1.79211,11.28,5.10
TR_perfuserf_MasterPOPlan_FillData,1,363,363,363,363,363,363,363,0.000%,1.69779,10.69,4.83
TR_perfusero_MasterPOPlan_PageLoad,1,248,248,248,248,248,248,248,0.000%,2.84091,3.58,3.87
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,189,189,189,189,189,189,189,0.000%,3.36700,4.13,5.06
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,179,179,179,179,179,179,179,0.000%,3.31126,4.06,4.98
TR_perfuserh_MasterPOPlan_FillData,1,331,331,331,331,331,331,331,0.000%,1.85874,11.70,5.29
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,165,165,165,165,165,165,165,0.000%,3.80228,4.66,5.71
TR_perfusere_MasterPOPlan_Search_ButtonClick,1,148,148,148,148,148,148,148,0.000%,3.89105,4.77,5.85
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,195,195,195,195,195,195,195,0.000%,3.35570,4.12,5.04
TR_perfuserj_MasterPOPlan_FillData,1,336,336,336,336,336,336,336,0.000%,1.77305,11.16,5.04
TR_perfuseri_MasterPOPlan_FillData,1,355,355,355,355,355,355,355,0.000%,1.75439,11.05,4.99
TR_perfuserf_MasterPOPlan_Search_ButtonClick,1,162,162,162,162,162,162,162,0.000%,3.73134,4.58,5.61
