Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserd_MasterPOPlan_PageLoad,1,572,572,572,572,572,572,572,0.000%,1.48368,1.96,2.02
TR_perfuserc_MasterPOPlan_PageLoad,1,642,642,642,642,642,642,642,0.000%,1.34409,1.78,1.83
TR_perfusera_MasterPOPlan_PageLoad,1,805,805,805,805,805,805,805,0.000%,1.11857,1.48,1.52
TR_perfusere_MasterPOPlan_PageLoad,1,513,513,513,513,513,513,513,0.000%,1.62866,2.15,2.22
TR_perfuserb_MasterPOPlan_PageLoad,1,930,930,930,930,930,930,930,0.000%,.96993,1.28,1.32
TR_perfuserk_MasterPOPlan_PageLoad,1,551,551,551,551,551,551,551,0.000%,1.50376,1.99,2.05
TR_perfuseri_MasterPOPlan_PageLoad,1,722,722,722,722,722,722,722,0.000%,1.20192,1.59,1.64
TR_perfuserm_MasterPOPlan_PageLoad,1,480,480,480,480,480,480,480,0.000%,1.68634,2.23,2.30
TR_perfusern_MasterPOPlan_PageLoad,1,442,442,442,442,442,442,442,0.000%,1.82815,2.42,2.49
TR_perfuserh_MasterPOPlan_PageLoad,1,773,773,773,773,773,773,773,0.000%,1.12740,1.49,1.54
TR_perfuserj_MasterPOPlan_PageLoad,1,698,698,698,698,698,698,698,0.000%,1.23305,1.63,1.68
TR_perfuserl_MasterPOPlan_PageLoad,1,606,606,606,606,606,606,606,0.000%,1.39082,1.84,1.90
TR_perfuserg_MasterPOPlan_PageLoad,1,882,882,882,882,882,882,882,0.000%,1.00503,1.33,1.37
TR_perfuserf_MasterPOPlan_PageLoad,1,952,952,952,952,952,952,952,0.000%,.93897,1.24,1.28
TR_perfusero_MasterPOPlan_PageLoad,1,446,446,446,446,446,446,446,0.000%,1.81818,2.40,2.48
TR_perfuserd_MasterPOPlan_FillData,1,568,568,568,568,568,568,568,0.000%,1.28535,8.09,3.66
TR_perfuserc_MasterPOPlan_FillData,1,563,563,563,563,563,563,563,0.000%,1.25000,7.87,3.55
TR_perfusera_MasterPOPlan_FillData,1,657,657,657,657,657,657,657,0.000%,1.13895,7.17,3.24
TR_perfusere_MasterPOPlan_FillData,1,610,610,610,610,610,610,610,0.000%,1.19048,7.50,3.39
TR_perfuserb_MasterPOPlan_FillData,1,666,666,666,666,666,666,666,0.000%,1.13379,7.14,3.22
TR_perfusern_MasterPOPlan_FillData,1,415,415,415,415,415,415,415,0.000%,1.56495,9.85,4.45
TR_perfuseri_MasterPOPlan_FillData,1,432,432,432,432,432,432,432,0.000%,1.51745,9.56,4.32
TR_perfuserk_MasterPOPlan_FillData,1,511,511,511,511,511,511,511,0.000%,1.36612,8.60,3.88
TR_perfuserm_MasterPOPlan_FillData,1,469,469,469,469,469,469,469,0.000%,1.44300,9.09,4.10
TR_perfuserl_MasterPOPlan_FillData,1,463,463,463,463,463,463,463,0.000%,1.46628,9.23,4.17
TR_perfuserh_MasterPOPlan_FillData,1,505,505,505,505,505,505,505,0.000%,1.37363,8.65,3.91
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,355,355,355,355,355,355,355,0.000%,2.10970,2.59,3.17
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,392,392,392,392,392,392,392,0.000%,2.00000,2.45,3.01
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,286,286,286,286,286,286,286,0.000%,2.57069,3.15,3.86
TR_perfusere_MasterPOPlan_Search_ButtonClick,1,267,267,267,267,267,267,267,0.000%,2.58398,3.17,3.88
TR_perfuserj_MasterPOPlan_FillData,1,519,519,519,519,519,519,519,0.000%,1.32626,8.35,3.77
TR_perfusero_MasterPOPlan_FillData,1,530,530,530,530,530,530,530,0.000%,1.34228,8.45,3.82
TR_perfuserf_MasterPOPlan_FillData,1,559,559,559,559,559,559,559,0.000%,1.29702,8.17,3.69
TR_perfuserg_MasterPOPlan_FillData,1,563,563,563,563,563,563,563,0.000%,1.25786,7.92,3.58
TR_perfuseri_MasterPOPlan_Search_ButtonClick,1,188,188,188,188,188,188,188,0.000%,3.35570,4.12,5.04
TR_perfusern_MasterPOPlan_Search_ButtonClick,1,187,187,187,187,187,187,187,0.000%,3.22581,3.96,4.85
TR_perfuserk_MasterPOPlan_Search_ButtonClick,1,191,191,191,191,191,191,191,0.000%,3.38983,4.16,5.09
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,225,225,225,225,225,225,225,0.000%,2.95858,3.63,4.45
TR_perfuserm_MasterPOPlan_Search_ButtonClick,1,197,197,197,197,197,197,197,0.000%,3.31126,4.06,4.98
TR_perfuserl_MasterPOPlan_Search_ButtonClick,1,184,184,184,184,184,184,184,0.000%,3.48432,4.27,5.24
TR_perfuserh_MasterPOPlan_Search_ButtonClick,1,165,165,165,165,165,165,165,0.000%,3.61011,4.43,5.43
TR_perfuserj_MasterPOPlan_Search_ButtonClick,1,195,195,195,195,195,195,195,0.000%,3.32226,4.07,4.99
TR_perfusero_MasterPOPlan_Search_ButtonClick,1,165,165,165,165,165,165,165,0.000%,3.70370,4.54,5.57
TR_perfuserg_MasterPOPlan_Search_ButtonClick,1,150,150,150,150,150,150,150,0.000%,3.90625,4.79,5.87
TR_perfuserf_MasterPOPlan_Search_ButtonClick,1,194,194,194,194,194,194,194,0.000%,3.24675,3.98,4.88
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,1560,1560,1560,1560,1560,1560,1560,0.000%,.42499,8.71,4.04
TR_perfuseri_MasterPOPlan_Proceed_ButtonClick,1,1540,1540,1540,1540,1540,1540,1540,0.000%,.43029,8.82,4.09
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,1493,1493,1493,1493,1493,1493,1493,0.000%,.43516,8.92,4.14
TR_perfusere_MasterPOPlan_Proceed_ButtonClick,1,1719,1719,1719,1719,1719,1719,1719,0.000%,.39984,8.19,3.80
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,1710,1710,1710,1710,1710,1710,1710,0.000%,.39888,8.18,3.79
TR_perfusern_MasterPOPlan_Proceed_ButtonClick,1,1516,1516,1516,1516,1516,1516,1516,0.000%,.43178,8.85,4.11
TR_perfuserg_MasterPOPlan_Proceed_ButtonClick,1,1393,1393,1393,1393,1393,1393,1393,0.000%,.44984,9.22,4.28
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,1729,1729,1729,1729,1729,1729,1729,0.000%,.38895,7.97,3.70
TR_perfuserf_MasterPOPlan_Proceed_ButtonClick,1,1343,1343,1343,1343,1343,1343,1343,0.000%,.45641,9.35,4.34
TR_perfuserk_MasterPOPlan_Proceed_ButtonClick,1,1586,1586,1586,1586,1586,1586,1586,0.000%,.41477,8.50,3.94
TR_perfuserl_MasterPOPlan_Proceed_ButtonClick,1,1580,1580,1580,1580,1580,1580,1580,0.000%,.42445,8.70,4.04
TR_perfuserj_MasterPOPlan_Proceed_ButtonClick,1,1552,1552,1552,1552,1552,1552,1552,0.000%,.42608,8.73,4.05
