Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,328,328,328,328,328,328,328,0.000%,2.26757,2.86,3.09
TR_perfusera_MasterPOPlan_FillData,1,300,300,300,300,300,300,300,0.000%,1.91205,12.04,5.44
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,129,129,129,129,129,129,129,0.000%,4.00000,4.91,6.01
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,847,847,847,847,847,847,847,0.000%,.61614,12.63,5.86
TR_perfusera_OperationRouting_Save_ButtonClick,1,291,291,291,291,291,291,291,0.000%,1.87266,4.28,5.56
TR_perfusera_JobPreference_PageLoad,1,232,232,232,232,232,232,232,0.000%,2.18818,16.19,6.29
TR_perfusera_JobPreference_Save_ButtonClick,1,313,313,313,313,313,313,313,0.000%,1.84162,4.66,5.53
TR_perfusera_AddAdditionalQty_PageLoad,1,431,431,431,431,431,431,431,0.000%,1.26743,12.37,5.39
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,346,346,346,346,346,346,346,0.000%,1.72117,5.32,6.56
TR_perfusera_FabricProperties_PageLoad,1,430,430,430,430,430,430,430,0.000%,1.30548,20.31,5.64
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,247,247,247,247,247,247,247,0.000%,2.07469,16.64,6.08
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,1,276,276,276,276,276,276,276,0.000%,2.01613,6.43,5.80
TR_perfusera_FabricProperties_EntermaxpliesAction_1,1,516,516,516,516,516,516,516,0.000%,1.03627,5.58,5.91
TR_perfusera_FabricProperties_EntermaxpliesAction_2,1,488,488,488,488,488,488,488,0.000%,1.04603,5.65,5.96
TR_perfusera_ComponentGroupAssigment_PageLoad,1,334,334,334,334,334,334,334,0.000%,1.48810,12.80,6.44
TR_perfusera_ComponentGroupAssigment_Save_ButtonClick,1,829,829,829,829,829,829,829,0.000%,.59102,7.21,6.45
TR_perfusera_ComponentGroupAssigment_Search_ButtonClick (Swap),1,660,660,660,660,660,660,660,0.000%,.80192,6.43,5.85
TR_perfusera_SubPOCreation_PageLoad,1,486,486,486,486,486,486,486,0.000%,1.07181,11.79,6.21
TR_perfusera_SubPOCreation_forProductionOrder,1,870,870,870,870,870,870,870,0.000%,.66181,7.20,4.88
TR_perfusera_SubPORatio_PageLoad,1,617,617,617,617,617,617,617,0.000%,.85985,11.82,6.13
TR_perfusera_SubPORatio_SubPO_FillRatio_R1,1,1215,1215,1215,1215,1215,1215,1215,0.000%,.40048,4.78,6.19
TR_perfusera_SubPORatio_SubPO_AddRatio_R1,1,378,378,378,378,378,378,378,0.000%,1.55521,9.70,5.20
TR_perfusera_SubPORatio_SubPO_FillRatio_R2,1,1256,1256,1256,1256,1256,1256,1256,0.000%,.42955,4.92,6.37
TR_perfusera_SubPORatio_SubPO_AddRatio_R2,1,379,379,379,379,379,379,379,0.000%,1.72117,11.80,5.76
TR_perfusera_SubPOMarker_Pageload,1,668,668,668,668,668,668,668,0.000%,.83195,11.28,5.81
TR_perfusera_SubPOMarker_Versions1_Save_Button_Click,1,403,403,403,403,403,403,403,0.000%,1.61812,6.96,4.92
TR_perfusera_SubPOMarker_Versions2_Save_Button_Click,1,345,345,345,345,345,345,345,0.000%,1.80505,8.92,5.48
TR_perfusera_MarkerSummary_PageLoad,1,349,349,349,349,349,349,349,0.000%,1.74216,12.95,5.08
TR_perfusera_MarkerSummary_SubPo_Load,1,196,196,196,196,196,196,196,0.000%,3.31126,8.46,4.63
TR_perfusera_PackingList_PageLoad,1,617,617,617,617,617,617,617,0.000%,.85179,10.67,6.16
TR_perfusera_GenerateDockets_PageLoad,1,224,224,224,224,224,224,224,0.000%,2.21239,16.45,6.45
TR_perfusera_GenerateDockets_SubPo_Load,1,116,116,116,116,116,116,116,0.000%,4.38596,8.26,6.28
TR_perfusera_GenerateDockets_Wait,1,57772,57772,57772,57772,57772,57772,57772,0.000%,.01728,0.12,0.18
TR_perfusera_GenerateDockets_ButtonClick,1,278,278,278,278,278,278,278,0.000%,2.25734,5.47,5.11
TR_perfusera_GenerateCuts_Wait,1,72559,72559,72559,72559,72559,72559,72559,0.000%,.01376,0.12,0.18
TR_perfusera_GenerateCuts_ButtonClick,1,443,443,443,443,443,443,443,0.000%,1.48588,4.37,9.01
TR_perfusera_GenerateCutJobplanning_Wait,1,0,0,0,0,0,0,0,0.000%,200.00000,0.00,0.00
Debug Sampler,1,0,0,0,0,0,0,0,0.000%,∞,0.00,0.00
TOTAL,38,3846,378,870,1256,72559,0,72559,0.000%,.23830,1.70,1.22
