Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserc_MasterPOPlan_PageLoad,1,536,536,536,536,536,536,536,0.000%,1.55763,2.06,2.12
TR_perfusera_MasterPOPlan_PageLoad,1,710,710,710,710,710,710,710,0.000%,1.23305,1.63,1.68
TR_perfuserf_MasterPOPlan_PageLoad,1,339,339,339,339,339,339,339,0.000%,2.21729,2.93,3.02
TR_perfuserd_MasterPOPlan_PageLoad,1,440,440,440,440,440,440,440,0.000%,1.74825,2.31,2.38
TR_perfuserb_MasterPOPlan_PageLoad,1,659,659,659,659,659,659,659,0.000%,1.30039,1.72,1.77
TR_perfusere_MasterPOPlan_PageLoad,1,427,427,427,427,427,427,427,0.000%,1.89753,2.51,2.59
TR_perfuserg_MasterPOPlan_PageLoad,1,271,271,271,271,271,271,271,0.000%,2.67380,3.54,3.65
TR_perfuserh_MasterPOPlan_PageLoad,1,257,257,257,257,257,257,257,0.000%,2.77008,3.66,3.78
TR_perfuseri_MasterPOPlan_PageLoad,1,246,246,246,246,246,246,246,0.000%,2.79330,3.69,3.81
TR_perfuserj_MasterPOPlan_PageLoad,1,267,267,267,267,267,267,267,0.000%,2.72480,3.60,3.71
TR_perfuserk_MasterPOPlan_PageLoad,1,373,373,373,373,373,373,373,0.000%,2.08768,2.76,2.85
TR_perfuserl_MasterPOPlan_PageLoad,1,364,364,364,364,364,364,364,0.000%,2.08768,2.76,2.85
TR_perfuserm_MasterPOPlan_PageLoad,1,334,334,334,334,334,334,334,0.000%,2.22222,2.94,3.03
TR_perfusern_MasterPOPlan_PageLoad,1,430,430,430,430,430,430,430,0.000%,1.80832,2.39,2.47
TR_perfusera_MasterPOPlan_FillData,1,528,528,528,528,528,528,528,0.000%,1.33333,8.40,3.79
TR_perfuserc_MasterPOPlan_FillData,1,556,556,556,556,556,556,556,0.000%,1.29366,8.15,3.68
TR_perfuserf_MasterPOPlan_FillData,1,567,567,567,567,567,567,567,0.000%,1.29032,8.12,3.67
TR_perfuserd_MasterPOPlan_FillData,1,556,556,556,556,556,556,556,0.000%,1.29199,8.14,3.67
TR_perfusere_MasterPOPlan_FillData,1,526,526,526,526,526,526,526,0.000%,1.32979,8.37,3.78
TR_perfusero_MasterPOPlan_PageLoad,1,628,628,628,628,628,628,628,0.000%,1.36986,1.81,1.87
TR_perfuserg_MasterPOPlan_FillData,1,538,538,538,538,538,538,538,0.000%,1.28866,8.11,3.66
TR_perfuserb_MasterPOPlan_FillData,1,616,616,616,616,616,616,616,0.000%,1.20482,7.59,3.43
TR_perfuserh_MasterPOPlan_FillData,1,590,590,590,590,590,590,590,0.000%,1.20627,7.60,3.43
TR_perfuseri_MasterPOPlan_FillData,1,579,579,579,579,579,579,579,0.000%,1.21951,7.68,3.47
TR_perfuserj_MasterPOPlan_FillData,1,605,605,605,605,605,605,605,0.000%,1.22549,7.72,3.48
TR_perfuserk_MasterPOPlan_FillData,1,481,481,481,481,481,481,481,0.000%,1.41243,8.89,4.02
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,292,292,292,292,292,292,292,0.000%,2.49377,3.06,3.75
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,279,279,279,279,279,279,279,0.000%,2.59740,3.19,3.90
TR_perfuserf_MasterPOPlan_Search_ButtonClick,1,293,293,293,293,293,293,293,0.000%,2.45700,3.01,3.69
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,294,294,294,294,294,294,294,0.000%,2.42718,2.98,3.65
TR_perfusere_MasterPOPlan_Search_ButtonClick,1,282,282,282,282,282,282,282,0.000%,2.63852,3.24,3.97
TR_perfuserg_MasterPOPlan_Search_ButtonClick,1,257,257,257,257,257,257,257,0.000%,2.68817,3.30,4.04
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,269,269,269,269,269,269,269,0.000%,2.60417,3.19,3.91
TR_perfuserl_MasterPOPlan_FillData,1,609,609,609,609,609,609,609,0.000%,1.22100,7.69,3.47
TR_perfuserm_MasterPOPlan_FillData,1,585,585,585,585,585,585,585,0.000%,1.25156,7.88,3.56
TR_perfuseri_MasterPOPlan_Search_ButtonClick,1,280,280,280,280,280,280,280,0.000%,2.53165,3.11,3.80
TR_perfuserj_MasterPOPlan_Search_ButtonClick,1,251,251,251,251,251,251,251,0.000%,2.75482,3.38,4.14
TR_perfuserh_MasterPOPlan_Search_ButtonClick,1,306,306,306,306,306,306,306,0.000%,2.36407,2.90,3.55
TR_perfusern_MasterPOPlan_FillData,1,538,538,538,538,538,538,538,0.000%,1.29702,8.17,3.69
TR_perfuserk_MasterPOPlan_Search_ButtonClick,1,217,217,217,217,217,217,217,0.000%,3.08642,3.79,4.64
TR_perfusero_MasterPOPlan_FillData,1,462,462,462,462,462,462,462,0.000%,1.46199,9.21,4.16
TR_perfuserm_MasterPOPlan_Search_ButtonClick,1,172,172,172,172,172,172,172,0.000%,3.66300,4.49,5.51
TR_perfuserl_MasterPOPlan_Search_ButtonClick,1,177,177,177,177,177,177,177,0.000%,3.57143,4.38,5.37
TR_perfusern_MasterPOPlan_Search_ButtonClick,1,145,145,145,145,145,145,145,0.000%,3.87597,4.75,5.83
TR_perfusero_MasterPOPlan_Search_ButtonClick,1,151,151,151,151,151,151,151,0.000%,3.59712,4.41,5.41
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,873,873,873,873,873,873,873,0.000%,.61200,12.54,5.82
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,931,931,931,931,931,931,931,0.000%,.59418,12.18,5.65
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,789,789,789,789,789,789,789,0.000%,.63251,12.96,6.01
TR_perfusere_MasterPOPlan_Proceed_ButtonClick,1,878,878,878,878,878,878,878,0.000%,.60423,12.38,5.75
TR_perfuserf_MasterPOPlan_Proceed_ButtonClick,1,885,885,885,885,885,885,885,0.000%,.59382,12.17,5.65
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,954,954,954,954,954,954,954,0.000%,.58207,11.93,5.53
TR_perfuserg_MasterPOPlan_Proceed_ButtonClick,1,911,911,911,911,911,911,911,0.000%,.59102,12.11,5.62
TR_perfuserj_MasterPOPlan_Proceed_ButtonClick,1,841,841,841,841,841,841,841,0.000%,.63131,12.94,6.00
TR_perfuserk_MasterPOPlan_Proceed_ButtonClick,1,832,832,832,832,832,832,832,0.000%,.63694,13.05,6.06
TR_perfuseri_MasterPOPlan_Proceed_ButtonClick,1,850,850,850,850,850,850,850,0.000%,.61843,12.67,5.88
TR_perfuserh_MasterPOPlan_Proceed_ButtonClick,1,874,874,874,874,874,874,874,0.000%,.61312,12.57,5.83
TR_perfuserm_MasterPOPlan_Proceed_ButtonClick,1,818,818,818,818,818,818,818,0.000%,.62657,12.84,5.96
TR_perfuserl_MasterPOPlan_Proceed_ButtonClick,1,828,828,828,828,828,828,828,0.000%,.62578,12.83,5.95
TR_perfusern_MasterPOPlan_Proceed_ButtonClick,1,808,808,808,808,808,808,808,0.000%,.64103,13.14,6.10
TR_perfusera_OperationRouting_Save_ButtonClick,1,259,259,259,259,259,259,259,0.000%,2.15983,4.94,6.42
TR_perfuserd_OperationRouting_Save_ButtonClick,1,270,270,270,270,270,270,270,0.000%,2.12766,4.86,6.32
TR_perfuserb_OperationRouting_Save_ButtonClick,1,245,245,245,245,245,245,245,0.000%,2.21239,5.06,6.57
TR_perfuserf_OperationRouting_Save_ButtonClick,1,230,230,230,230,230,230,230,0.000%,2.29885,5.26,6.83
TR_perfusere_OperationRouting_Save_ButtonClick,1,255,255,255,255,255,255,255,0.000%,2.19780,5.02,6.53
TR_perfuserc_OperationRouting_Save_ButtonClick,1,251,251,251,251,251,251,251,0.000%,2.22222,5.08,6.60
TR_perfusero_MasterPOPlan_Proceed_ButtonClick,1,803,803,803,803,803,803,803,0.000%,.64433,13.21,6.13
TR_perfuserg_OperationRouting_Save_ButtonClick,1,268,268,268,268,268,268,268,0.000%,2.13220,4.87,6.33
TR_perfuserj_OperationRouting_Save_ButtonClick,1,231,231,231,231,231,231,231,0.000%,2.30947,5.28,6.86
TR_perfuserk_OperationRouting_Save_ButtonClick,1,254,254,254,254,254,254,254,0.000%,2.18818,5.00,6.50
TR_perfuseri_OperationRouting_Save_ButtonClick,1,256,256,256,256,256,256,256,0.000%,2.17865,4.98,6.47
TR_perfuserh_OperationRouting_Save_ButtonClick,1,228,228,228,228,228,228,228,0.000%,2.32558,5.32,6.91
TR_perfuserm_OperationRouting_Save_ButtonClick,1,221,221,221,221,221,221,221,0.000%,2.35294,5.38,6.99
TR_perfuserl_OperationRouting_Save_ButtonClick,1,237,237,237,237,237,237,237,0.000%,2.26757,5.18,6.74
TR_perfusern_OperationRouting_Save_ButtonClick,1,228,228,228,228,228,228,228,0.000%,2.32019,5.30,6.89
TR_perfusera_JobPreference_PageLoad,1,215,215,215,215,215,215,215,0.000%,2.40385,17.79,6.91
TR_perfusere_JobPreference_PageLoad,1,226,226,226,226,226,226,226,0.000%,2.33645,17.29,6.71
TR_perfuserb_JobPreference_PageLoad,1,236,236,236,236,236,236,236,0.000%,2.26757,16.78,6.51
TR_perfuserd_JobPreference_PageLoad,1,243,243,243,243,243,243,243,0.000%,2.24215,16.59,6.44
TR_perfuserf_JobPreference_PageLoad,1,229,229,229,229,229,229,229,0.000%,2.30947,17.09,6.64
TR_perfuserc_JobPreference_PageLoad,1,221,221,221,221,221,221,221,0.000%,2.34742,17.37,6.74
TR_perfusero_OperationRouting_Save_ButtonClick,1,231,231,231,231,231,231,231,0.000%,2.30415,5.27,6.84
TR_perfuserg_JobPreference_PageLoad,1,208,208,208,208,208,208,208,0.000%,2.41546,17.88,6.94
TR_perfuserj_JobPreference_PageLoad,1,210,210,210,210,210,210,210,0.000%,2.42718,17.96,6.97
TR_perfuseri_JobPreference_PageLoad,1,210,210,210,210,210,210,210,0.000%,2.42718,17.96,6.97
TR_perfuserk_JobPreference_PageLoad,1,227,227,227,227,227,227,227,0.000%,2.32019,17.17,6.67
TR_perfuserh_JobPreference_PageLoad,1,218,218,218,218,218,218,218,0.000%,2.37530,17.58,6.82
TR_perfuserm_JobPreference_PageLoad,1,227,227,227,227,227,227,227,0.000%,2.32558,17.21,6.68
TR_perfuserl_JobPreference_PageLoad,1,231,231,231,231,231,231,231,0.000%,2.31481,17.13,6.65
TR_perfusern_JobPreference_PageLoad,1,218,218,218,218,218,218,218,0.000%,2.36407,17.50,6.79
TR_perfusero_JobPreference_PageLoad,1,215,215,215,215,215,215,215,0.000%,2.39234,17.70,6.87
TR_perfusera_JobPreference_Save_ButtonClick,1,307,307,307,307,307,307,307,0.000%,1.96078,4.96,5.89
TR_perfuserf_JobPreference_Save_ButtonClick,1,296,296,296,296,296,296,296,0.000%,2.01207,5.09,6.04
TR_perfuserc_JobPreference_Save_ButtonClick,1,334,334,334,334,334,334,334,0.000%,1.86220,4.71,5.59
TR_perfuserb_JobPreference_Save_ButtonClick,1,349,349,349,349,349,349,349,0.000%,1.81159,4.58,5.44
TR_perfusere_JobPreference_Save_ButtonClick,1,371,371,371,371,371,371,371,0.000%,1.73913,4.40,5.22
TR_perfuserj_JobPreference_Save_ButtonClick,1,279,279,279,279,279,279,279,0.000%,2.07900,5.26,6.24
TR_perfuserd_JobPreference_Save_ButtonClick,1,407,407,407,407,407,407,407,0.000%,1.63132,4.12,4.90
TR_perfuserg_JobPreference_Save_ButtonClick,1,359,359,359,359,359,359,359,0.000%,1.77936,4.50,5.34
TR_perfuserk_JobPreference_Save_ButtonClick,1,277,277,277,277,277,277,277,0.000%,2.09205,5.29,6.28
TR_perfuseri_JobPreference_Save_ButtonClick,1,303,303,303,303,303,303,303,0.000%,1.96078,4.96,5.89
TR_perfuserh_JobPreference_Save_ButtonClick,1,304,304,304,304,304,304,304,0.000%,1.97628,5.00,5.93
