Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,645,645,645,645,645,645,645,0.000%,1.32979,1.76,1.81
TR_perfuserc_MasterPOPlan_PageLoad,1,292,292,292,292,292,292,292,0.000%,2.50000,3.31,3.41
TR_perfuserb_MasterPOPlan_PageLoad,1,504,504,504,504,504,504,504,0.000%,1.63934,2.17,2.23
TR_perfuserd_MasterPOPlan_PageLoad,1,235,235,235,235,235,235,235,0.000%,2.90698,3.84,3.96
TR_perfusere_MasterPOPlan_PageLoad,1,243,243,243,243,243,243,243,0.000%,2.77008,3.66,3.78
TR_perfusera_MasterPOPlan_FillData,1,263,263,263,263,263,263,263,0.000%,2.10970,13.28,6.00
TR_perfuserc_MasterPOPlan_FillData,1,259,259,259,259,259,259,259,0.000%,2.07039,13.04,5.89
TR_perfuserb_MasterPOPlan_FillData,1,268,268,268,268,268,268,268,0.000%,2.06612,13.01,5.88
TR_perfuserd_MasterPOPlan_FillData,1,252,252,252,252,252,252,252,0.000%,2.06186,12.98,5.86
TR_perfusere_MasterPOPlan_FillData,1,246,246,246,246,246,246,246,0.000%,2.09205,13.17,5.95
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,270,270,270,270,270,270,270,0.000%,2.54453,3.12,3.82
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,237,237,237,237,237,237,237,0.000%,2.79330,3.43,4.20
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,243,243,243,243,243,243,243,0.000%,2.74725,3.37,4.13
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,123,123,123,123,123,123,123,0.000%,3.83142,4.70,5.76
TR_perfusere_MasterPOPlan_Search_ButtonClick,1,131,131,131,131,131,131,131,0.000%,3.95257,4.85,5.94
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,776,776,776,776,776,776,776,0.000%,.63291,12.97,6.02
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,809,809,809,809,809,809,809,0.000%,.61920,12.69,5.89
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,825,825,825,825,825,825,825,0.000%,.60976,12.50,5.80
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,903,903,903,903,903,903,903,0.000%,.58962,12.09,5.61
TR_perfusere_MasterPOPlan_Proceed_ButtonClick,1,795,795,795,795,795,795,795,0.000%,.62035,12.72,5.90
TR_perfuserc_OperationRouting_Save_ButtonClick,1,308,308,308,308,308,308,308,0.000%,1.87970,4.30,5.58
TR_perfuserb_OperationRouting_Save_ButtonClick,1,264,264,264,264,264,264,264,0.000%,1.98807,4.55,5.91
TR_perfuserd_OperationRouting_Save_ButtonClick,1,239,239,239,239,239,239,239,0.000%,2.22717,5.10,6.62
TR_perfusera_OperationRouting_Save_ButtonClick,1,248,248,248,248,248,248,248,0.000%,2.15517,4.93,6.40
TR_perfusere_OperationRouting_Save_ButtonClick,1,254,254,254,254,254,254,254,0.000%,2.03666,4.66,6.05
TR_perfuserb_JobPreference_PageLoad,1,218,218,218,218,218,218,218,0.000%,2.20264,16.30,6.33
TR_perfuserc_JobPreference_PageLoad,1,219,219,219,219,219,219,219,0.000%,2.19298,16.23,6.30
TR_perfuserd_JobPreference_PageLoad,1,223,223,223,223,223,223,223,0.000%,2.30415,17.05,6.62
TR_perfusera_JobPreference_PageLoad,1,207,207,207,207,207,207,207,0.000%,2.36407,17.50,6.79
TR_perfusere_JobPreference_PageLoad,1,230,230,230,230,230,230,230,0.000%,2.16920,16.05,6.23
TR_perfusera_JobPreference_Save_ButtonClick,1,282,282,282,282,282,282,282,0.000%,2.01613,5.10,6.05
