Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,2,390,221,560,560,560,221,560,0.000%,.00129,0.00,0.00
TR_perfuserb_MasterPOPlan_PageLoad,2,306,227,386,386,386,227,386,0.000%,.00121,0.00,0.00
TR_perfuserc_MasterPOPlan_PageLoad,2,313,222,404,404,404,222,404,0.000%,.00105,0.00,0.00
TR_perfuserd_MasterPOPlan_PageLoad,2,240,235,245,245,245,235,245,0.000%,.00096,0.00,0.00
TR_perfusere_MasterPOPlan_PageLoad,2,282,227,338,338,338,227,338,0.000%,.00094,0.00,0.00
TR_perfusera_MasterPOPlan_FillData,2,327,238,417,417,417,238,417,0.000%,.00129,0.01,0.00
TR_perfuserd_MasterPOPlan_FillData,2,272,255,290,290,290,255,290,0.000%,.00096,0.01,0.00
TR_perfuserc_MasterPOPlan_FillData,2,322,243,401,401,401,243,401,0.000%,.00105,0.01,0.00
TR_perfuserb_MasterPOPlan_FillData,2,531,275,788,788,788,275,788,0.000%,.00121,0.01,0.00
TR_perfuserd_MasterPOPlan_Search_ButtonClick,2,152,136,168,168,168,136,168,0.000%,.00096,0.00,0.00
TR_perfusera_MasterPOPlan_Search_ButtonClick,2,249,152,347,347,347,152,347,0.000%,.00130,0.00,0.00
TR_perfusere_MasterPOPlan_FillData,2,293,262,325,325,325,262,325,0.000%,.00094,0.01,0.00
TR_perfuserc_MasterPOPlan_Search_ButtonClick,2,142,142,143,143,143,142,143,0.000%,.00105,0.00,0.00
TR_perfuserb_MasterPOPlan_Search_ButtonClick,2,143,137,149,149,149,137,149,0.000%,.00121,0.00,0.00
TR_perfusere_MasterPOPlan_Search_ButtonClick,2,140,122,158,158,158,122,158,0.000%,.00094,0.00,0.00
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,2,862,724,1000,1000,1000,724,1000,0.000%,.00096,0.02,0.01
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,2,861,732,991,991,991,732,991,0.000%,.00129,0.03,0.01
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,2,862,813,912,912,912,813,912,0.000%,.00121,0.03,0.01
TR_perfusere_MasterPOPlan_Proceed_ButtonClick,2,817,814,821,821,821,814,821,0.000%,.00094,0.02,0.01
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,2,939,726,1153,1153,1153,726,1153,0.000%,.00105,0.02,0.01
TR_perfusera_OperationRouting_Save_ButtonClick,2,251,242,261,261,261,242,261,0.000%,.00130,0.00,0.00
TR_perfuserd_OperationRouting_Save_ButtonClick,2,274,259,289,289,289,259,289,0.000%,.00096,0.00,0.00
TR_perfusere_OperationRouting_Save_ButtonClick,2,282,267,298,298,298,267,298,0.000%,.00094,0.00,0.00
TR_perfuserb_OperationRouting_Save_ButtonClick,2,291,278,304,304,304,278,304,0.000%,.00121,0.00,0.00
TR_perfuserc_OperationRouting_Save_ButtonClick,2,261,251,272,272,272,251,272,0.000%,.00105,0.00,0.00
TR_perfuserd_JobPreference_PageLoad,2,236,234,238,238,238,234,238,0.000%,.00096,0.01,0.00
TR_perfusera_JobPreference_PageLoad,2,236,222,251,251,251,222,251,0.000%,.00130,0.01,0.00
TR_perfusere_JobPreference_PageLoad,2,249,244,255,255,255,244,255,0.000%,.00094,0.01,0.00
TR_perfuserb_JobPreference_PageLoad,2,228,228,228,228,228,228,228,0.000%,.00121,0.01,0.00
TR_perfuserc_JobPreference_PageLoad,2,245,229,261,261,261,229,261,0.000%,.00105,0.01,0.00
TR_perfusera_JobPreference_Save_ButtonClick,2,292,292,293,293,293,292,293,0.000%,.00130,0.00,0.00
TR_perfuserd_JobPreference_Save_ButtonClick,2,304,303,305,305,305,303,305,0.000%,.00096,0.00,0.00
TR_perfusere_JobPreference_Save_ButtonClick,2,278,255,301,301,301,255,301,0.000%,.00094,0.00,0.00
TR_perfuserb_JobPreference_Save_ButtonClick,2,301,291,311,311,311,291,311,0.000%,.00121,0.00,0.00
TR_perfuserc_JobPreference_Save_ButtonClick,2,268,267,270,270,270,267,270,0.000%,.00105,0.00,0.00
TR_perfusera_AddAdditionalQty_PageLoad,2,404,390,418,418,418,390,418,0.000%,.00130,0.01,0.01
TR_perfusere_AddAdditionalQty_PageLoad,2,422,404,440,440,440,404,440,0.000%,.00094,0.01,0.00
TR_perfuserb_AddAdditionalQty_PageLoad,2,392,374,411,411,411,374,411,0.000%,.00121,0.01,0.01
TR_perfuserd_AddAdditionalQty_PageLoad,2,454,398,511,511,511,398,511,0.000%,.00096,0.01,0.00
TR_perfuserc_AddAdditionalQty_PageLoad,2,379,367,392,392,392,367,392,0.000%,.00105,0.01,0.00
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,2,321,317,326,326,326,317,326,0.000%,.00130,0.00,0.00
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,2,299,284,314,314,314,284,314,0.000%,.00096,0.00,0.00
