Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,2,330,283,377,377,377,283,377,0.000%,.00158,0.00,0.00
TR_perfuserb_MasterPOPlan_PageLoad,2,291,233,349,349,349,233,349,0.000%,.00157,0.00,0.00
TR_perfuserc_MasterPOPlan_PageLoad,2,248,219,278,278,278,219,278,0.000%,.00124,0.00,0.00
TR_perfuserd_MasterPOPlan_PageLoad,2,277,227,328,328,328,227,328,0.000%,.00124,0.00,0.00
TR_perfusere_MasterPOPlan_PageLoad,2,231,228,234,234,234,228,234,0.000%,.00115,0.00,0.00
TR_perfusera_MasterPOPlan_FillData,2,382,335,430,430,430,335,430,0.000%,.00158,0.01,0.00
TR_perfuserb_MasterPOPlan_FillData,2,278,268,289,289,289,268,289,0.000%,.00157,0.01,0.00
TR_perfuserc_MasterPOPlan_FillData,2,280,249,311,311,311,249,311,0.000%,.00124,0.01,0.00
TR_perfusera_MasterPOPlan_Search_ButtonClick,2,179,139,220,220,220,139,220,0.000%,.00158,0.00,0.00
TR_perfuserb_MasterPOPlan_Search_ButtonClick,2,148,133,164,164,164,133,164,0.000%,.00157,0.00,0.00
TR_perfuserd_MasterPOPlan_FillData,2,266,255,277,277,277,255,277,0.000%,.00124,0.01,0.00
TR_perfuserc_MasterPOPlan_Search_ButtonClick,2,127,122,132,132,132,122,132,0.000%,.00124,0.00,0.00
TR_perfusere_MasterPOPlan_FillData,2,330,305,355,355,355,305,355,0.000%,.00115,0.01,0.00
TR_perfuserd_MasterPOPlan_Search_ButtonClick,2,135,135,136,136,136,135,136,0.000%,.00124,0.00,0.00
TR_perfusere_MasterPOPlan_Search_ButtonClick,2,132,132,133,133,133,132,133,0.000%,.00115,0.00,0.00
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,2,869,836,902,902,902,836,902,0.000%,.00157,0.03,0.01
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,2,1068,1000,1137,1137,1137,1000,1137,0.000%,.00158,0.03,0.02
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,2,878,828,929,929,929,828,929,0.000%,.00124,0.03,0.01
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,2,875,824,927,927,927,824,927,0.000%,.00124,0.03,0.01
TR_perfuserb_OperationRouting_Save_ButtonClick,2,383,335,432,432,432,335,432,0.000%,.00157,0.00,0.00
TR_perfusera_OperationRouting_Save_ButtonClick,2,425,287,563,563,563,287,563,0.000%,.00158,0.00,0.00
TR_perfusere_MasterPOPlan_Proceed_ButtonClick,2,863,799,928,928,928,799,928,0.000%,.00115,0.02,0.01
TR_perfuserc_OperationRouting_Save_ButtonClick,2,365,311,420,420,420,311,420,0.000%,.00124,0.00,0.00
TR_perfuserd_OperationRouting_Save_ButtonClick,2,260,245,276,276,276,245,276,0.000%,.00124,0.00,0.00
TR_perfusera_JobPreference_PageLoad,2,292,248,337,337,337,248,337,0.000%,.00158,0.01,0.00
TR_perfuserb_JobPreference_PageLoad,2,251,245,257,257,257,245,257,0.000%,.00157,0.01,0.00
TR_perfusere_OperationRouting_Save_ButtonClick,2,252,244,261,261,261,244,261,0.000%,.00115,0.00,0.00
TR_perfuserc_JobPreference_PageLoad,2,224,217,232,232,232,217,232,0.000%,.00124,0.01,0.00
TR_perfuserd_JobPreference_PageLoad,2,230,230,231,231,231,230,231,0.000%,.00124,0.01,0.00
TR_perfusere_JobPreference_PageLoad,2,231,227,236,236,236,227,236,0.000%,.00115,0.01,0.00
TR_perfusera_JobPreference_Save_ButtonClick,2,425,303,547,547,547,303,547,0.000%,.00158,0.00,0.00
TR_perfuserb_JobPreference_Save_ButtonClick,2,340,304,376,376,376,304,376,0.000%,.00157,0.00,0.00
TR_perfuserc_JobPreference_Save_ButtonClick,2,290,285,295,295,295,285,295,0.000%,.00124,0.00,0.00
TR_perfuserd_JobPreference_Save_ButtonClick,2,289,276,302,302,302,276,302,0.000%,.00124,0.00,0.00
TR_perfusere_JobPreference_Save_ButtonClick,2,331,290,373,373,373,290,373,0.000%,.00115,0.00,0.00
TR_perfusera_AddAdditionalQty_PageLoad,2,479,418,541,541,541,418,541,0.000%,.00158,0.02,0.01
TR_perfuserb_AddAdditionalQty_PageLoad,2,437,421,454,454,454,421,454,0.000%,.00157,0.02,0.01
TR_perfuserc_AddAdditionalQty_PageLoad,2,435,428,442,442,442,428,442,0.000%,.00124,0.01,0.01
TR_perfuserd_AddAdditionalQty_PageLoad,2,421,388,455,455,455,388,455,0.000%,.00124,0.01,0.01
TR_perfusere_AddAdditionalQty_PageLoad,2,403,395,411,411,411,395,411,0.000%,.00115,0.01,0.00
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,2,391,355,427,427,427,355,427,0.000%,.00158,0.00,0.01
TR_perfuserb_AddAdditionalQty_Submit_ButtonClick,2,382,375,390,390,390,375,390,0.000%,.00157,0.00,0.01
TR_perfuserc_AddAdditionalQty_Submit_ButtonClick,2,323,298,348,348,348,298,348,0.000%,.00124,0.00,0.00
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,2,298,298,299,299,299,298,299,0.000%,.00124,0.00,0.00
TR_perfusere_AddAdditionalQty_Submit_ButtonClick,2,304,280,328,328,328,280,328,0.000%,.00115,0.00,0.00
TR_perfusera_FabricProperties_PageLoad,2,511,448,574,574,574,448,574,0.000%,.00158,0.02,0.01
TR_perfuserb_FabricProperties_PageLoad,2,583,441,725,725,725,441,725,0.000%,.00157,0.02,0.01
TR_perfuserc_FabricProperties_PageLoad,2,441,422,461,461,461,422,461,0.000%,.00124,0.02,0.01
TR_perfuserd_FabricProperties_PageLoad,2,425,414,436,436,436,414,436,0.000%,.00124,0.02,0.01
TR_perfusere_FabricProperties_PageLoad,2,479,447,512,512,512,447,512,0.000%,.00115,0.02,0.00
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,2,278,268,288,288,288,268,288,0.000%,.00158,0.01,0.00
TR_perfuserb_FabricProperties_ExcessCut_Save_ButtonClick,2,633,243,1024,1024,1024,243,1024,0.000%,.00157,0.01,0.00
TR_perfuserd_FabricProperties_ExcessCut_Save_ButtonClick,2,264,257,272,272,272,257,272,0.000%,.00124,0.01,0.00
TR_perfuserc_FabricProperties_ExcessCut_Save_ButtonClick,2,279,273,286,286,286,273,286,0.000%,.00124,0.01,0.00
TR_perfusere_FabricProperties_ExcessCut_Save_ButtonClick,2,247,242,252,252,252,242,252,0.000%,.00115,0.01,0.00
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,2,341,307,376,376,376,307,376,0.000%,.00158,0.01,0.00
TR_perfuserb_FabricProperties_MaxPlies_Update_ButtonClick,2,341,315,368,368,368,315,368,0.000%,.00157,0.00,0.00
TR_perfuserd_FabricProperties_MaxPlies_Update_ButtonClick,2,297,291,303,303,303,291,303,0.000%,.00124,0.00,0.00
TR_perfuserc_FabricProperties_MaxPlies_Update_ButtonClick,2,286,270,302,302,302,270,302,0.000%,.00124,0.00,0.00
TR_perfusere_FabricProperties_MaxPlies_Update_ButtonClick,2,298,296,300,300,300,296,300,0.000%,.00115,0.00,0.00
TR_perfuserb_FabricProperties_EntermaxpliesAction_1,2,600,510,690,690,690,510,690,0.000%,.00157,0.01,0.01
TR_perfusera_FabricProperties_EntermaxpliesAction_1,2,608,546,670,670,670,546,670,0.000%,.00158,0.01,0.01
TR_perfuserd_FabricProperties_EntermaxpliesAction_1,2,497,495,500,500,500,495,500,0.000%,.00124,0.01,0.01
TR_perfuserc_FabricProperties_EntermaxpliesAction_1,2,488,486,490,490,490,486,490,0.000%,.00124,0.01,0.01
TR_perfusere_FabricProperties_EntermaxpliesAction_1,2,503,477,530,530,530,477,530,0.000%,.00115,0.01,0.01
TR_perfuserb_FabricProperties_EntermaxpliesAction_2,2,685,509,861,861,861,509,861,0.000%,.00157,0.01,0.01
TR_perfusera_FabricProperties_EntermaxpliesAction_2,2,557,508,606,606,606,508,606,0.000%,.00158,0.01,0.01
TR_perfuserd_FabricProperties_EntermaxpliesAction_2,2,476,469,484,484,484,469,484,0.000%,.00124,0.01,0.01
TR_perfuserc_FabricProperties_EntermaxpliesAction_2,2,527,514,541,541,541,514,541,0.000%,.00124,0.01,0.01
TR_perfusere_FabricProperties_EntermaxpliesAction_2,2,487,480,495,495,495,480,495,0.000%,.00115,0.01,0.01
TR_perfuserb_ComponentGroupAssigment_PageLoad,2,381,337,426,426,426,337,426,0.000%,.00157,0.01,0.01
TR_perfusera_ComponentGroupAssigment_PageLoad,2,358,337,380,380,380,337,380,0.000%,.00158,0.01,0.01
TR_perfuserd_ComponentGroupAssigment_PageLoad,2,334,324,344,344,344,324,344,0.000%,.00124,0.01,0.01
TR_perfuserc_ComponentGroupAssigment_PageLoad,2,337,332,342,342,342,332,342,0.000%,.00124,0.01,0.01
TR_perfusere_ComponentGroupAssigment_PageLoad,2,339,338,340,340,340,338,340,0.000%,.00115,0.01,0.00
TR_perfuserb_ComponentGroupAssigment_Save_ButtonClick,2,986,821,1152,1152,1152,821,1152,0.000%,.00156,0.02,0.02
TR_perfusera_ComponentGroupAssigment_Save_ButtonClick,2,1021,850,1193,1193,1193,850,1193,0.000%,.00158,0.02,0.02
TR_perfuserd_ComponentGroupAssigment_Save_ButtonClick,2,838,833,843,843,843,833,843,0.000%,.00124,0.02,0.01
TR_perfuserc_ComponentGroupAssigment_Save_ButtonClick,2,939,894,985,985,985,894,985,0.000%,.00124,0.02,0.01
TR_perfusere_ComponentGroupAssigment_Save_ButtonClick,2,955,936,975,975,975,936,975,0.000%,.00115,0.01,0.01
TR_perfuserb_ComponentGroupAssigment_Search_ButtonClick (Swap),2,951,662,1241,1241,1241,662,1241,0.000%,.00156,0.01,0.01
TR_perfuserd_ComponentGroupAssigment_Search_ButtonClick (Swap),2,618,548,689,689,689,548,689,0.000%,.00124,0.01,0.01
TR_perfusera_ComponentGroupAssigment_Search_ButtonClick (Swap),2,729,710,748,748,748,710,748,0.000%,.00158,0.01,0.01
TR_perfuserc_ComponentGroupAssigment_Search_ButtonClick (Swap),2,571,561,581,581,581,561,581,0.000%,.00124,0.01,0.01
TR_perfusere_ComponentGroupAssigment_Search_ButtonClick (Swap),2,593,553,633,633,633,553,633,0.000%,.00115,0.01,0.01
TR_perfuserb_SubPOCreation_PageLoad,2,735,486,985,985,985,486,985,0.000%,.00156,0.02,0.01
TR_perfuserd_SubPOCreation_PageLoad,2,498,489,508,508,508,489,508,0.000%,.00124,0.01,0.01
TR_perfusera_SubPOCreation_PageLoad,2,550,480,620,620,620,480,620,0.000%,.00158,0.02,0.01
TR_perfuserc_SubPOCreation_PageLoad,2,546,501,591,591,591,501,591,0.000%,.00124,0.01,0.01
TR_perfusere_SubPOCreation_PageLoad,2,508,494,523,523,523,494,523,0.000%,.00115,0.01,0.01
TR_perfuserd_SubPOCreation_forProductionOrder,2,956,803,1109,1109,1109,803,1109,0.000%,.00124,0.01,0.01
TR_perfuserb_SubPOCreation_forProductionOrder,2,1912,1291,2533,2533,2533,1291,2533,0.000%,.00156,0.02,0.01
TR_perfuserc_SubPOCreation_forProductionOrder,2,1059,887,1231,1231,1231,887,1231,0.000%,.00124,0.01,0.01
TR_perfusera_SubPOCreation_forProductionOrder,2,1613,1509,1718,1718,1718,1509,1718,0.000%,.00158,0.02,0.01
TR_perfusere_SubPOCreation_forProductionOrder,2,1360,953,1767,1767,1767,953,1767,0.000%,.00115,0.01,0.01
TR_perfuserb_SubPORatio_PageLoad,2,774,651,897,897,897,651,897,0.000%,.00156,0.02,0.01
TR_perfuserd_SubPORatio_PageLoad,2,685,666,704,704,704,666,704,0.000%,.00124,0.02,0.01
TR_perfuserc_SubPORatio_PageLoad,2,605,598,612,612,612,598,612,0.000%,.00124,0.02,0.01
TR_perfusera_SubPORatio_PageLoad,2,635,627,643,643,643,627,643,0.000%,.00158,0.02,0.01
TR_perfusere_SubPORatio_PageLoad,2,650,637,663,663,663,637,663,0.000%,.00115,0.02,0.01
TR_perfuserd_SubPORatio_SubPO_FillRatio_R1,2,1228,1215,1242,1242,1242,1215,1242,0.000%,.00124,0.01,0.02
TR_perfuserb_SubPORatio_SubPO_FillRatio_R1,2,1498,1265,1732,1732,1732,1265,1732,0.000%,.00156,0.02,0.02
TR_perfuserc_SubPORatio_SubPO_FillRatio_R1,2,1253,1252,1254,1254,1254,1252,1254,0.000%,.00124,0.01,0.02
TR_perfusera_SubPORatio_SubPO_FillRatio_R1,2,1452,1250,1655,1655,1655,1250,1655,0.000%,.00158,0.02,0.02
TR_perfuserd_SubPORatio_SubPO_AddRatio_R1,2,446,404,488,488,488,404,488,0.000%,.00124,0.01,0.00
TR_perfuserb_SubPORatio_SubPO_AddRatio_R1,2,413,370,456,456,456,370,456,0.000%,.00156,0.01,0.01
TR_perfuserc_SubPORatio_SubPO_AddRatio_R1,2,367,336,398,398,398,336,398,0.000%,.00124,0.01,0.00
TR_perfusere_SubPORatio_SubPO_FillRatio_R1,2,1251,1193,1309,1309,1309,1193,1309,0.000%,.00115,0.01,0.02
TR_perfusera_SubPORatio_SubPO_AddRatio_R1,2,665,384,946,946,946,384,946,0.000%,.00158,0.01,0.01
TR_perfusere_SubPORatio_SubPO_AddRatio_R1,2,408,399,417,417,417,399,417,0.000%,.00115,0.01,0.00
TR_perfuserb_SubPORatio_SubPO_FillRatio_R2,2,1467,1129,1805,1805,1805,1129,1805,0.000%,.00156,0.02,0.02
TR_perfuserd_SubPORatio_SubPO_FillRatio_R2,2,1287,1141,1433,1433,1433,1141,1433,0.000%,.00124,0.01,0.02
TR_perfuserc_SubPORatio_SubPO_FillRatio_R2,2,1255,1114,1396,1396,1396,1114,1396,0.000%,.00124,0.01,0.02
TR_perfuserb_SubPORatio_SubPO_AddRatio_R2,2,436,350,523,523,523,350,523,0.000%,.00156,0.01,0.01
TR_perfusera_SubPORatio_SubPO_FillRatio_R2,2,1653,1140,2167,2167,2167,1140,2167,0.000%,.00158,0.02,0.02
TR_perfuserd_SubPORatio_SubPO_AddRatio_R2,2,578,365,791,791,791,365,791,0.000%,.00124,0.01,0.00
TR_perfuserc_SubPORatio_SubPO_AddRatio_R2,2,512,431,593,593,593,431,593,0.000%,.00124,0.01,0.00
TR_perfusere_SubPORatio_SubPO_FillRatio_R2,2,1255,1153,1357,1357,1357,1153,1357,0.000%,.00115,0.01,0.02
TR_perfusera_SubPORatio_SubPO_AddRatio_R2,2,1482,351,2613,2613,2613,351,2613,0.000%,.00157,0.01,0.01
TR_perfusere_SubPORatio_SubPO_AddRatio_R2,2,403,298,509,509,509,298,509,0.000%,.00115,0.01,0.00
TR_perfuserd_SubPOMarker_Pageload,2,701,602,800,800,800,602,800,0.000%,.00124,0.02,0.01
TR_perfuserb_SubPOMarker_Pageload,2,772,712,832,832,832,712,832,0.000%,.00156,0.02,0.01
TR_perfuserc_SubPOMarker_Pageload,2,690,584,797,797,797,584,797,0.000%,.00124,0.02,0.01
TR_perfusera_SubPOMarker_Pageload,2,764,570,958,958,958,570,958,0.000%,.00157,0.02,0.01
TR_perfuserd_SubPOMarker_Versions1_Save_Button_Click,2,530,462,599,599,599,462,599,0.000%,.00124,0.01,0.00
TR_perfuserc_SubPOMarker_Versions1_Save_Button_Click,2,524,460,589,589,589,460,589,0.000%,.00124,0.01,0.00
TR_perfuserb_SubPOMarker_Versions1_Save_Button_Click,2,610,511,710,710,710,511,710,0.000%,.00156,0.01,0.00
TR_perfusera_SubPOMarker_Versions1_Save_Button_Click,2,502,403,601,601,601,403,601,0.000%,.00157,0.01,0.00
TR_perfusere_SubPOMarker_Pageload,2,868,763,973,973,973,763,973,0.000%,.00115,0.02,0.01
TR_perfuserd_SubPOMarker_Versions2_Save_Button_Click,2,375,298,452,452,452,298,452,0.000%,.00124,0.01,0.00
TR_perfuserc_SubPOMarker_Versions2_Save_Button_Click,2,348,274,423,423,423,274,423,0.000%,.00124,0.01,0.00
TR_perfuserb_SubPOMarker_Versions2_Save_Button_Click,2,386,284,489,489,489,284,489,0.000%,.00156,0.01,0.00
TR_perfusera_SubPOMarker_Versions2_Save_Button_Click,2,362,283,441,441,441,283,441,0.000%,.00157,0.01,0.00
TR_perfusere_SubPOMarker_Versions1_Save_Button_Click,2,357,293,421,421,421,293,421,0.000%,.00115,0.00,0.00
TR_perfuserd_MarkerSummary_PageLoad,2,244,224,265,265,265,224,265,0.000%,.00124,0.01,0.00
TR_perfuserc_MarkerSummary_PageLoad,2,260,224,297,297,297,224,297,0.000%,.00124,0.01,0.00
TR_perfuserb_MarkerSummary_PageLoad,2,252,222,283,283,283,222,283,0.000%,.00156,0.01,0.00
TR_perfuserd_MarkerSummary_SubPo_Load,2,201,151,252,252,252,151,252,0.000%,.00124,0.00,0.00
TR_perfusera_MarkerSummary_PageLoad,2,254,223,286,286,286,223,286,0.000%,.00157,0.01,0.00
TR_perfuserc_MarkerSummary_SubPo_Load,2,225,150,300,300,300,150,300,0.000%,.00124,0.00,0.00
TR_perfuserb_MarkerSummary_SubPo_Load,2,264,151,378,378,378,151,378,0.000%,.00156,0.00,0.00
TR_perfusere_SubPOMarker_Versions2_Save_Button_Click,2,373,274,473,473,473,274,473,0.000%,.00115,0.01,0.00
TR_perfusera_MarkerSummary_SubPo_Load,2,223,151,296,296,296,151,296,0.000%,.00157,0.00,0.00
TR_perfusere_MarkerSummary_PageLoad,2,268,224,313,313,313,224,313,0.000%,.00115,0.01,0.00
TR_perfusere_MarkerSummary_SubPo_Load,2,205,155,255,255,255,155,255,0.000%,.00115,0.00,0.00
TR_perfuserd_PackingList_PageLoad,2,708,587,830,830,830,587,830,0.000%,.00124,0.02,0.01
TR_perfuserc_PackingList_PageLoad,2,717,573,862,862,862,573,862,0.000%,.00124,0.02,0.01
TR_perfuserb_PackingList_PageLoad,2,681,582,781,781,781,582,781,0.000%,.00156,0.02,0.01
TR_perfusera_PackingList_PageLoad,2,767,660,875,875,875,660,875,0.000%,.00157,0.02,0.01
TR_perfuserd_GenerateDockets_PageLoad,2,254,228,281,281,281,228,281,0.000%,.00124,0.01,0.00
TR_perfuserc_GenerateDockets_PageLoad,2,252,233,271,271,271,233,271,0.000%,.00124,0.01,0.00
TR_perfuserb_GenerateDockets_PageLoad,2,258,222,295,295,295,222,295,0.000%,.00156,0.01,0.00
TR_perfuserd_GenerateDockets_SubPo_Load,2,130,111,149,149,149,111,149,0.000%,.00124,0.00,0.00
TR_perfusera_GenerateDockets_PageLoad,2,267,219,316,316,316,219,316,0.000%,.00157,0.01,0.00
TR_perfuserc_GenerateDockets_SubPo_Load,2,154,109,200,200,200,109,200,0.000%,.00124,0.00,0.00
TR_perfuserb_GenerateDockets_SubPo_Load,2,146,109,183,183,183,109,183,0.000%,.00156,0.00,0.00
TR_perfusere_PackingList_PageLoad,2,709,561,858,858,858,561,858,0.000%,.00115,0.01,0.01
TR_perfusera_GenerateDockets_SubPo_Load,2,141,110,173,173,173,110,173,0.000%,.00157,0.00,0.00
TR_perfusere_GenerateDockets_PageLoad,2,294,224,365,365,365,224,365,0.000%,.00115,0.01,0.00
TR_perfusere_GenerateDockets_SubPo_Load,2,185,115,256,256,256,115,256,0.000%,.00115,0.00,0.00
TR_perfuserd_GenerateDockets_Wait,2,1284442,954909,1613976,1613976,1613976,954909,1613976,0.000%,.00062,0.08,0.13
