Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserb_MasterPOPlan_PageLoad,1,424,424,424,424,424,424,424,0.000%,1.89753,2.51,2.59
TR_perfusera_MasterPOPlan_PageLoad,1,775,775,775,775,775,775,775,0.000%,1.13250,1.50,1.54
TR_perfuserc_MasterPOPlan_PageLoad,1,456,456,456,456,456,456,456,0.000%,1.77936,2.32,2.43
TR_perfusere_MasterPOPlan_PageLoad,1,346,346,346,346,346,346,346,0.000%,2.19298,2.90,2.99
TR_perfuserg_MasterPOPlan_PageLoad,1,341,341,341,341,341,341,341,0.000%,2.19298,2.86,2.99
TR_perfuserf_MasterPOPlan_PageLoad,1,422,422,422,422,422,422,422,0.000%,1.86567,2.47,2.54
TR_perfuserd_MasterPOPlan_PageLoad,1,533,533,533,533,533,533,533,0.000%,1.55521,2.06,2.12
TR_perfuserh_MasterPOPlan_PageLoad,1,337,337,337,337,337,337,337,0.000%,2.18818,2.89,2.98
TR_perfuserj_MasterPOPlan_PageLoad,1,359,359,359,359,359,359,359,0.000%,2.11864,2.80,2.89
TR_perfuseri_MasterPOPlan_PageLoad,1,450,450,450,450,450,450,450,0.000%,1.79533,2.37,2.45
TR_perfuserk_MasterPOPlan_PageLoad,1,359,359,359,359,359,359,359,0.000%,2.15054,2.84,2.93
TR_perfuserl_MasterPOPlan_PageLoad,1,353,353,353,353,353,353,353,0.000%,2.14592,2.84,2.93
TR_perfusern_MasterPOPlan_PageLoad,1,326,326,326,326,326,326,326,0.000%,2.28833,3.03,3.12
TR_perfuserm_MasterPOPlan_PageLoad,1,439,439,439,439,439,439,439,0.000%,1.84843,2.41,2.52
TR_perfusero_MasterPOPlan_PageLoad,1,402,402,402,402,402,402,402,0.000%,1.92308,2.54,2.62
TR_perfusera_MasterPOPlan_FillData,1,436,436,436,436,436,436,436,0.000%,1.49477,9.38,4.25
TR_perfuserb_MasterPOPlan_FillData,1,487,487,487,487,487,487,487,0.000%,1.40647,8.83,4.00
TR_perfusere_MasterPOPlan_FillData,1,532,532,532,532,532,532,532,0.000%,1.31062,8.25,3.73
TR_perfuserg_MasterPOPlan_FillData,1,462,462,462,462,462,462,462,0.000%,1.44718,9.11,4.12
TR_perfuserc_MasterPOPlan_FillData,1,574,574,574,574,574,574,574,0.000%,1.25156,7.86,3.56
TR_perfuserf_MasterPOPlan_FillData,1,540,540,540,540,540,540,540,0.000%,1.31234,8.26,3.73
TR_perfuserh_MasterPOPlan_FillData,1,537,537,537,537,537,537,537,0.000%,1.30719,8.23,3.72
TR_perfuserd_MasterPOPlan_FillData,1,561,561,561,561,561,561,561,0.000%,1.25156,7.86,3.56
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,244,244,244,244,244,244,244,0.000%,2.82486,3.41,4.25
TR_perfuserj_MasterPOPlan_FillData,1,522,522,522,522,522,522,522,0.000%,1.34228,8.43,3.82
TR_perfuseri_MasterPOPlan_FillData,1,499,499,499,499,499,499,499,0.000%,1.37741,8.62,3.92
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,272,272,272,272,272,272,272,0.000%,2.63158,3.23,3.96
TR_perfuserk_MasterPOPlan_FillData,1,524,524,524,524,524,524,524,0.000%,1.34953,8.50,3.84
TR_perfuserl_MasterPOPlan_FillData,1,517,517,517,517,517,517,517,0.000%,1.30208,8.20,3.70
TR_perfusere_MasterPOPlan_Search_ButtonClick,1,197,197,197,197,197,197,197,0.000%,3.25733,3.93,4.90
TR_perfuserg_MasterPOPlan_Search_ButtonClick,1,217,217,217,217,217,217,217,0.000%,3.15457,3.87,4.74
TR_perfusern_MasterPOPlan_FillData,1,509,509,509,509,509,509,509,0.000%,1.38122,8.67,3.93
TR_perfuserm_MasterPOPlan_FillData,1,497,497,497,497,497,497,497,0.000%,1.40647,8.83,4.00
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,220,220,220,220,220,220,220,0.000%,2.94985,3.56,4.43
TR_perfusero_MasterPOPlan_FillData,1,480,480,480,480,480,480,480,0.000%,1.44509,9.10,4.11
TR_perfuserf_MasterPOPlan_Search_ButtonClick,1,221,221,221,221,221,221,221,0.000%,3.01205,3.64,4.53
TR_perfuserh_MasterPOPlan_Search_ButtonClick,1,210,210,210,210,210,210,210,0.000%,3.03951,3.73,4.57
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,197,197,197,197,197,197,197,0.000%,3.17460,3.89,4.77
TR_perfuserj_MasterPOPlan_Search_ButtonClick,1,208,208,208,208,208,208,208,0.000%,3.15457,3.87,4.74
TR_perfuseri_MasterPOPlan_Search_ButtonClick,1,176,176,176,176,176,176,176,0.000%,3.33333,4.03,5.01
TR_perfuserk_MasterPOPlan_Search_ButtonClick,1,222,222,222,222,222,222,222,0.000%,2.99401,3.67,4.50
TR_perfusern_MasterPOPlan_Search_ButtonClick,1,158,158,158,158,158,158,158,0.000%,3.63636,4.39,5.47
TR_perfuserl_MasterPOPlan_Search_ButtonClick,1,191,191,191,191,191,191,191,0.000%,3.18471,3.91,4.79
TR_perfuserm_MasterPOPlan_Search_ButtonClick,1,154,154,154,154,154,154,154,0.000%,3.63636,4.46,5.47
TR_perfusero_MasterPOPlan_Search_ButtonClick,1,140,140,140,140,140,140,140,0.000%,3.87597,4.75,5.83
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,876,876,876,876,876,876,876,0.000%,.59952,12.26,5.70
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,938,938,938,938,938,938,938,0.000%,.58106,11.86,5.53
TR_perfuserg_MasterPOPlan_Proceed_ButtonClick,1,824,824,824,824,824,824,824,0.000%,.62814,12.84,5.97
TR_perfusere_MasterPOPlan_Proceed_ButtonClick,1,796,796,796,796,796,796,796,0.000%,.61996,12.66,5.90
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,817,817,817,817,817,817,817,0.000%,.62189,12.71,5.91
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,800,800,800,800,800,800,800,0.000%,.62461,12.77,5.94
TR_perfuserh_MasterPOPlan_Proceed_ButtonClick,1,837,837,837,837,837,837,837,0.000%,.61162,12.50,5.82
TR_perfuserf_MasterPOPlan_Proceed_ButtonClick,1,867,867,867,867,867,867,867,0.000%,.60423,12.36,5.75
TR_perfuseri_MasterPOPlan_Proceed_ButtonClick,1,804,804,804,804,804,804,804,0.000%,.62933,12.87,5.98
TR_perfuserj_MasterPOPlan_Proceed_ButtonClick,1,785,785,785,785,785,785,785,0.000%,.61652,12.62,5.86
TR_perfusern_MasterPOPlan_Proceed_ButtonClick,1,763,763,763,763,763,763,763,0.000%,.64683,13.21,6.15
TR_perfuserl_MasterPOPlan_Proceed_ButtonClick,1,771,771,771,771,771,771,771,0.000%,.64144,13.13,6.10
TR_perfuserk_MasterPOPlan_Proceed_ButtonClick,1,769,769,769,769,769,769,769,0.000%,.62893,12.85,5.98
TR_perfuserm_MasterPOPlan_Proceed_ButtonClick,1,760,760,760,760,760,760,760,0.000%,.64475,13.17,6.13
TR_perfusero_MasterPOPlan_Proceed_ButtonClick,1,818,818,818,818,818,818,818,0.000%,.61958,12.67,5.89
TR_perfusera_OperationRouting_Save_ButtonClick,1,256,256,256,256,256,256,256,0.000%,2.06612,4.69,6.14
TR_perfuserb_OperationRouting_Save_ButtonClick,1,256,256,256,256,256,256,256,0.000%,2.06186,4.68,6.13
TR_perfuserg_OperationRouting_Save_ButtonClick,1,259,259,259,259,259,259,259,0.000%,2.02020,4.59,6.00
TR_perfusere_OperationRouting_Save_ButtonClick,1,271,271,271,271,271,271,271,0.000%,2.01613,4.58,5.99
TR_perfuserc_OperationRouting_Save_ButtonClick,1,244,244,244,244,244,244,244,0.000%,2.06612,4.73,6.14
TR_perfuserd_OperationRouting_Save_ButtonClick,1,226,226,226,226,226,226,226,0.000%,2.14133,4.86,6.36
TR_perfuserh_OperationRouting_Save_ButtonClick,1,226,226,226,226,226,226,226,0.000%,2.15054,4.92,6.39
