Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,505,505,505,505,505,505,505,0.000%,1.65563,2.19,2.26
TR_perfuserb_MasterPOPlan_PageLoad,1,480,480,480,480,480,480,480,0.000%,1.72117,2.28,2.35
TR_perfuserc_MasterPOPlan_PageLoad,1,233,233,233,233,233,233,233,0.000%,2.95858,3.91,4.03
TR_perfuserd_MasterPOPlan_PageLoad,1,240,240,240,240,240,240,240,0.000%,2.73973,3.62,3.74
TR_perfusera_MasterPOPlan_FillData,1,407,407,407,407,407,407,407,0.000%,1.58983,10.01,4.52
TR_perfuserb_MasterPOPlan_FillData,1,292,292,292,292,292,292,292,0.000%,2.02020,12.72,5.74
TR_perfuserc_MasterPOPlan_FillData,1,598,598,598,598,598,598,598,0.000%,1.20192,7.57,3.42
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,257,257,257,257,257,257,257,0.000%,2.65957,3.26,4.00
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,404,404,404,404,404,404,404,0.000%,1.93798,2.38,2.91
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,117,117,117,117,117,117,117,0.000%,4.21941,5.18,6.34
TR_perfuserd_MasterPOPlan_FillData,1,588,588,588,588,588,588,588,0.000%,1.23762,7.79,3.52
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,191,191,191,191,191,191,191,0.000%,3.23625,3.97,4.86
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,789,789,789,789,789,789,789,0.000%,.63171,12.95,6.01
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,837,837,837,837,837,837,837,0.000%,.60024,12.30,5.71
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,815,815,815,815,815,815,815,0.000%,.61728,12.65,5.87
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,776,776,776,776,776,776,776,0.000%,.62814,12.88,5.97
TR_perfusera_OperationRouting_Save_ButtonClick,1,259,259,259,259,259,259,259,0.000%,2.07039,4.74,6.15
TR_perfuserb_OperationRouting_Save_ButtonClick,1,243,243,243,243,243,243,243,0.000%,2.10084,4.81,6.24
TR_perfuserc_OperationRouting_Save_ButtonClick,1,243,243,243,243,243,243,243,0.000%,2.06186,4.72,6.13
TR_perfusera_JobPreference_PageLoad,1,225,225,225,225,225,225,225,0.000%,2.23714,16.56,6.43
TR_perfuserd_OperationRouting_Save_ButtonClick,1,237,237,237,237,237,237,237,0.000%,2.09644,4.80,6.23
TR_perfuserb_JobPreference_PageLoad,1,225,225,225,225,225,225,225,0.000%,2.19298,16.23,6.30
TR_perfuserc_JobPreference_PageLoad,1,233,233,233,233,233,233,233,0.000%,2.10970,15.61,6.06
TR_perfuserd_JobPreference_PageLoad,1,219,219,219,219,219,219,219,0.000%,2.22222,16.45,6.38
TR_perfusera_JobPreference_Save_ButtonClick,1,348,348,348,348,348,348,348,0.000%,1.72712,4.37,5.19
TR_perfuserb_JobPreference_Save_ButtonClick,1,356,356,356,356,356,356,356,0.000%,1.68634,4.26,5.06
TR_perfuserc_JobPreference_Save_ButtonClick,1,254,254,254,254,254,254,254,0.000%,2.07039,5.23,6.22
TR_perfuserd_JobPreference_Save_ButtonClick,1,270,270,270,270,270,270,270,0.000%,2.03252,5.14,6.10
