Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,416,416,416,416,416,416,416,0.000%,1.93798,2.56,2.64
TR_perfuserb_MasterPOPlan_PageLoad,1,349,349,349,349,349,349,349,0.000%,2.21729,2.93,3.02
TR_perfuserd_MasterPOPlan_PageLoad,1,215,215,215,215,215,215,215,0.000%,3.16456,4.18,4.31
TR_perfuserc_MasterPOPlan_PageLoad,1,273,273,273,273,273,273,273,0.000%,2.49377,3.30,3.40
TR_perfusere_MasterPOPlan_PageLoad,1,214,214,214,214,214,214,214,0.000%,3.16456,4.18,4.31
TR_perfuserf_MasterPOPlan_PageLoad,1,210,210,210,210,210,210,210,0.000%,3.22581,4.27,4.40
TR_perfuserg_MasterPOPlan_PageLoad,1,215,215,215,215,215,215,215,0.000%,3.13480,4.15,4.27
TR_perfuserh_MasterPOPlan_PageLoad,1,258,258,258,258,258,258,258,0.000%,2.77778,3.67,3.79
TR_perfuseri_MasterPOPlan_PageLoad,1,288,288,288,288,288,288,288,0.000%,2.56410,3.39,3.50
TR_perfuserj_MasterPOPlan_PageLoad,1,263,263,263,263,263,263,263,0.000%,2.69542,3.56,3.67
TR_perfuserb_MasterPOPlan_FillData,1,309,309,309,309,309,309,309,0.000%,1.95695,12.32,5.57
TR_perfusera_MasterPOPlan_FillData,1,312,312,312,312,312,312,312,0.000%,1.94175,12.23,5.52
TR_perfuserd_MasterPOPlan_FillData,1,337,337,337,337,337,337,337,0.000%,1.81818,11.45,5.17
TR_perfuserk_MasterPOPlan_PageLoad,1,299,299,299,299,299,299,299,0.000%,2.41546,3.19,3.29
TR_perfusere_MasterPOPlan_FillData,1,336,336,336,336,336,336,336,0.000%,1.82149,11.47,5.18
TR_perfuserl_MasterPOPlan_PageLoad,1,284,284,284,284,284,284,284,0.000%,2.59740,3.43,3.54
TR_perfuserc_MasterPOPlan_FillData,1,389,389,389,389,389,389,389,0.000%,1.65289,10.41,4.70
TR_perfuserf_MasterPOPlan_FillData,1,373,373,373,373,373,373,373,0.000%,1.72117,10.84,4.89
TR_perfuserm_MasterPOPlan_PageLoad,1,284,284,284,284,284,284,284,0.000%,2.56410,3.39,3.50
TR_perfuserg_MasterPOPlan_FillData,1,380,380,380,380,380,380,380,0.000%,1.73010,10.89,4.92
TR_perfusern_MasterPOPlan_PageLoad,1,309,309,309,309,309,309,309,0.000%,2.36407,3.13,3.22
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,225,225,225,225,225,225,225,0.000%,3.10559,3.81,4.67
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,226,226,226,226,226,226,226,0.000%,3.11526,3.82,4.68
TR_perfuserh_MasterPOPlan_FillData,1,353,353,353,353,353,353,353,0.000%,1.79211,11.28,5.10
TR_perfusero_MasterPOPlan_PageLoad,1,363,363,363,363,363,363,363,0.000%,2.13675,2.83,2.91
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,228,228,228,228,228,228,228,0.000%,2.96736,3.64,4.46
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,240,240,240,240,240,240,240,0.000%,2.96736,3.64,4.46
TR_perfusere_MasterPOPlan_Search_ButtonClick,1,248,248,248,248,248,248,248,0.000%,2.79330,3.43,4.20
TR_perfuserf_MasterPOPlan_Search_ButtonClick,1,192,192,192,192,192,192,192,0.000%,3.22581,3.96,4.85
TR_perfuseri_MasterPOPlan_FillData,1,391,391,391,391,391,391,391,0.000%,1.63399,10.29,4.65
TR_perfuserj_MasterPOPlan_FillData,1,415,415,415,415,415,415,415,0.000%,1.61551,10.17,4.59
TR_perfuserg_MasterPOPlan_Search_ButtonClick,1,211,211,211,211,211,211,211,0.000%,3.10559,3.81,4.67
TR_perfuserh_MasterPOPlan_Search_ButtonClick,1,183,183,183,183,183,183,183,0.000%,3.57143,4.38,5.37
TR_perfuserk_MasterPOPlan_FillData,1,398,398,398,398,398,398,398,0.000%,1.58983,10.01,4.52
TR_perfuserl_MasterPOPlan_FillData,1,363,363,363,363,363,363,363,0.000%,1.71821,10.82,4.89
TR_perfuseri_MasterPOPlan_Search_ButtonClick,1,176,176,176,176,176,176,176,0.000%,3.47222,4.26,5.22
TR_perfusern_MasterPOPlan_FillData,1,335,335,335,335,335,335,335,0.000%,1.84162,11.60,5.24
TR_perfuserm_MasterPOPlan_FillData,1,414,414,414,414,414,414,414,0.000%,1.57978,9.95,4.49
TR_perfuserj_MasterPOPlan_Search_ButtonClick,1,189,189,189,189,189,189,189,0.000%,3.34448,4.10,5.03
TR_perfuserl_MasterPOPlan_Search_ButtonClick,1,158,158,158,158,158,158,158,0.000%,3.73134,4.58,5.61
TR_perfuserk_MasterPOPlan_Search_ButtonClick,1,167,167,167,167,167,167,167,0.000%,3.66300,4.49,5.51
TR_perfusero_MasterPOPlan_FillData,1,367,367,367,367,367,367,367,0.000%,1.69492,10.67,4.82
TR_perfusern_MasterPOPlan_Search_ButtonClick,1,182,182,182,182,182,182,182,0.000%,3.43643,4.21,5.16
TR_perfuserm_MasterPOPlan_Search_ButtonClick,1,172,172,172,172,172,172,172,0.000%,3.48432,4.27,5.24
TR_perfusero_MasterPOPlan_Search_ButtonClick,1,142,142,142,142,142,142,142,0.000%,3.93701,4.83,5.92
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,883,883,883,883,883,883,883,0.000%,.60459,12.38,5.75
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,894,894,894,894,894,894,894,0.000%,.59488,12.18,5.66
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,974,974,974,974,974,974,974,0.000%,.56243,11.52,5.35
TR_perfuserf_MasterPOPlan_Proceed_ButtonClick,1,865,865,865,865,865,865,865,0.000%,.60901,12.47,5.79
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,910,910,910,910,910,910,910,0.000%,.58754,12.03,5.59
TR_perfusere_MasterPOPlan_Proceed_ButtonClick,1,929,929,929,929,929,929,929,0.000%,.57703,11.81,5.49
TR_perfuserh_MasterPOPlan_Proceed_ButtonClick,1,825,825,825,825,825,825,825,0.000%,.61996,12.69,5.90
TR_perfuserg_MasterPOPlan_Proceed_ButtonClick,1,876,876,876,876,876,876,876,0.000%,.59844,12.25,5.69
TR_perfuseri_MasterPOPlan_Proceed_ButtonClick,1,774,774,774,774,774,774,774,0.000%,.64433,13.19,6.13
TR_perfuserj_MasterPOPlan_Proceed_ButtonClick,1,791,791,791,791,791,791,791,0.000%,.63211,12.94,6.01
TR_perfuserb_OperationRouting_Save_ButtonClick,1,253,253,253,253,253,253,253,0.000%,2.11864,4.85,6.29
TR_perfuserl_MasterPOPlan_Proceed_ButtonClick,1,804,804,804,804,804,804,804,0.000%,.63857,13.08,6.07
