Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,314,314,314,314,314,314,314,0.000%,2.43902,3.23,3.33
TR_perfuserb_MasterPOPlan_PageLoad,1,304,304,304,304,304,304,304,0.000%,2.46305,3.26,3.36
TR_perfuserc_MasterPOPlan_PageLoad,1,229,229,229,229,229,229,229,0.000%,2.93255,3.88,4.00
TR_perfusera_MasterPOPlan_FillData,1,299,299,299,299,299,299,299,0.000%,1.96850,12.40,5.60
TR_perfuserd_MasterPOPlan_PageLoad,1,226,226,226,226,226,226,226,0.000%,3.06748,4.06,4.18
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,128,128,128,128,128,128,128,0.000%,4.20168,5.15,6.31
TR_perfuserb_MasterPOPlan_FillData,1,236,236,236,236,236,236,236,0.000%,2.17865,13.72,6.20
TR_perfuserc_MasterPOPlan_FillData,1,244,244,244,244,244,244,244,0.000%,2.09205,13.17,5.95
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,111,111,111,111,111,111,111,0.000%,4.29185,5.26,6.45
TR_perfuserd_MasterPOPlan_FillData,1,233,233,233,233,233,233,233,0.000%,2.16920,13.66,6.17
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,111,111,111,111,111,111,111,0.000%,4.42478,5.43,6.65
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,113,113,113,113,113,113,113,0.000%,4.32900,5.31,6.51
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,969,969,969,969,969,969,969,0.000%,.56148,11.50,5.34
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,926,926,926,926,926,926,926,0.000%,.57637,11.80,5.48
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,768,768,768,768,768,768,768,0.000%,.63980,13.10,6.08
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,753,753,753,753,753,753,753,0.000%,.62617,12.82,5.95
TR_perfusera_OperationRouting_Save_ButtonClick,1,269,269,269,269,269,269,269,0.000%,1.98413,4.54,5.89
TR_perfuserc_OperationRouting_Save_ButtonClick,1,241,241,241,241,241,241,241,0.000%,2.07900,4.76,6.18
TR_perfuserb_OperationRouting_Save_ButtonClick,1,252,252,252,252,252,252,252,0.000%,1.99601,4.57,5.93
TR_perfuserd_OperationRouting_Save_ButtonClick,1,241,241,241,241,241,241,241,0.000%,2.02429,4.63,6.01
TR_perfusera_JobPreference_PageLoad,1,228,228,228,228,228,228,228,0.000%,2.18818,16.19,6.29
TR_perfuserc_JobPreference_PageLoad,1,217,217,217,217,217,217,217,0.000%,2.25734,16.71,6.49
TR_perfuserb_JobPreference_PageLoad,1,219,219,219,219,219,219,219,0.000%,2.17865,16.12,6.26
TR_perfuserd_JobPreference_PageLoad,1,223,223,223,223,223,223,223,0.000%,2.23214,16.52,6.41
TR_perfusera_JobPreference_Save_ButtonClick,1,279,279,279,279,279,279,279,0.000%,1.98020,5.01,5.95
TR_perfuserc_JobPreference_Save_ButtonClick,1,268,268,268,268,268,268,268,0.000%,1.96850,4.98,5.91
TR_perfuserb_JobPreference_Save_ButtonClick,1,282,282,282,282,282,282,282,0.000%,1.98807,5.03,5.97
TR_perfuserd_JobPreference_Save_ButtonClick,1,295,295,295,295,295,295,295,0.000%,1.87617,4.74,5.63
TR_perfusera_AddAdditionalQty_PageLoad,1,381,381,381,381,381,381,381,0.000%,1.38313,13.50,5.88
TR_perfuserb_AddAdditionalQty_PageLoad,1,366,366,366,366,366,366,366,0.000%,1.42045,13.86,6.04
TR_perfuserc_AddAdditionalQty_PageLoad,1,392,392,392,392,392,392,392,0.000%,1.37174,13.39,5.83
TR_perfuserd_AddAdditionalQty_PageLoad,1,397,397,397,397,397,397,397,0.000%,1.36054,13.28,5.78
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,288,288,288,288,288,288,288,0.000%,1.91205,5.91,7.29
TR_perfuserb_AddAdditionalQty_Submit_ButtonClick,1,301,301,301,301,301,301,301,0.000%,1.87970,5.81,7.16
TR_perfuserc_AddAdditionalQty_Submit_ButtonClick,1,318,318,318,318,318,318,318,0.000%,1.84502,5.70,7.03
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,1,300,300,300,300,300,300,300,0.000%,1.86916,5.78,7.12
TR_perfusera_FabricProperties_PageLoad,1,444,444,444,444,444,444,444,0.000%,1.28370,19.97,5.55
TR_perfuserb_FabricProperties_PageLoad,1,414,414,414,414,414,414,414,0.000%,1.31234,20.42,5.67
TR_perfuserc_FabricProperties_PageLoad,1,416,416,416,416,416,416,416,0.000%,1.29366,20.13,5.59
TR_perfuserd_FabricProperties_PageLoad,1,412,412,412,412,412,412,412,0.000%,1.31579,20.47,5.68
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,245,245,245,245,245,245,245,0.000%,2.08333,16.71,6.10
TR_perfuserb_FabricProperties_ExcessCut_Save_ButtonClick,1,234,234,234,234,234,234,234,0.000%,2.18341,17.51,6.40
TR_perfuserc_FabricProperties_ExcessCut_Save_ButtonClick,1,229,229,229,229,229,229,229,0.000%,2.17865,17.47,6.38
TR_perfuserd_FabricProperties_ExcessCut_Save_ButtonClick,1,235,235,235,235,235,235,235,0.000%,2.22717,17.86,6.52
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,1,278,278,278,278,278,278,278,0.000%,1.95312,6.23,5.62
TR_perfuserb_FabricProperties_MaxPlies_Update_ButtonClick,1,260,260,260,260,260,260,260,0.000%,2.03666,6.49,5.86
TR_perfuserc_FabricProperties_MaxPlies_Update_ButtonClick,1,265,265,265,265,265,265,265,0.000%,1.95312,6.23,5.62
TR_perfuserd_FabricProperties_MaxPlies_Update_ButtonClick,1,276,276,276,276,276,276,276,0.000%,2.00401,6.39,5.76
TR_perfusera_FabricProperties_EntermaxpliesAction_1,1,472,472,472,472,472,472,472,0.000%,1.07066,5.77,6.11
TR_perfuserb_FabricProperties_EntermaxpliesAction_1,1,477,477,477,477,477,477,477,0.000%,1.07411,5.79,6.13
TR_perfuserc_FabricProperties_EntermaxpliesAction_1,1,484,484,484,484,484,484,484,0.000%,1.07643,5.80,6.14
TR_perfuserd_FabricProperties_EntermaxpliesAction_1,1,482,482,482,482,482,482,482,0.000%,1.04493,5.63,5.96
TR_perfusera_FabricProperties_EntermaxpliesAction_2,1,486,486,486,486,486,486,486,0.000%,1.05263,5.68,6.00
TR_perfuserb_FabricProperties_EntermaxpliesAction_2,1,481,481,481,481,481,481,481,0.000%,1.05152,5.68,5.99
TR_perfuserc_FabricProperties_EntermaxpliesAction_2,1,488,488,488,488,488,488,488,0.000%,1.03734,5.60,5.91
TR_perfuserd_FabricProperties_EntermaxpliesAction_2,1,510,510,510,510,510,510,510,0.000%,1.02354,5.52,5.83
TR_perfusera_ComponentGroupAssigment_PageLoad,1,323,323,323,323,323,323,323,0.000%,1.48810,12.80,6.44
TR_perfuserb_ComponentGroupAssigment_PageLoad,1,337,337,337,337,337,337,337,0.000%,1.50376,12.93,6.51
TR_perfuserc_ComponentGroupAssigment_PageLoad,1,337,337,337,337,337,337,337,0.000%,1.44092,12.39,6.24
TR_perfuserd_ComponentGroupAssigment_PageLoad,1,332,332,332,332,332,332,332,0.000%,1.47929,12.72,6.40
TR_perfusera_ComponentGroupAssigment_Save_ButtonClick,1,796,796,796,796,796,796,796,0.000%,.61463,7.50,6.71
TR_perfuserb_ComponentGroupAssigment_Save_ButtonClick,1,786,786,786,786,786,786,786,0.000%,.60680,7.40,6.62
TR_perfuserc_ComponentGroupAssigment_Save_ButtonClick,1,786,786,786,786,786,786,786,0.000%,.61237,7.47,6.68
TR_perfuserd_ComponentGroupAssigment_Save_ButtonClick,1,881,881,881,881,881,881,881,0.000%,.56786,6.92,6.20
TR_perfusera_ComponentGroupAssigment_Search_ButtonClick (Swap),1,550,550,550,550,550,550,550,0.000%,.86881,6.97,6.34
TR_perfuserc_ComponentGroupAssigment_Search_ButtonClick (Swap),1,550,550,550,550,550,550,550,0.000%,.88183,7.07,6.43
TR_perfuserb_ComponentGroupAssigment_Search_ButtonClick (Swap),1,640,640,640,640,640,640,640,0.000%,.81037,6.50,5.91
TR_perfuserd_ComponentGroupAssigment_Search_ButtonClick (Swap),1,646,646,646,646,646,646,646,0.000%,.82508,6.61,6.02
TR_perfusera_SubPOCreation_PageLoad,1,471,471,471,471,471,471,471,0.000%,1.07181,11.79,6.21
TR_perfuserc_SubPOCreation_PageLoad,1,483,483,483,483,483,483,483,0.000%,1.04493,11.50,6.06
TR_perfuserb_SubPOCreation_PageLoad,1,577,577,577,577,577,577,577,0.000%,.95511,10.50,5.53
TR_perfuserd_SubPOCreation_PageLoad,1,473,473,473,473,473,473,473,0.000%,1.09051,12.00,6.32
TR_perfusera_SubPOCreation_forProductionOrder,1,875,875,875,875,875,875,875,0.000%,.66667,7.26,4.91
TR_perfuserb_SubPOCreation_forProductionOrder,1,739,739,739,739,739,739,739,0.000%,.72046,7.84,5.31
TR_perfuserd_SubPOCreation_forProductionOrder,1,754,754,754,754,754,754,754,0.000%,.72098,7.85,5.31
TR_perfuserc_SubPOCreation_forProductionOrder,1,1683,1683,1683,1683,1683,1683,1683,0.000%,.43592,4.74,3.21
TR_perfusera_SubPORatio_PageLoad,1,578,578,578,578,578,578,578,0.000%,.88731,12.20,6.33
TR_perfuserb_SubPORatio_PageLoad,1,552,552,552,552,552,552,552,0.000%,.89366,12.29,6.37
TR_perfuserd_SubPORatio_PageLoad,1,574,574,574,574,574,574,574,0.000%,.86730,11.92,6.19
TR_perfuserc_SubPORatio_PageLoad,1,577,577,577,577,577,577,577,0.000%,.88731,12.20,6.33
TR_perfusera_SubPORatio_SubPO_FillRatio_R1,1,1184,1184,1184,1184,1184,1184,1184,0.000%,.40650,4.85,6.28
TR_perfuserb_SubPORatio_SubPO_FillRatio_R1,1,1169,1169,1169,1169,1169,1169,1169,0.000%,.41545,4.96,6.42
TR_perfuserd_SubPORatio_SubPO_FillRatio_R1,1,1181,1181,1181,1181,1181,1181,1181,0.000%,.41034,4.90,6.34
TR_perfusera_SubPORatio_SubPO_AddRatio_R1,1,347,347,347,347,347,347,347,0.000%,1.58228,9.86,5.29
TR_perfuserb_SubPORatio_SubPO_AddRatio_R1,1,405,405,405,405,405,405,405,0.000%,1.42653,8.89,4.77
TR_perfuserc_SubPORatio_SubPO_FillRatio_R1,1,1177,1177,1177,1177,1177,1177,1177,0.000%,.41085,4.90,6.35
TR_perfuserd_SubPORatio_SubPO_AddRatio_R1,1,394,394,394,394,394,394,394,0.000%,1.46628,9.14,4.90
TR_perfuserc_SubPORatio_SubPO_AddRatio_R1,1,353,353,353,353,353,353,353,0.000%,1.57729,9.83,5.27
TR_perfusera_SubPORatio_SubPO_FillRatio_R2,1,1167,1167,1167,1167,1167,1167,1167,0.000%,.42319,4.84,6.28
TR_perfuserb_SubPORatio_SubPO_FillRatio_R2,1,1124,1124,1124,1124,1124,1124,1124,0.000%,.43103,4.93,6.39
TR_perfusera_SubPORatio_SubPO_AddRatio_R2,1,314,314,314,314,314,314,314,0.000%,1.87617,12.86,6.27
TR_perfuserd_SubPORatio_SubPO_FillRatio_R2,1,1119,1119,1119,1119,1119,1119,1119,0.000%,.43011,4.92,6.38
TR_perfuserb_SubPORatio_SubPO_AddRatio_R2,1,310,310,310,310,310,310,310,0.000%,1.84502,12.64,6.17
TR_perfuserc_SubPORatio_SubPO_FillRatio_R2,1,1110,1110,1110,1110,1110,1110,1110,0.000%,.42863,4.91,6.36
TR_perfuserd_SubPORatio_SubPO_AddRatio_R2,1,293,293,293,293,293,293,293,0.000%,1.85874,12.74,6.22
TR_perfuserc_SubPORatio_SubPO_AddRatio_R2,1,300,300,300,300,300,300,300,0.000%,1.86220,12.76,6.23
TR_perfusera_SubPOMarker_Pageload,1,584,584,584,584,584,584,584,0.000%,.87336,11.84,6.10
TR_perfuserb_SubPOMarker_Pageload,1,568,568,568,568,568,568,568,0.000%,.87336,11.84,6.10
TR_perfusera_SubPOMarker_Versions1_Save_Button_Click,1,289,289,289,289,289,289,289,0.000%,1.92308,8.27,5.84
TR_perfuserd_SubPOMarker_Pageload,1,570,570,570,570,570,570,570,0.000%,.89206,12.09,6.23
TR_perfuserb_SubPOMarker_Versions1_Save_Button_Click,1,281,281,281,281,281,281,281,0.000%,1.98807,8.55,6.04
TR_perfuserc_SubPOMarker_Pageload,1,668,668,668,668,668,668,668,0.000%,.81433,11.03,5.69
TR_perfuserd_SubPOMarker_Versions1_Save_Button_Click,1,289,289,289,289,289,289,289,0.000%,1.91939,8.26,5.83
TR_perfusera_SubPOMarker_Versions2_Save_Button_Click,1,286,286,286,286,286,286,286,0.000%,1.89394,9.37,5.75
TR_perfuserb_SubPOMarker_Versions2_Save_Button_Click,1,259,259,259,259,259,259,259,0.000%,2.02429,10.01,6.15
TR_perfusera_MarkerSummary_PageLoad,1,221,221,221,221,221,221,221,0.000%,2.21729,16.49,6.46
TR_perfuserc_SubPOMarker_Versions1_Save_Button_Click,1,284,284,284,284,284,284,284,0.000%,1.93050,8.31,5.87
TR_perfuserd_SubPOMarker_Versions2_Save_Button_Click,1,278,278,278,278,278,278,278,0.000%,1.93798,9.59,5.89
TR_perfuserb_MarkerSummary_PageLoad,1,329,329,329,329,329,329,329,0.000%,1.85185,13.77,5.40
TR_perfusera_MarkerSummary_SubPo_Load,1,152,152,152,152,152,152,152,0.000%,3.66300,9.36,5.12
TR_perfuserb_MarkerSummary_SubPo_Load,1,138,138,138,138,138,138,138,0.000%,3.90625,9.98,5.46
TR_perfuserd_MarkerSummary_PageLoad,1,223,223,223,223,223,223,223,0.000%,2.20264,16.38,6.42
TR_perfuserc_SubPOMarker_Versions2_Save_Button_Click,1,365,365,365,365,365,365,365,0.000%,1.61290,7.97,4.90
TR_perfuserd_MarkerSummary_SubPo_Load,1,140,140,140,140,140,140,140,0.000%,3.86100,9.86,5.40
TR_perfuserc_MarkerSummary_PageLoad,1,215,215,215,215,215,215,215,0.000%,2.24215,16.67,6.53
TR_perfusera_PackingList_PageLoad,1,559,559,559,559,559,559,559,0.000%,.90334,11.32,6.54
TR_perfuserc_MarkerSummary_SubPo_Load,1,143,143,143,143,143,143,143,0.000%,3.75940,9.61,5.26
TR_perfuserb_PackingList_PageLoad,1,658,658,658,658,658,658,658,0.000%,.80515,10.08,5.82
TR_perfusera_GenerateDockets_PageLoad,1,216,216,216,216,216,216,216,0.000%,2.24719,16.71,6.55
TR_perfuserd_PackingList_PageLoad,1,560,560,560,560,560,560,560,0.000%,.89445,11.21,6.47
TR_perfusera_GenerateDockets_SubPo_Load,1,120,120,120,120,120,120,120,0.000%,4.27350,8.05,6.12
TR_perfuserb_GenerateDockets_PageLoad,1,228,228,228,228,228,228,228,0.000%,2.14133,15.92,6.24
TR_perfuserd_GenerateDockets_PageLoad,1,222,222,222,222,222,222,222,0.000%,2.21239,16.45,6.45
TR_perfuserb_GenerateDockets_SubPo_Load,1,105,105,105,105,105,105,105,0.000%,4.46429,8.41,6.39
TR_perfuserc_PackingList_PageLoad,1,539,539,539,539,539,539,539,0.000%,.89928,11.27,6.51
TR_perfuserd_GenerateDockets_SubPo_Load,1,106,106,106,106,106,106,106,0.000%,4.80769,9.06,6.88
TR_perfuserc_GenerateDockets_PageLoad,1,225,225,225,225,225,225,225,0.000%,2.23214,16.60,6.50
TR_perfuserc_GenerateDockets_SubPo_Load,1,109,109,109,109,109,109,109,0.000%,4.52489,8.52,6.48
TR_perfusera_GenerateDockets_Wait,1,141996,141996,141996,141996,141996,141996,141996,0.000%,.00704,0.11,0.17
TR_perfusera_GenerateDockets_ButtonClick,1,464,464,464,464,464,464,464,0.000%,1.57233,3.81,3.56
TR_perfuserb_GenerateDockets_Wait,1,152606,152606,152606,152606,152606,152606,152606,0.000%,.00655,0.11,0.17
TR_perfuserb_GenerateDockets_ButtonClick,1,430,430,430,430,430,430,430,0.000%,1.65563,4.01,3.75
TR_perfuserd_GenerateDockets_Wait,1,157694,157694,157694,157694,157694,157694,157694,0.000%,.00634,0.11,0.17
TR_perfuserd_GenerateDockets_ButtonClick,1,270,270,270,270,270,270,270,0.000%,2.20264,5.34,4.98
TR_perfuserc_GenerateDockets_Wait,1,157735,157735,157735,157735,157735,157735,157735,0.000%,.00634,0.11,0.17
TR_perfuserc_GenerateDockets_ButtonClick,1,246,246,246,246,246,246,246,0.000%,2.40385,5.82,5.44
TR_perfusera_GenerateCuts_Wait,1,110477,110477,110477,110477,110477,110477,110477,0.000%,.00904,0.11,0.17
TR_perfusera_GenerateCuts_ButtonClick,1,1942,1942,1942,1942,1942,1942,1942,0.000%,.45935,1.35,2.79
TR_perfusera_GenerateCutJobplanning_Wait,1,0,0,0,0,0,0,0,0.000%,250.00000,0.00,0.00
Debug Sampler,4,0,0,0,0,0,0,0,0.000%,.07820,0.18,0.00
TR_perfuserb_GenerateCuts_Wait,1,131032,131032,131032,131032,131032,131032,131032,0.000%,.00762,0.11,0.17
TR_perfuserb_GenerateCuts_ButtonClick,1,2415,2415,2415,2415,2415,2415,2415,0.000%,.37679,1.11,2.28
TR_perfuserb_GenerateCutJobplanning_Wait,1,0,0,0,0,0,0,0,0.000%,250.00000,0.00,0.00
TR_perfuserd_GenerateCuts_Wait,1,145320,145320,145320,145320,145320,145320,145320,0.000%,.00688,0.11,0.17
TR_perfuserc_GenerateCuts_Wait,1,145131,145131,145131,145131,145131,145131,145131,0.000%,.00688,0.11,0.17
TR_perfuserd_GenerateCuts_ButtonClick,1,1892,1892,1892,1892,1892,1892,1892,0.000%,.47281,1.39,2.87
TR_perfuserd_GenerateCutJobplanning_Wait,1,0,0,0,0,0,0,0,0.000%,333.33333,0.00,0.00
TR_perfuserc_GenerateCuts_ButtonClick,1,1848,1848,1848,1848,1848,1848,1848,0.000%,.48450,1.42,2.94
TR_perfuserc_GenerateCutJobplanning_Wait,1,0,0,0,0,0,0,0,0.000%,500.00000,0.00,0.00
TOTAL,152,7947,337,1177,2415,152606,0,157735,0.000%,.45553,3.43,2.62
