Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,350,350,350,350,350,350,350,0.000%,2.24215,3.93,3.03
TR_perfuserb_MasterPOPlan_PageLoad,1,286,286,286,286,286,286,286,0.000%,2.58398,4.53,3.49
TR_perfuserc_MasterPOPlan_PageLoad,1,274,274,274,274,274,274,274,0.000%,2.65252,4.65,3.58
TR_perfusera_MasterPOPlan_FillData,1,368,368,368,368,368,368,368,0.000%,1.74825,11.01,4.93
TR_perfuserd_MasterPOPlan_PageLoad,1,268,268,268,268,268,268,268,0.000%,2.69542,4.72,3.64
TR_perfuserb_MasterPOPlan_FillData,1,331,331,331,331,331,331,331,0.000%,1.78891,11.26,5.04
TR_perfuserc_MasterPOPlan_FillData,1,326,326,326,326,326,326,326,0.000%,1.83824,11.58,5.18
TR_perfuserd_MasterPOPlan_FillData,1,303,303,303,303,303,303,303,0.000%,1.84162,11.60,5.19
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,529,529,529,529,529,529,529,0.000%,1.53846,1.89,2.29
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,356,356,356,356,356,356,356,0.000%,2.10084,2.58,3.13
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,140,140,140,140,140,140,140,0.000%,3.89105,4.77,5.80
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,131,131,131,131,131,131,131,0.000%,3.96825,4.87,5.91
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,799,799,799,799,799,799,799,0.000%,.65876,16.80,6.21
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,828,828,828,828,828,828,828,0.000%,.64599,16.47,6.09
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,830,830,830,830,830,830,830,0.000%,.64433,16.43,6.07
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,758,758,758,758,758,758,758,0.000%,.67295,17.16,6.34
TR_perfusera_OperationRouting_Save_ButtonClick,1,282,282,282,282,282,282,282,0.000%,1.98413,4.54,5.84
TR_perfuserb_OperationRouting_Save_ButtonClick,1,291,291,291,291,291,291,291,0.000%,1.96850,4.51,5.80
TR_perfuserc_OperationRouting_Save_ButtonClick,1,303,303,303,303,303,303,303,0.000%,1.91571,4.39,5.64
TR_perfuserd_OperationRouting_Save_ButtonClick,1,258,258,258,258,258,258,258,0.000%,2.04918,4.69,6.04
TR_perfuserc_JobPreference_PageLoad,1,265,265,265,265,265,265,265,0.000%,2.07900,15.39,5.92
TR_perfusera_JobPreference_PageLoad,1,256,256,256,256,256,256,256,0.000%,2.04499,15.13,5.82
TR_perfuserb_JobPreference_PageLoad,1,266,266,266,266,266,266,266,0.000%,1.98413,14.68,5.65
TR_perfuserd_JobPreference_PageLoad,1,263,263,263,263,263,263,263,0.000%,2.04499,15.13,5.82
TR_perfusera_JobPreference_Save_ButtonClick,1,352,352,352,352,352,352,352,0.000%,1.71233,4.33,5.10
TR_perfuserb_JobPreference_Save_ButtonClick,1,357,357,357,357,357,357,357,0.000%,1.72712,4.37,5.14
TR_perfuserc_JobPreference_Save_ButtonClick,1,383,383,383,383,383,383,383,0.000%,1.63132,4.12,4.86
TR_perfuserd_JobPreference_Save_ButtonClick,1,271,271,271,271,271,271,271,0.000%,2.02020,5.11,6.02
TR_perfuserb_AddAdditionalQty_PageLoad,1,439,439,439,439,439,439,439,0.000%,1.30548,14.10,5.50
TR_perfusera_AddAdditionalQty_PageLoad,1,434,434,434,434,434,434,434,0.000%,1.28370,13.87,5.41
TR_perfuserc_AddAdditionalQty_PageLoad,1,417,417,417,417,417,417,417,0.000%,1.28370,13.87,5.41
TR_perfuserd_AddAdditionalQty_PageLoad,1,405,405,405,405,405,405,405,0.000%,1.34409,14.52,5.66
TR_perfuserb_AddAdditionalQty_Submit_ButtonClick,1,290,290,290,290,290,290,290,0.000%,1.90476,5.89,7.21
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,316,316,316,316,316,316,316,0.000%,1.81818,5.62,6.88
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,1,342,342,342,342,342,342,342,0.000%,1.72414,5.33,6.53
TR_perfuserc_AddAdditionalQty_Submit_ButtonClick,1,366,366,366,366,366,366,366,0.000%,1.67224,5.17,6.33
TR_perfuserc_FabricProperties_PageLoad,1,555,555,555,555,555,555,555,0.000%,1.12108,17.44,4.80
TR_perfuserd_FabricProperties_PageLoad,1,566,566,566,566,566,566,566,0.000%,1.11607,17.36,4.78
TR_perfuserb_FabricProperties_PageLoad,1,664,664,664,664,664,664,664,0.000%,1.00604,15.65,4.31
TR_perfusera_FabricProperties_PageLoad,1,647,647,647,647,647,647,647,0.000%,1.03199,16.05,4.42
TR_perfuserc_FabricProperties_ExcessCut_Save_ButtonClick,1,270,270,270,270,270,270,270,0.000%,2.00401,16.07,5.82
TR_perfuserd_FabricProperties_ExcessCut_Save_ButtonClick,1,289,289,289,289,289,289,289,0.000%,1.95312,15.67,5.67
TR_perfuserb_FabricProperties_ExcessCut_Save_ButtonClick,1,290,290,290,290,290,290,290,0.000%,1.94932,15.63,5.66
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,289,289,289,289,289,289,289,0.000%,1.87970,15.08,5.46
TR_perfuserc_FabricProperties_MaxPlies_Update_ButtonClick,1,320,320,320,320,320,320,320,0.000%,1.83486,5.85,5.23
TR_perfuserb_FabricProperties_MaxPlies_Update_ButtonClick,1,305,305,305,305,305,305,305,0.000%,1.84843,5.89,5.27
TR_perfuserd_FabricProperties_MaxPlies_Update_ButtonClick,1,315,315,315,315,315,315,315,0.000%,1.80505,5.75,5.14
