Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,555,555,555,555,555,555,555,0.000%,1.52207,2.67,2.06
TR_perfuserb_MasterPOPlan_PageLoad,1,434,434,434,434,434,434,434,0.000%,1.87266,3.28,2.53
TR_perfuserc_MasterPOPlan_PageLoad,1,416,416,416,416,416,416,416,0.000%,1.90114,3.33,2.57
TR_perfuserd_MasterPOPlan_PageLoad,1,286,286,286,286,286,286,286,0.000%,2.52525,4.43,3.41
TR_perfusera_MasterPOPlan_FillData,1,838,838,838,838,838,838,838,0.000%,.94697,5.96,2.67
TR_perfuserb_MasterPOPlan_FillData,1,757,757,757,757,757,757,757,0.000%,1.02881,6.48,2.90
TR_perfuserd_MasterPOPlan_FillData,1,502,502,502,502,502,502,502,0.000%,1.38696,8.73,3.91
TR_perfuserc_MasterPOPlan_FillData,1,657,657,657,657,657,657,657,0.000%,1.12867,7.11,3.18
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,3915,3915,3915,3915,3915,3915,3915,0.000%,.24802,0.30,0.37
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,3721,3721,3721,3721,3721,3721,3721,0.000%,.26055,0.32,0.39
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,3768,3768,3768,3768,3768,3768,3768,0.000%,.25720,0.32,0.38
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,3887,3887,3887,3887,3887,3887,3887,0.000%,.24956,0.31,0.37
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,1271,1271,1271,1271,1271,1271,1271,0.000%,.49751,12.69,4.69
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,1307,1307,1307,1307,1307,1307,1307,0.000%,.48333,12.32,4.55
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,1332,1332,1332,1332,1332,1332,1332,0.000%,.47985,12.24,4.52
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,1532,1532,1532,1532,1532,1532,1532,0.000%,.44563,11.36,4.20
TR_perfuserc_OperationRouting_Save_ButtonClick,1,294,294,294,294,294,294,294,0.000%,1.87970,4.30,5.54
TR_perfuserd_OperationRouting_Save_ButtonClick,1,285,285,285,285,285,285,285,0.000%,1.94553,4.45,5.73
TR_perfusera_OperationRouting_Save_ButtonClick,1,283,283,283,283,283,283,283,0.000%,1.95312,4.47,5.75
TR_perfuserb_OperationRouting_Save_ButtonClick,1,394,394,394,394,394,394,394,0.000%,1.58730,3.63,4.68
TR_perfusera_JobPreference_PageLoad,1,281,281,281,281,281,281,281,0.000%,1.96850,14.57,5.61
TR_perfuserd_JobPreference_PageLoad,1,281,281,281,281,281,281,281,0.000%,1.92308,14.23,5.48
TR_perfuserc_JobPreference_PageLoad,1,421,421,421,421,421,421,421,0.000%,1.54799,11.46,4.41
TR_perfuserb_JobPreference_PageLoad,1,322,322,322,322,322,322,322,0.000%,1.84502,13.65,5.25
TR_perfusera_JobPreference_Save_ButtonClick,1,542,542,542,542,542,542,542,0.000%,1.28535,3.25,3.83
TR_perfuserd_JobPreference_Save_ButtonClick,1,596,596,596,596,596,596,596,0.000%,1.20048,3.04,3.57
TR_perfuserc_JobPreference_Save_ButtonClick,1,590,590,590,590,590,590,590,0.000%,1.23916,3.13,3.69
TR_perfuserb_JobPreference_Save_ButtonClick,1,510,510,510,510,510,510,510,0.000%,1.33511,3.38,3.98
TR_perfusera_AddAdditionalQty_PageLoad,1,501,501,501,501,501,501,501,0.000%,1.19904,12.95,5.05
TR_perfuserd_AddAdditionalQty_PageLoad,1,462,462,462,462,462,462,462,0.000%,1.25628,13.57,5.29
TR_perfuserc_AddAdditionalQty_PageLoad,1,556,556,556,556,556,556,556,0.000%,1.12108,12.11,4.72
TR_perfuserb_AddAdditionalQty_PageLoad,1,460,460,460,460,460,460,460,0.000%,1.24688,13.47,5.25
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,1,453,453,453,453,453,453,453,0.000%,1.47710,4.57,5.59
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,554,554,554,554,554,554,554,0.000%,1.28205,3.96,4.85
TR_perfuserc_AddAdditionalQty_Submit_ButtonClick,1,405,405,405,405,405,405,405,0.000%,1.58730,4.91,6.01
TR_perfuserb_AddAdditionalQty_Submit_ButtonClick,1,432,432,432,432,432,432,432,0.000%,1.51515,4.68,5.74
TR_perfuserc_FabricProperties_PageLoad,1,1487,1487,1487,1487,1487,1487,1487,0.000%,.54615,8.50,2.34
TR_perfuserd_FabricProperties_PageLoad,1,1601,1601,1601,1601,1601,1601,1601,0.000%,.51520,8.01,2.21
TR_perfuserb_FabricProperties_PageLoad,1,1380,1380,1380,1380,1380,1380,1380,0.000%,.58140,9.04,2.49
TR_perfusera_FabricProperties_PageLoad,1,1520,1520,1520,1520,1520,1520,1520,0.000%,.53447,8.31,2.29
TR_perfuserb_FabricProperties_ExcessCut_Save_ButtonClick,1,306,306,306,306,306,306,306,0.000%,1.89753,15.22,5.51
TR_perfuserc_FabricProperties_ExcessCut_Save_ButtonClick,1,336,336,336,336,336,336,336,0.000%,1.75747,14.10,5.10
TR_perfuserd_FabricProperties_ExcessCut_Save_ButtonClick,1,326,326,326,326,326,326,326,0.000%,1.76991,14.20,5.14
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,339,339,339,339,339,339,339,0.000%,1.78253,14.30,5.18
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,1,334,334,334,334,334,334,334,0.000%,1.78891,5.70,5.10
TR_perfuserb_FabricProperties_MaxPlies_Update_ButtonClick,1,373,373,373,373,373,373,373,0.000%,1.67504,5.34,4.77
TR_perfuserd_FabricProperties_MaxPlies_Update_ButtonClick,1,342,342,342,342,342,342,342,0.000%,1.76367,5.62,5.03
TR_perfuserc_FabricProperties_MaxPlies_Update_ButtonClick,1,343,343,343,343,343,343,343,0.000%,1.75747,5.60,5.01
TR_perfusera_FabricProperties_EntermaxpliesAction_1,1,600,600,600,600,600,600,600,0.000%,.95785,5.79,5.42
TR_perfuserc_FabricProperties_EntermaxpliesAction_1,1,573,573,573,573,573,573,573,0.000%,.95877,5.80,5.42
TR_perfuserd_FabricProperties_EntermaxpliesAction_1,1,618,618,618,618,618,618,618,0.000%,.94967,5.74,5.37
TR_perfuserb_FabricProperties_EntermaxpliesAction_1,1,627,627,627,627,627,627,627,0.000%,.93458,5.65,5.28
TR_perfuserd_FabricProperties_EntermaxpliesAction_2,1,512,512,512,512,512,512,512,0.000%,1.02459,6.20,5.79
TR_perfuserc_FabricProperties_EntermaxpliesAction_2,1,545,545,545,545,545,545,545,0.000%,1.00100,6.06,5.65
TR_perfusera_FabricProperties_EntermaxpliesAction_2,1,543,543,543,543,543,543,543,0.000%,.99602,6.03,5.62
TR_perfuserb_FabricProperties_EntermaxpliesAction_2,1,536,536,536,536,536,536,536,0.000%,.99404,6.02,5.61
TR_perfuserd_ComponentGroupAssigment_PageLoad,1,390,390,390,390,390,390,390,0.000%,1.36426,11.73,5.85
TR_perfusera_ComponentGroupAssigment_PageLoad,1,375,375,375,375,375,375,375,0.000%,1.37931,11.86,5.92
TR_perfuserc_ComponentGroupAssigment_PageLoad,1,378,378,378,378,378,378,378,0.000%,1.36240,11.72,5.85
TR_perfuserb_ComponentGroupAssigment_PageLoad,1,404,404,404,404,404,404,404,0.000%,1.35870,11.68,5.83
TR_perfuserb_ComponentGroupAssigment_Save_ButtonClick,1,910,910,910,910,910,910,910,0.000%,.59032,6.44,6.40
TR_perfuserc_ComponentGroupAssigment_Save_ButtonClick,1,933,933,933,933,933,933,933,0.000%,.57803,6.31,6.27
TR_perfusera_ComponentGroupAssigment_Save_ButtonClick,1,956,956,956,956,956,956,956,0.000%,.56593,6.18,6.14
TR_perfuserd_ComponentGroupAssigment_Save_ButtonClick,1,975,975,975,975,975,975,975,0.000%,.56338,6.15,6.11
TR_perfuserc_ComponentGroupAssigment_Search_ButtonClick (Swap),1,573,573,573,573,573,573,573,0.000%,.88652,7.13,6.41
TR_perfusera_ComponentGroupAssigment_Search_ButtonClick (Swap),1,597,597,597,597,597,597,597,0.000%,.84459,6.79,6.11
TR_perfuserd_ComponentGroupAssigment_Search_ButtonClick (Swap),1,688,688,688,688,688,688,688,0.000%,.77821,6.25,5.63
TR_perfuserb_ComponentGroupAssigment_Search_ButtonClick (Swap),1,799,799,799,799,799,799,799,0.000%,.72516,5.82,5.24
TR_perfuserc_SubPOCreation_PageLoad,1,562,562,562,562,562,562,562,0.000%,.96432,10.61,5.54
TR_perfusera_SubPOCreation_PageLoad,1,558,558,558,558,558,558,558,0.000%,.97656,10.75,5.61
TR_perfuserd_SubPOCreation_PageLoad,1,555,555,555,555,555,555,555,0.000%,.97656,10.75,5.61
TR_perfuserb_SubPOCreation_PageLoad,1,675,675,675,675,675,675,675,0.000%,.88889,9.78,5.11
TR_perfuserd_SubPOCreation_forProductionOrder,1,1237,1237,1237,1237,1237,1237,1237,0.000%,.55157,4.94,4.03
TR_perfuserb_SubPOCreation_forProductionOrder,1,1094,1094,1094,1094,1094,1094,1094,0.000%,.59773,5.35,4.37
TR_perfuserc_SubPOCreation_forProductionOrder,1,1700,1700,1700,1700,1700,1700,1700,0.000%,.44543,3.99,3.25
TR_perfusera_SubPOCreation_forProductionOrder,1,2114,2114,2114,2114,2114,2114,2114,0.000%,.37383,3.35,2.73
TR_perfuserd_SubPORatio_PageLoad,1,613,613,613,613,613,613,613,0.000%,.84818,11.68,6.00
TR_perfuserb_SubPORatio_PageLoad,1,678,678,678,678,678,678,678,0.000%,.79936,11.01,5.65
TR_perfuserc_SubPORatio_PageLoad,1,649,649,649,649,649,649,649,0.000%,.84175,11.59,5.95
TR_perfusera_SubPORatio_PageLoad,1,644,644,644,644,644,644,644,0.000%,.84246,11.60,5.96
TR_perfuserd_SubPORatio_SubPO_FillRatio_R1,1,1229,1229,1229,1229,1229,1229,1229,0.000%,.41152,4.91,6.30
TR_perfuserb_SubPORatio_SubPO_FillRatio_R1,1,1217,1217,1217,1217,1217,1217,1217,0.000%,.41017,4.90,6.28
TR_perfuserc_SubPORatio_SubPO_FillRatio_R1,1,1234,1234,1234,1234,1234,1234,1234,0.000%,.39984,4.77,6.13
TR_perfuserd_SubPORatio_SubPO_AddRatio_R1,1,485,485,485,485,485,485,485,0.000%,1.30548,8.18,4.33
TR_perfusera_SubPORatio_SubPO_FillRatio_R1,1,1223,1223,1223,1223,1223,1223,1223,0.000%,.40700,4.86,6.23
TR_perfuserb_SubPORatio_SubPO_AddRatio_R1,1,481,481,481,481,481,481,481,0.000%,1.32802,8.32,4.41
TR_perfuserc_SubPORatio_SubPO_AddRatio_R1,1,445,445,445,445,445,445,445,0.000%,1.39082,8.72,4.62
TR_perfusera_SubPORatio_SubPO_AddRatio_R1,1,335,335,335,335,335,335,335,0.000%,1.58479,9.93,5.26
TR_perfuserd_SubPORatio_SubPO_FillRatio_R2,1,1180,1180,1180,1180,1180,1180,1180,0.000%,.42176,4.83,6.20
TR_perfuserb_SubPORatio_SubPO_FillRatio_R2,1,1174,1174,1174,1174,1174,1174,1174,0.000%,.41859,4.79,6.15
TR_perfuserc_SubPORatio_SubPO_FillRatio_R2,1,1145,1145,1145,1145,1145,1145,1145,0.000%,.42753,4.89,6.28
TR_perfusera_SubPORatio_SubPO_FillRatio_R2,1,1153,1153,1153,1153,1153,1153,1153,0.000%,.42499,4.87,6.24
TR_perfuserb_SubPORatio_SubPO_AddRatio_R2,1,334,334,334,334,334,334,334,0.000%,1.79533,12.38,5.96
TR_perfuserd_SubPORatio_SubPO_AddRatio_R2,1,444,444,444,444,444,444,444,0.000%,1.48810,10.26,4.94
TR_perfuserc_SubPORatio_SubPO_AddRatio_R2,1,448,448,448,448,448,448,448,0.000%,1.50150,10.36,4.98
TR_perfusera_SubPORatio_SubPO_AddRatio_R2,1,394,394,394,394,394,394,394,0.000%,1.56986,10.83,5.21
TR_perfuserb_SubPOMarker_Pageload,1,635,635,635,635,635,635,635,0.000%,.83195,12.36,5.76
TR_perfuserd_SubPOMarker_Pageload,1,613,613,613,613,613,613,613,0.000%,.83682,12.43,5.79
TR_perfuserc_SubPOMarker_Pageload,1,628,628,628,628,628,628,628,0.000%,.82508,12.26,5.71
TR_perfuserb_SubPOMarker_Versions1_Save_Button_Click,1,458,458,458,458,458,458,458,0.000%,1.45985,6.28,4.40
TR_perfusera_SubPOMarker_Pageload,1,699,699,699,699,699,699,699,0.000%,.78493,11.66,5.43
