Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,457,457,457,457,457,457,457,0.000%,1.78891,3.14,2.42
TR_perfuserb_MasterPOPlan_PageLoad,1,417,417,417,417,417,417,417,0.000%,1.93050,3.38,2.61
TR_perfuserc_MasterPOPlan_PageLoad,1,420,420,420,420,420,420,420,0.000%,1.86567,3.27,2.52
TR_perfuserd_MasterPOPlan_PageLoad,1,285,285,285,285,285,285,285,0.000%,2.57069,4.51,3.47
TR_perfusera_MasterPOPlan_FillData,1,516,516,516,516,516,516,516,0.000%,1.37741,8.67,3.88
TR_perfuserb_MasterPOPlan_FillData,1,450,450,450,450,450,450,450,0.000%,1.49477,9.41,4.21
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,168,168,168,168,168,168,168,0.000%,3.50877,4.30,5.23
TR_perfuserc_MasterPOPlan_FillData,1,319,319,319,319,319,319,319,0.000%,1.79856,11.33,5.07
TR_perfuserd_MasterPOPlan_FillData,1,311,311,311,311,311,311,311,0.000%,1.86220,11.73,5.25
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,128,128,128,128,128,128,128,0.000%,4.18410,5.13,6.24
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,133,133,133,133,133,133,133,0.000%,3.92157,4.81,5.84
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,137,137,137,137,137,137,137,0.000%,4.03226,4.95,6.01
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,979,979,979,979,979,979,979,0.000%,.57637,14.70,5.43
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,827,827,827,827,827,827,827,0.000%,.64144,16.36,6.04
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,1033,1033,1033,1033,1033,1033,1033,0.000%,.56306,14.36,5.30
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,919,919,919,919,919,919,919,0.000%,.60350,15.39,5.69
TR_perfusera_OperationRouting_Save_ButtonClick,1,343,343,343,343,343,343,343,0.000%,1.79211,4.10,5.28
TR_perfuserc_OperationRouting_Save_ButtonClick,1,256,256,256,256,256,256,256,0.000%,2.13220,4.88,6.28
TR_perfuserb_OperationRouting_Save_ButtonClick,1,267,267,267,267,267,267,267,0.000%,2.01207,4.61,5.93
TR_perfuserd_OperationRouting_Save_ButtonClick,1,247,247,247,247,247,247,247,0.000%,2.12766,4.87,6.27
TR_perfuserc_JobPreference_PageLoad,1,270,270,270,270,270,270,270,0.000%,2.00000,14.80,5.70
