Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,422,422,422,422,422,422,422,0.000%,1.96078,3.44,2.65
TR_perfuserb_MasterPOPlan_PageLoad,1,297,297,297,297,297,297,297,0.000%,2.50627,4.39,3.38
TR_perfuserc_MasterPOPlan_PageLoad,1,291,291,291,291,291,291,291,0.000%,2.50000,4.38,3.38
TR_perfuserd_MasterPOPlan_PageLoad,1,273,273,273,273,273,273,273,0.000%,2.65252,4.65,3.58
TR_perfusera_MasterPOPlan_FillData,1,607,607,607,607,607,607,607,0.000%,1.22850,7.74,3.46
TR_perfuserc_MasterPOPlan_FillData,1,421,421,421,421,421,421,421,0.000%,1.56495,9.85,4.41
TR_perfuserb_MasterPOPlan_FillData,1,673,673,673,673,673,673,673,0.000%,1.12233,7.07,3.16
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,259,259,259,259,259,259,259,0.000%,2.76243,3.39,4.12
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,162,162,162,162,162,162,162,0.000%,3.67647,4.51,5.48
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,154,154,154,154,154,154,154,0.000%,3.63636,4.46,5.42
TR_perfuserd_MasterPOPlan_FillData,1,466,466,466,466,466,466,466,0.000%,1.44509,9.10,4.07
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,150,150,150,150,150,150,150,0.000%,3.84615,4.72,5.73
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,876,876,876,876,876,876,876,0.000%,.62150,15.85,5.86
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,883,883,883,883,883,883,883,0.000%,.62578,15.96,5.90
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,877,877,877,877,877,877,877,0.000%,.61614,15.71,5.80
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,834,834,834,834,834,834,834,0.000%,.63251,16.13,5.96
TR_perfusera_OperationRouting_Save_ButtonClick,1,296,296,296,296,296,296,296,0.000%,1.93050,4.42,5.69
TR_perfuserb_OperationRouting_Save_ButtonClick,1,268,268,268,268,268,268,268,0.000%,1.98413,4.54,5.84
TR_perfuserc_OperationRouting_Save_ButtonClick,1,253,253,253,253,253,253,253,0.000%,2.04499,4.68,6.02
TR_perfuserd_OperationRouting_Save_ButtonClick,1,246,246,246,246,246,246,246,0.000%,2.12314,4.86,6.25
TR_perfusera_JobPreference_PageLoad,1,259,259,259,259,259,259,259,0.000%,1.98020,14.65,5.64
TR_perfuserc_JobPreference_PageLoad,1,277,277,277,277,277,277,277,0.000%,1.96078,14.51,5.58
TR_perfuserb_JobPreference_PageLoad,1,282,282,282,282,282,282,282,0.000%,1.93798,14.34,5.52
TR_perfuserd_JobPreference_PageLoad,1,267,267,267,267,267,267,267,0.000%,2.05339,15.20,5.85
TR_perfusera_JobPreference_Save_ButtonClick,1,422,422,422,422,422,422,422,0.000%,1.52439,3.85,4.54
TR_perfuserb_JobPreference_Save_ButtonClick,1,355,355,355,355,355,355,355,0.000%,1.69779,4.29,5.06
TR_perfuserc_JobPreference_Save_ButtonClick,1,361,361,361,361,361,361,361,0.000%,1.65017,4.17,4.91
TR_perfuserd_JobPreference_Save_ButtonClick,1,363,363,363,363,363,363,363,0.000%,1.67785,4.24,5.00
TR_perfuserc_AddAdditionalQty_PageLoad,1,450,450,450,450,450,450,450,0.000%,1.24844,13.49,5.26
TR_perfusera_AddAdditionalQty_PageLoad,1,565,565,565,565,565,565,565,0.000%,1.09649,11.85,4.62
TR_perfuserb_AddAdditionalQty_PageLoad,1,510,510,510,510,510,510,510,0.000%,1.16144,12.55,4.89
TR_perfuserd_AddAdditionalQty_PageLoad,1,460,460,460,460,460,460,460,0.000%,1.23153,13.31,5.19
TR_perfuserc_AddAdditionalQty_Submit_ButtonClick,1,348,348,348,348,348,348,348,0.000%,1.73310,5.36,6.56
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,309,309,309,309,309,309,309,0.000%,1.84502,5.70,6.99
TR_perfuserb_AddAdditionalQty_Submit_ButtonClick,1,357,357,357,357,357,357,357,0.000%,1.72414,5.33,6.53
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,1,369,369,369,369,369,369,369,0.000%,1.64745,5.09,6.24
TR_perfuserc_FabricProperties_PageLoad,1,553,553,553,553,553,553,553,0.000%,1.11857,17.40,4.79
TR_perfusera_FabricProperties_PageLoad,1,556,556,556,556,556,556,556,0.000%,1.10254,17.15,4.72
TR_perfuserb_FabricProperties_PageLoad,1,526,526,526,526,526,526,526,0.000%,1.13895,17.72,4.88
TR_perfuserd_FabricProperties_PageLoad,1,545,545,545,545,545,545,545,0.000%,1.11857,17.40,4.79
TR_perfuserc_FabricProperties_ExcessCut_Save_ButtonClick,1,262,262,262,262,262,262,262,0.000%,2.02840,16.27,5.89
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,277,277,277,277,277,277,277,0.000%,1.97239,15.82,5.73
TR_perfuserb_FabricProperties_ExcessCut_Save_ButtonClick,1,276,276,276,276,276,276,276,0.000%,1.92678,15.45,5.60
TR_perfuserd_FabricProperties_ExcessCut_Save_ButtonClick,1,280,280,280,280,280,280,280,0.000%,1.96850,15.79,5.72
TR_perfuserc_FabricProperties_MaxPlies_Update_ButtonClick,1,317,317,317,317,317,317,317,0.000%,1.80505,5.75,5.14
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,1,296,296,296,296,296,296,296,0.000%,1.88679,6.01,5.38
TR_perfuserb_FabricProperties_MaxPlies_Update_ButtonClick,1,338,338,338,338,338,338,338,0.000%,1.77936,5.67,5.07
TR_perfuserd_FabricProperties_MaxPlies_Update_ButtonClick,1,311,311,311,311,311,311,311,0.000%,1.90114,6.06,5.42
TR_perfuserc_FabricProperties_EntermaxpliesAction_1,1,544,544,544,544,544,544,544,0.000%,.99800,6.03,5.64
TR_perfusera_FabricProperties_EntermaxpliesAction_1,1,577,577,577,577,577,577,577,0.000%,.98328,5.94,5.56
TR_perfuserb_FabricProperties_EntermaxpliesAction_1,1,566,566,566,566,566,566,566,0.000%,.96618,5.84,5.46
TR_perfuserd_FabricProperties_EntermaxpliesAction_1,1,521,521,521,521,521,521,521,0.000%,1.01317,6.13,5.73
TR_perfuserc_FabricProperties_EntermaxpliesAction_2,1,526,526,526,526,526,526,526,0.000%,1.01833,6.17,5.75
TR_perfusera_FabricProperties_EntermaxpliesAction_2,1,535,535,535,535,535,535,535,0.000%,.99305,6.01,5.61
TR_perfuserb_FabricProperties_EntermaxpliesAction_2,1,528,528,528,528,528,528,528,0.000%,1.01729,6.16,5.74
TR_perfuserd_FabricProperties_EntermaxpliesAction_2,1,529,529,529,529,529,529,529,0.000%,1.01729,6.16,5.74
TR_perfuserc_ComponentGroupAssigment_PageLoad,1,370,370,370,370,370,370,370,0.000%,1.39470,11.99,5.98
