Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,535,535,535,535,535,535,535,0.000%,1.56740,2.75,2.12
TR_perfuserb_MasterPOPlan_PageLoad,1,427,427,427,427,427,427,427,0.000%,1.88679,3.31,2.55
TR_perfuserc_MasterPOPlan_PageLoad,1,426,426,426,426,426,426,426,0.000%,1.86916,3.28,2.52
TR_perfuserd_MasterPOPlan_PageLoad,1,379,379,379,379,379,379,379,0.000%,2.04082,3.58,2.76
TR_perfusera_MasterPOPlan_FillData,1,606,606,606,606,606,606,606,0.000%,1.19474,7.52,3.37
TR_perfuserb_MasterPOPlan_FillData,1,479,479,479,479,479,479,479,0.000%,1.41643,8.92,3.99
TR_perfuserc_MasterPOPlan_FillData,1,462,462,462,462,462,462,462,0.000%,1.46413,9.22,4.13
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,175,175,175,175,175,175,175,0.000%,3.49650,4.29,5.21
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,162,162,162,162,162,162,162,0.000%,3.53357,4.33,5.27
TR_perfuserd_MasterPOPlan_FillData,1,371,371,371,371,371,371,371,0.000%,1.68919,10.64,4.76
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,133,133,133,133,133,133,133,0.000%,4.03226,4.95,6.01
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,131,131,131,131,131,131,131,0.000%,4.14938,5.09,6.18
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,1030,1030,1030,1030,1030,1030,1030,0.000%,.56433,14.39,5.32
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,1024,1024,1024,1024,1024,1024,1024,0.000%,.56180,14.32,5.29
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,966,966,966,966,966,966,966,0.000%,.58548,14.93,5.52
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,973,973,973,973,973,973,973,0.000%,.58582,14.94,5.52
TR_perfuserb_OperationRouting_Save_ButtonClick,1,271,271,271,271,271,271,271,0.000%,2.02020,4.62,5.95
TR_perfusera_OperationRouting_Save_ButtonClick,1,263,263,263,263,263,263,263,0.000%,1.99203,4.56,5.87
TR_perfuserc_OperationRouting_Save_ButtonClick,1,252,252,252,252,252,252,252,0.000%,2.15517,4.93,6.35
TR_perfuserd_OperationRouting_Save_ButtonClick,1,260,260,260,260,260,260,260,0.000%,2.00000,4.58,5.89
TR_perfuserb_JobPreference_PageLoad,1,264,264,264,264,264,264,264,0.000%,2.05339,15.20,5.85
TR_perfusera_JobPreference_PageLoad,1,282,282,282,282,282,282,282,0.000%,1.91205,14.15,5.44
TR_perfuserc_JobPreference_PageLoad,1,259,259,259,259,259,259,259,0.000%,2.12314,15.71,6.05
TR_perfuserd_JobPreference_PageLoad,1,263,263,263,263,263,263,263,0.000%,2.09644,15.51,5.97
TR_perfusera_JobPreference_Save_ButtonClick,1,406,406,406,406,406,406,406,0.000%,1.59490,4.03,4.75
TR_perfuserc_JobPreference_Save_ButtonClick,1,388,388,388,388,388,388,388,0.000%,1.63934,4.14,4.88
TR_perfuserb_JobPreference_Save_ButtonClick,1,483,483,483,483,483,483,483,0.000%,1.41844,3.59,4.22
TR_perfuserd_JobPreference_Save_ButtonClick,1,291,291,291,291,291,291,291,0.000%,1.90840,4.83,5.68
TR_perfusera_AddAdditionalQty_PageLoad,1,484,484,484,484,484,484,484,0.000%,1.21803,13.16,5.13
