Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserd_MasterPOPlan_PageLoad,1,1259,1259,1259,1259,1259,1259,1259,0.000%,.72833,1.28,0.98
TR_perfusera_MasterPOPlan_PageLoad,1,1734,1734,1734,1734,1734,1734,1734,0.000%,.49480,0.87,0.67
TR_perfuserb_MasterPOPlan_PageLoad,1,1704,1704,1704,1704,1704,1704,1704,0.000%,.55157,0.97,0.74
TR_perfuserc_MasterPOPlan_PageLoad,1,1448,1448,1448,1448,1448,1448,1448,0.000%,.64020,1.12,0.86
TR_perfuserd_MasterPOPlan_FillData,1,362,362,362,362,362,362,362,0.000%,1.68067,10.58,4.74
TR_perfuserc_MasterPOPlan_FillData,1,381,381,381,381,381,381,381,0.000%,1.67504,10.55,4.72
TR_perfuserb_MasterPOPlan_FillData,1,410,410,410,410,410,410,410,0.000%,1.58730,10.00,4.47
TR_perfusera_MasterPOPlan_FillData,1,418,418,418,418,418,418,418,0.000%,1.53374,9.66,4.32
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,181,181,181,181,181,181,181,0.000%,3.26797,4.01,4.87
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,246,246,246,246,246,246,246,0.000%,2.80112,3.44,4.17
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,181,181,181,181,181,181,181,0.000%,3.34448,4.10,4.98
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,261,261,261,261,261,261,261,0.000%,2.63158,3.23,3.92
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,920,920,920,920,920,920,920,0.000%,.55463,14.69,5.23
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,867,867,867,867,867,867,867,0.000%,.56338,14.92,5.31
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,893,893,893,893,893,893,893,0.000%,.54945,14.55,5.18
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,858,858,858,858,858,858,858,0.000%,.54585,14.46,5.14
TR_perfuserb_OperationRouting_Save_ButtonClick,1,256,256,256,256,256,256,256,0.000%,2.05761,4.71,6.06
TR_perfuserc_OperationRouting_Save_ButtonClick,1,269,269,269,269,269,269,269,0.000%,2.02020,4.62,5.95
TR_perfusera_OperationRouting_Save_ButtonClick,1,292,292,292,292,292,292,292,0.000%,1.93424,4.43,5.70
TR_perfuserd_OperationRouting_Save_ButtonClick,1,251,251,251,251,251,251,251,0.000%,2.04918,4.69,6.04
TR_perfuserb_JobPreference_PageLoad,1,285,285,285,285,285,285,285,0.000%,1.93050,14.29,5.50
TR_perfuserd_JobPreference_PageLoad,1,275,275,275,275,275,275,275,0.000%,1.98020,14.65,5.64
TR_perfusera_JobPreference_PageLoad,1,277,277,277,277,277,277,277,0.000%,1.93798,14.34,5.52
TR_perfuserc_JobPreference_PageLoad,1,277,277,277,277,277,277,277,0.000%,1.91571,14.18,5.46
TR_perfuserc_JobPreference_Save_ButtonClick,1,306,306,306,306,306,306,306,0.000%,1.85185,4.68,5.51
TR_perfuserb_JobPreference_Save_ButtonClick,1,352,352,352,352,352,352,352,0.000%,1.71821,4.34,5.12
