Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,485,485,485,485,485,485,485,0.000%,1.69779,2.98,2.29
TR_perfuserb_MasterPOPlan_PageLoad,1,320,320,320,320,320,320,320,0.000%,2.38095,4.17,3.22
TR_perfuserc_MasterPOPlan_PageLoad,1,290,290,290,290,290,290,290,0.000%,2.47525,4.34,3.34
TR_perfuserd_MasterPOPlan_PageLoad,1,275,275,275,275,275,275,275,0.000%,2.59067,4.54,3.50
TR_perfusera_MasterPOPlan_FillData,1,364,364,364,364,364,364,364,0.000%,1.72117,10.84,4.85
TR_perfuserb_MasterPOPlan_FillData,1,328,328,328,328,328,328,328,0.000%,1.84162,11.60,5.19
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,162,162,162,162,162,162,162,0.000%,3.63636,4.46,5.42
TR_perfuserc_MasterPOPlan_FillData,1,314,314,314,314,314,314,314,0.000%,1.78571,11.24,5.03
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,130,130,130,130,130,130,130,0.000%,3.95257,4.85,5.89
TR_perfuserd_MasterPOPlan_FillData,1,329,329,329,329,329,329,329,0.000%,1.78571,11.24,5.03
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,139,139,139,139,139,139,139,0.000%,3.89105,4.77,5.80
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,161,161,161,161,161,161,161,0.000%,3.40136,4.17,5.07
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,821,821,821,821,821,821,821,0.000%,.60533,16.03,5.70
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,848,848,848,848,848,848,848,0.000%,.60096,15.92,5.66
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,789,789,789,789,789,789,789,0.000%,.62735,16.62,5.91
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,783,783,783,783,783,783,783,0.000%,.63371,16.78,5.97
TR_perfusera_OperationRouting_Save_ButtonClick,1,255,255,255,255,255,255,255,0.000%,2.05339,4.70,6.05
TR_perfuserb_OperationRouting_Save_ButtonClick,1,256,256,256,256,256,256,256,0.000%,2.02429,4.63,5.96
TR_perfuserc_OperationRouting_Save_ButtonClick,1,242,242,242,242,242,242,242,0.000%,2.10084,4.81,6.19
TR_perfuserd_OperationRouting_Save_ButtonClick,1,254,254,254,254,254,254,254,0.000%,2.07469,4.75,6.11
TR_perfusera_JobPreference_PageLoad,1,257,257,257,257,257,257,257,0.000%,2.04499,15.13,5.82
TR_perfuserb_JobPreference_PageLoad,1,257,257,257,257,257,257,257,0.000%,2.03666,15.07,5.80
TR_perfuserc_JobPreference_PageLoad,1,256,256,256,256,256,256,256,0.000%,2.05761,15.23,5.86
TR_perfuserd_JobPreference_PageLoad,1,293,293,293,293,293,293,293,0.000%,1.96078,14.51,5.58
TR_perfusera_JobPreference_Save_ButtonClick,1,288,288,288,288,288,288,288,0.000%,1.93050,4.88,5.75
TR_perfuserb_JobPreference_Save_ButtonClick,1,283,283,283,283,283,283,283,0.000%,1.91571,4.84,5.70
TR_perfuserc_JobPreference_Save_ButtonClick,1,288,288,288,288,288,288,288,0.000%,1.96464,4.97,5.85
TR_perfuserd_JobPreference_Save_ButtonClick,1,270,270,270,270,270,270,270,0.000%,1.98807,5.03,5.92
TR_perfusera_AddAdditionalQty_PageLoad,1,415,415,415,415,415,415,415,0.000%,1.33869,14.46,5.64
TR_perfuserb_AddAdditionalQty_PageLoad,1,416,416,416,416,416,416,416,0.000%,1.32275,14.29,5.57
TR_perfuserc_AddAdditionalQty_PageLoad,1,387,387,387,387,387,387,387,0.000%,1.34409,14.52,5.66
TR_perfuserd_AddAdditionalQty_PageLoad,1,412,412,412,412,412,412,412,0.000%,1.33333,14.40,5.61
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,314,314,314,314,314,314,314,0.000%,1.86916,5.78,7.08
TR_perfuserb_AddAdditionalQty_Submit_ButtonClick,1,317,317,317,317,317,317,317,0.000%,1.79211,5.54,6.79
TR_perfuserc_AddAdditionalQty_Submit_ButtonClick,1,318,318,318,318,318,318,318,0.000%,1.74520,5.40,6.61
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,1,288,288,288,288,288,288,288,0.000%,1.94553,6.02,7.37
TR_perfusera_FabricProperties_PageLoad,1,530,530,530,530,530,530,530,0.000%,1.12108,17.44,4.80
TR_perfuserb_FabricProperties_PageLoad,1,529,529,529,529,529,529,529,0.000%,1.13379,17.64,4.86
TR_perfuserc_FabricProperties_PageLoad,1,535,535,535,535,535,535,535,0.000%,1.12867,17.56,4.83
TR_perfuserd_FabricProperties_PageLoad,1,525,525,525,525,525,525,525,0.000%,1.15607,17.98,4.95
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,279,279,279,279,279,279,279,0.000%,1.97628,15.85,5.74
TR_perfuserb_FabricProperties_ExcessCut_Save_ButtonClick,1,296,296,296,296,296,296,296,0.000%,1.85185,14.85,5.38
TR_perfuserc_FabricProperties_ExcessCut_Save_ButtonClick,1,268,268,268,268,268,268,268,0.000%,1.98807,15.95,5.77
TR_perfuserd_FabricProperties_ExcessCut_Save_ButtonClick,1,269,269,269,269,269,269,269,0.000%,1.98020,15.88,5.75
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,1,318,318,318,318,318,318,318,0.000%,1.85529,5.91,5.29
TR_perfuserb_FabricProperties_MaxPlies_Update_ButtonClick,1,310,310,310,310,310,310,310,0.000%,1.87266,5.97,5.34
