Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,337,337,337,337,337,337,337,0.000%,2.23214,3.91,3.01
TR_perfusera_MasterPOPlan_FillData,1,332,332,332,332,332,332,332,0.000%,1.86220,11.73,5.25
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,125,125,125,125,125,125,125,0.000%,4.46429,5.48,6.65
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,764,764,764,764,764,764,764,0.000%,.67935,18.01,6.40
TR_perfusera_OperationRouting_Save_ButtonClick,1,250,250,250,250,250,250,250,0.000%,2.20264,5.04,6.49
TR_perfusera_JobPreference_PageLoad,1,243,243,243,243,243,243,243,0.000%,2.24719,16.63,6.40
TR_perfusera_JobPreference_Save_ButtonClick,1,267,267,267,267,267,267,267,0.000%,2.13220,5.39,6.35
TR_perfusera_AddAdditionalQty_PageLoad,1,397,397,397,397,397,397,397,0.000%,1.43266,15.48,6.03
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,310,310,310,310,310,310,310,0.000%,1.92308,5.95,7.28
TR_perfusera_FabricProperties_PageLoad,1,515,515,515,515,515,515,515,0.000%,1.22249,19.02,5.23
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,294,294,294,294,294,294,294,0.000%,2.01207,16.14,5.84
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,1,346,346,346,346,346,346,346,0.000%,1.82149,5.81,5.19
TR_perfusera_FabricProperties_EntermaxpliesAction_1,1,524,524,524,524,524,524,524,0.000%,1.07296,6.49,6.07
TR_perfusera_FabricProperties_EntermaxpliesAction_2,1,529,529,529,529,529,529,529,0.000%,1.07296,6.50,6.06
TR_perfusera_ComponentGroupAssigment_PageLoad,1,371,371,371,371,371,371,371,0.000%,1.47275,12.67,6.32
TR_perfusera_ComponentGroupAssigment_Save_ButtonClick,1,809,809,809,809,809,809,809,0.000%,.61614,7.51,6.67
TR_perfusera_ComponentGroupAssigment_Search_ButtonClick (Swap),1,701,701,701,701,701,701,701,0.000%,.81633,6.54,5.90
TR_perfusera_SubPOCreation_PageLoad,1,511,511,511,511,511,511,511,0.000%,1.09051,12.00,6.26
TR_perfusera_SubPOCreation_forProductionOrder,1,774,774,774,774,774,774,774,0.000%,.75472,8.20,5.51
TR_perfusera_SubPORatio_PageLoad,1,601,601,601,601,601,601,601,0.000%,.90662,12.47,6.41
TR_perfusera_SubPORatio_SubPO_FillRatio_R1,1,1171,1171,1171,1171,1171,1171,1171,0.000%,.43725,5.22,6.70
TR_perfusera_SubPORatio_SubPO_AddRatio_R1,1,368,368,368,368,368,368,368,0.000%,1.62075,10.10,5.38
TR_perfusera_SubPORatio_SubPO_FillRatio_R2,1,1120,1120,1120,1120,1120,1120,1120,0.000%,.44944,5.15,6.60
TR_perfusera_SubPORatio_SubPO_AddRatio_R2,1,293,293,293,293,293,293,293,0.000%,1.87970,12.88,6.24
TR_perfusera_SubPOMarker_Pageload,1,591,591,591,591,591,591,591,0.000%,.89047,13.23,6.16
TR_perfusera_SubPOMarker_Versions1_Save_Button_Click,1,296,296,296,296,296,296,296,0.000%,1.99203,8.57,6.00
TR_perfusera_SubPOMarker_Versions2_Save_Button_Click,1,286,286,286,286,286,286,286,0.000%,2.04082,10.09,6.15
TR_perfusera_MarkerSummary_PageLoad,1,387,387,387,387,387,387,387,0.000%,1.69779,12.62,4.90
TR_perfusera_MarkerSummary_SubPo_Load,1,148,148,148,148,148,148,148,0.000%,3.92157,10.02,5.43
TR_perfusera_PackingList_PageLoad,1,611,611,611,611,611,611,611,0.000%,.89127,11.17,6.39
TR_perfusera_GenerateDockets_PageLoad,1,241,241,241,241,241,241,241,0.000%,2.18818,16.27,6.32
TR_perfusera_GenerateDockets_SubPo_Load,1,111,111,111,111,111,111,111,0.000%,4.69484,8.84,6.66
TR_perfusera_GenerateDockets_Wait,1,1615683,1615683,1615683,1615683,1615683,1615683,1615683,0.000%,.00062,0.10,0.16
TR_perfusera_GenerateDockets_ButtonClick,1,718,718,718,718,718,718,718,0.000%,1.15075,2.79,2.58
TR_perfusera_GenerateCuts_Wait,1,51997,51997,51997,51997,51997,51997,51997,0.000%,.01919,0.12,0.18
TR_perfusera_GenerateCuts_ButtonClick,1,1548,1548,1548,1548,1548,1548,1548,0.000%,.56117,1.65,3.39
TR_perfusera_GenerateCutJobplanning_Wait,1,0,0,0,0,0,0,0,0.000%,500.00000,0.00,0.00
Debug Sampler,1,0,0,0,0,0,0,0,0.000%,∞,0.00,0.00
TOTAL,38,44330,371,1120,1548,1615683,0,1615683,0.000%,.02240,0.26,0.26
