Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_MasterPOPlan_PageLoad,1,452,452,452,452,452,452,452,0.000%,1.85529,3.25,2.51
TR_perfuserb_MasterPOPlan_PageLoad,1,280,280,280,280,280,280,280,0.000%,2.61780,4.59,3.54
TR_perfuserc_MasterPOPlan_PageLoad,1,398,398,398,398,398,398,398,0.000%,2.00000,3.51,2.70
TR_perfusera_MasterPOPlan_FillData,1,363,363,363,363,363,363,363,0.000%,1.66113,10.46,4.68
TR_perfuserd_MasterPOPlan_PageLoad,1,390,390,390,390,390,390,390,0.000%,1.98020,3.47,2.67
TR_perfuserb_MasterPOPlan_FillData,1,441,441,441,441,441,441,441,0.000%,1.51976,9.57,4.28
TR_perfusera_MasterPOPlan_Search_ButtonClick,1,161,161,161,161,161,161,161,0.000%,3.63636,4.46,5.42
TR_perfuserb_MasterPOPlan_Search_ButtonClick,1,137,137,137,137,137,137,137,0.000%,4.03226,4.95,6.01
TR_perfuserc_MasterPOPlan_FillData,1,331,331,331,331,331,331,331,0.000%,1.81488,11.43,5.11
TR_perfuserc_MasterPOPlan_Search_ButtonClick,1,146,146,146,146,146,146,146,0.000%,4.04858,4.97,6.03
TR_perfuserd_MasterPOPlan_FillData,1,319,319,319,319,319,319,319,0.000%,1.81818,11.45,5.12
TR_perfuserd_MasterPOPlan_Search_ButtonClick,1,134,134,134,134,134,134,134,0.000%,4.14938,5.09,6.18
TR_perfusera_MasterPOPlan_Proceed_ButtonClick,1,839,839,839,839,839,839,839,0.000%,.62617,16.60,5.90
TR_perfuserb_MasterPOPlan_Proceed_ButtonClick,1,845,845,845,845,845,845,845,0.000%,.61881,16.41,5.83
TR_perfuserc_MasterPOPlan_Proceed_ButtonClick,1,805,805,805,805,805,805,805,0.000%,.62696,16.62,5.91
TR_perfusera_OperationRouting_Save_ButtonClick,1,302,302,302,302,302,302,302,0.000%,1.87617,4.29,5.53
TR_perfuserb_OperationRouting_Save_ButtonClick,1,271,271,271,271,271,271,271,0.000%,2.00803,4.60,5.91
TR_perfuserd_MasterPOPlan_Proceed_ButtonClick,1,817,817,817,817,817,817,817,0.000%,.61728,16.37,5.82
TR_perfuserc_OperationRouting_Save_ButtonClick,1,291,291,291,291,291,291,291,0.000%,1.89394,4.34,5.58
TR_perfusera_JobPreference_PageLoad,1,295,295,295,295,295,295,295,0.000%,1.87970,13.91,5.35
TR_perfuserb_JobPreference_PageLoad,1,318,318,318,318,318,318,318,0.000%,1.87970,13.91,5.35
TR_perfuserd_OperationRouting_Save_ButtonClick,1,269,269,269,269,269,269,269,0.000%,2.00401,4.59,5.90
TR_perfuserc_JobPreference_PageLoad,1,273,273,273,273,273,273,273,0.000%,2.07900,15.39,5.92
TR_perfusera_JobPreference_Save_ButtonClick,1,403,403,403,403,403,403,403,0.000%,1.57480,3.98,4.69
TR_perfuserd_JobPreference_PageLoad,1,284,284,284,284,284,284,284,0.000%,1.90840,14.12,5.43
TR_perfuserb_JobPreference_Save_ButtonClick,1,342,342,342,342,342,342,342,0.000%,1.77305,4.48,5.28
TR_perfuserc_JobPreference_Save_ButtonClick,1,342,342,342,342,342,342,342,0.000%,1.75131,4.43,5.21
TR_perfuserd_JobPreference_Save_ButtonClick,1,302,302,302,302,302,302,302,0.000%,1.87617,4.74,5.59
TR_perfuserb_AddAdditionalQty_PageLoad,1,406,406,406,406,406,406,406,0.000%,1.34228,14.50,5.65
TR_perfusera_AddAdditionalQty_PageLoad,1,465,465,465,465,465,465,465,0.000%,1.25786,13.59,5.30
TR_perfuserc_AddAdditionalQty_PageLoad,1,388,388,388,388,388,388,388,0.000%,1.35501,14.64,5.71
TR_perfuserd_AddAdditionalQty_PageLoad,1,412,412,412,412,412,412,412,0.000%,1.33156,14.39,5.61
TR_perfuserb_AddAdditionalQty_Submit_ButtonClick,1,351,351,351,351,351,351,351,0.000%,1.71233,5.29,6.48
TR_perfusera_AddAdditionalQty_Submit_ButtonClick,1,366,366,366,366,366,366,366,0.000%,1.66389,5.14,6.30
TR_perfuserc_AddAdditionalQty_Submit_ButtonClick,1,330,330,330,330,330,330,330,0.000%,1.78253,5.51,6.75
TR_perfuserd_AddAdditionalQty_Submit_ButtonClick,1,313,313,313,313,313,313,313,0.000%,1.85529,5.74,7.02
TR_perfusera_FabricProperties_PageLoad,1,526,526,526,526,526,526,526,0.000%,1.13895,17.72,4.88
TR_perfuserb_FabricProperties_PageLoad,1,563,563,563,563,563,563,563,0.000%,1.08814,16.93,4.66
TR_perfuserc_FabricProperties_PageLoad,1,572,572,572,572,572,572,572,0.000%,1.08342,16.85,4.64
TR_perfuserd_FabricProperties_PageLoad,1,519,519,519,519,519,519,519,0.000%,1.14155,17.76,4.89
TR_perfusera_FabricProperties_ExcessCut_Save_ButtonClick,1,282,282,282,282,282,282,282,0.000%,1.95312,15.67,5.67
TR_perfuserb_FabricProperties_ExcessCut_Save_ButtonClick,1,262,262,262,262,262,262,262,0.000%,2.02840,16.27,5.89
TR_perfuserc_FabricProperties_ExcessCut_Save_ButtonClick,1,272,272,272,272,272,272,272,0.000%,1.97628,15.85,5.74
TR_perfuserd_FabricProperties_ExcessCut_Save_ButtonClick,1,282,282,282,282,282,282,282,0.000%,1.94175,15.57,5.64
TR_perfusera_FabricProperties_MaxPlies_Update_ButtonClick,1,301,301,301,301,301,301,301,0.000%,1.87617,5.98,5.35
TR_perfuserb_FabricProperties_MaxPlies_Update_ButtonClick,1,321,321,321,321,321,321,321,0.000%,1.78891,5.70,5.10
