Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_SewingJobSacanning_Pageload,1,212,212,212,212,212,212,212,0.000%,3.71747,48.53,4.03
TR_perfuserc_SewingJobSacanning_Pageload,1,202,202,202,202,202,202,202,0.000%,3.93701,51.39,4.27
TR_perfuserb_SewingJobSacanning_Pageload,1,226,226,226,226,226,226,226,0.000%,3.61011,47.13,3.91
TR_perfusere_SewingJobSacanning_Pageload,1,244,244,244,244,244,244,244,0.000%,3.36700,43.95,3.65
TR_perfuserd_SewingJobSacanning_Pageload,1,304,304,304,304,304,304,304,0.000%,2.80899,36.67,3.04
TR_perfuserf_SewingJobSacanning_Pageload,1,275,275,275,275,275,275,275,0.000%,3.05810,39.92,3.31
TR_perfusera_SewingJobSacanning_ContinueButtonClick,1,139,139,139,139,139,139,139,0.000%,5.29101,193.38,6.13
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,1,135,135,135,135,135,135,135,0.000%,5.26316,192.36,6.10
TR_perfuserb_SewingJobSacanning_ContinueButtonClick,1,191,191,191,191,191,191,191,0.000%,4.14938,151.65,4.81
TR_perfuserd_SewingJobSacanning_ContinueButtonClick,1,113,113,113,113,113,113,113,0.000%,6.17284,225.61,7.15
TR_perfuserh_SewingJobSacanning_Pageload,1,396,396,396,396,396,396,396,0.000%,2.22222,29.01,2.41
TR_perfuserf_SewingJobSacanning_ContinueButtonClick,1,143,143,143,143,143,143,143,0.000%,5.15464,188.40,5.97
TR_perfusere_SewingJobSacanning_ContinueButtonClick,1,203,203,203,203,203,203,203,0.000%,3.93701,143.89,4.56
TR_perfuserg_SewingJobSacanning_Pageload,1,456,456,456,456,456,456,456,0.000%,1.96850,25.70,2.13
TR_perfuserj_SewingJobSacanning_Pageload,1,458,458,458,458,458,458,458,0.000%,1.94553,25.40,2.11
TR_perfuseri_SewingJobSacanning_Pageload,1,482,482,482,482,482,482,482,0.000%,1.85529,24.22,2.01
TR_perfuserk_SewingJobSacanning_Pageload,1,437,437,437,437,437,437,437,0.000%,2.01207,26.27,2.18
TR_perfuserh_SewingJobSacanning_ContinueButtonClick,1,107,107,107,107,107,107,107,0.000%,6.28931,229.87,7.28
TR_perfusern_SewingJobSacanning_Pageload,1,407,407,407,407,407,407,407,0.000%,2.16450,28.25,2.35
TR_perfuserg_SewingJobSacanning_ContinueButtonClick,1,157,157,157,157,157,157,157,0.000%,4.60829,168.43,5.34
TR_perfusero_SewingJobSacanning_Pageload,1,468,468,468,468,468,468,468,0.000%,1.91939,25.06,2.08
TR_perfuserL_SewingJobSacanning_Pageload,1,554,554,554,554,554,554,554,0.000%,1.63666,21.36,1.77
TR_perfuserj_SewingJobSacanning_ContinueButtonClick,1,155,155,155,155,155,155,155,0.000%,4.85437,177.42,5.62
TR_perfuseri_SewingJobSacanning_ContinueButtonClick,1,153,153,153,153,153,153,153,0.000%,4.87805,178.29,5.65
TR_perfuserk_SewingJobSacanning_ContinueButtonClick,1,181,181,181,181,181,181,181,0.000%,4.29185,156.86,4.97
TR_perfuserp_SewingJobSacanning_Pageload,1,546,546,546,546,546,546,546,0.000%,1.67785,21.90,1.82
TR_perfuseru_SewingJobSacanning_Pageload,1,529,529,529,529,529,529,529,0.000%,1.72117,22.47,1.87
TR_perfusery_SewingJobSacanning_Pageload,1,460,460,460,460,460,460,460,0.000%,1.95312,25.50,2.12
TR_perfuserv_SewingJobSacanning_Pageload,1,508,508,508,508,508,508,508,0.000%,1.77620,23.19,1.93
TR_perfuserL_SewingJobSacanning_ContinueButtonClick,1,150,150,150,150,150,150,150,0.000%,4.95050,180.93,5.73
TR_perfusern_SewingJobSacanning_ContinueButtonClick,1,273,273,273,273,273,273,273,0.000%,3.07692,112.46,3.56
TR_perfuserad_SewingJobSacanning_Pageload,1,423,423,423,423,423,423,423,0.000%,2.10526,27.48,2.28
TR_perfuserae_SewingJobSacanning_Pageload,1,411,411,411,411,411,411,411,0.000%,2.16450,28.26,2.35
TR_perfuserab_SewingJobSacanning_Pageload,1,518,518,518,518,518,518,518,0.000%,1.74825,22.82,1.90
TR_perfuseral_SewingJobSacanning_Pageload,1,256,256,256,256,256,256,256,0.000%,3.22581,42.11,3.50
TR_SUB_perfuserd_SacanSewingJobNumberAndEnterReportingQty,1,676,676,676,676,676,676,676,0.000%,1.26743,1.66,1.80
Debug Sampler,40,0,0,0,1,1,0,1,0.000%,5.19953,6.24,0.00
TR_perfuserm_SewingJobSacanning_Pageload,1,1056,1056,1056,1056,1056,1056,1056,0.000%,.90009,11.75,0.98
TR_perfusers_SewingJobSacanning_Pageload,1,877,877,877,877,877,877,877,0.000%,1.07527,14.04,1.17
TR_SUB_perfuserb_SacanSewingJobNumberAndEnterReportingQty,1,917,917,917,917,917,917,917,0.000%,.97371,1.27,1.38
TR_perfuserp_SewingJobSacanning_ContinueButtonClick,1,552,552,552,552,552,552,552,0.000%,1.65837,60.61,1.92
TR_perfusery_SewingJobSacanning_ContinueButtonClick,1,548,548,548,548,548,548,548,0.000%,1.65289,60.41,1.91
TR_SUB_perfuserf_SacanSewingJobNumberAndEnterReportingQty,1,1029,1029,1029,1029,1029,1029,1029,0.000%,.87566,1.15,1.25
TR_perfuserv_SewingJobSacanning_ContinueButtonClick,1,616,616,616,616,616,616,616,0.000%,1.49031,54.47,1.73
TR_SUB_perfusera_SacanSewingJobNumberAndEnterReportingQty,1,1350,1350,1350,1350,1350,1350,1350,0.000%,.68823,0.90,0.98
TR_perfuseru_SewingJobSacanning_ContinueButtonClick,1,746,746,746,746,746,746,746,0.000%,1.24378,45.46,1.44
TR_SUB_perfuserh_SacanSewingJobNumberAndEnterReportingQty,1,1240,1240,1240,1240,1240,1240,1240,0.000%,.74019,0.97,1.05
TR_SUB_perfuserc_SacanSewingJobNumberAndEnterReportingQty,1,1548,1548,1548,1548,1548,1548,1548,0.000%,.60241,0.79,0.86
TR_SUB_perfuserj_SacanSewingJobNumberAndEnterReportingQty,1,1182,1182,1182,1182,1182,1182,1182,0.000%,.77580,1.02,1.10
TR_perfuserae_SewingJobSacanning_ContinueButtonClick,1,1021,1021,1021,1021,1021,1021,1021,0.000%,.94429,34.51,1.09
TR_perfuserad_SewingJobSacanning_ContinueButtonClick,1,1079,1079,1079,1079,1079,1079,1079,0.000%,.89526,32.72,1.04
TR_perfuserab_SewingJobSacanning_ContinueButtonClick,1,1105,1105,1105,1105,1105,1105,1105,0.000%,.85763,31.35,0.99
TR_perfuserx_SewingJobSacanning_Pageload,1,1883,1883,1883,1883,1883,1883,1883,0.000%,.51733,6.75,0.56
TR_perfusert_SewingJobSacanning_Pageload,1,1958,1958,1958,1958,1958,1958,1958,0.000%,.49776,6.50,0.54
TR_perfuserz_SewingJobSacanning_Pageload,1,1865,1865,1865,1865,1865,1865,1865,0.000%,.52192,6.81,0.57
