Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusere_SewingJobSacanning_Pageload,1,413,413,413,413,413,413,413,0.000%,2.39808,31.30,2.60
TR_perfuserd_SewingJobSacanning_Pageload,1,427,427,427,427,427,427,427,0.000%,2.31481,30.22,2.51
TR_perfuserf_SewingJobSacanning_Pageload,1,495,495,495,495,495,495,495,0.000%,2.01613,26.32,2.19
TR_perfuserc_SewingJobSacanning_Pageload,1,556,556,556,556,556,556,556,0.000%,1.79211,23.39,1.94
TR_perfuserb_SewingJobSacanning_Pageload,1,610,610,610,610,610,610,610,0.000%,1.63399,21.33,1.77
TR_perfusera_SewingJobSacanning_Pageload,1,646,646,646,646,646,646,646,0.000%,1.54560,20.18,1.68
TR_perfusere_SewingJobSacanning_ContinueButtonClick,1,154,154,154,154,154,154,154,0.000%,6.45161,235.80,7.47
TR_perfuserg_SewingJobSacanning_Pageload,1,602,602,602,602,602,602,602,0.000%,1.65289,21.58,1.79
TR_perfuserd_SewingJobSacanning_ContinueButtonClick,1,241,241,241,241,241,241,241,0.000%,4.13223,151.03,4.79
TR_perfusera_SewingJobSacanning_ContinueButtonClick,1,140,140,140,140,140,140,140,0.000%,7.04225,257.39,8.16
TR_perfuserf_SewingJobSacanning_ContinueButtonClick,1,296,296,296,296,296,296,296,0.000%,3.36700,123.06,3.90
TR_perfuserq_SewingJobSacanning_Pageload,1,553,553,553,553,553,553,553,0.000%,1.80505,23.56,1.96
TR_perfuserL_SewingJobSacanning_Pageload,1,718,718,718,718,718,718,718,0.000%,1.38889,18.13,1.51
TR_perfuserb_SewingJobSacanning_ContinueButtonClick,1,400,400,400,400,400,400,400,0.000%,2.50000,91.37,2.90
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,1,410,410,410,410,410,410,410,0.000%,2.43902,89.14,2.82
TR_perfuseri_SewingJobSacanning_Pageload,1,906,906,906,906,906,906,906,0.000%,1.10254,14.39,1.20
TR_perfuserp_SewingJobSacanning_Pageload,1,717,717,717,717,717,717,717,0.000%,1.39276,18.18,1.51
TR_perfuserg_SewingJobSacanning_ContinueButtonClick,1,447,447,447,447,447,447,447,0.000%,2.23714,81.76,2.59
TR_perfuserk_SewingJobSacanning_Pageload,1,972,972,972,972,972,972,972,0.000%,1.02564,13.39,1.11
TR_perfusern_SewingJobSacanning_Pageload,1,903,903,903,903,903,903,903,0.000%,1.10254,14.39,1.20
TR_perfuserm_SewingJobSacanning_Pageload,1,918,918,918,918,918,918,918,0.000%,1.08696,14.19,1.18
TR_perfuserr_SewingJobSacanning_Pageload,1,776,776,776,776,776,776,776,0.000%,1.28370,16.76,1.39
TR_perfuserL_SewingJobSacanning_ContinueButtonClick,1,299,299,299,299,299,299,299,0.000%,3.34448,122.24,3.87
TR_perfuserx_SewingJobSacanning_Pageload,1,706,706,706,706,706,706,706,0.000%,1.41243,18.44,1.53
TR_perfuseraj_SewingJobSacanning_Pageload,1,408,408,408,408,408,408,408,0.000%,2.44499,31.92,2.65
TR_perfuserp_SewingJobSacanning_ContinueButtonClick,1,222,222,222,222,222,222,222,0.000%,4.50450,164.63,5.22
TR_perfuseri_SewingJobSacanning_ContinueButtonClick,1,227,227,227,227,227,227,227,0.000%,4.40529,161.01,5.10
TR_perfuserk_SewingJobSacanning_ContinueButtonClick,1,138,138,138,138,138,138,138,0.000%,7.19424,262.94,8.33
TR_perfuserr_SewingJobSacanning_ContinueButtonClick,1,190,190,190,190,190,190,190,0.000%,5.23560,191.36,6.06
TR_perfusern_SewingJobSacanning_ContinueButtonClick,1,193,193,193,193,193,193,193,0.000%,5.15464,188.40,5.97
TR_perfuseral_SewingJobSacanning_Pageload,1,480,480,480,480,480,480,480,0.000%,2.07469,27.08,2.25
TR_perfuserm_SewingJobSacanning_ContinueButtonClick,1,277,277,277,277,277,277,277,0.000%,3.59712,131.47,4.17
TR_perfuserx_SewingJobSacanning_ContinueButtonClick,1,199,199,199,199,199,199,199,0.000%,5.00000,182.74,5.79
TR_perfuseraj_SewingJobSacanning_ContinueButtonClick,1,218,218,218,218,218,218,218,0.000%,4.56621,166.89,5.29
TR_perfuserh_SewingJobSacanning_Pageload,1,1644,1644,1644,1644,1644,1644,1644,0.000%,.60790,7.94,0.66
TR_perfusers_SewingJobSacanning_Pageload,1,1387,1387,1387,1387,1387,1387,1387,0.000%,.72046,9.40,0.78
TR_perfuseral_SewingJobSacanning_ContinueButtonClick,1,811,811,811,811,811,811,811,0.000%,1.23305,45.07,1.43
TR_perfusera_SacanSewingJobNumberAndEnterReportingQty,1,1657,1657,1657,1657,1657,1657,1657,0.000%,.60241,0.79,0.86
Debug Sampler,40,0,0,1,1,1,0,1,0.000%,2.73317,3.28,0.00
TR_perfuserb_SacanSewingJobNumberAndEnterReportingQty,1,1500,1500,1500,1500,1500,1500,1500,0.000%,.66622,0.87,0.95
TR_perfuserc_SacanSewingJobNumberAndEnterReportingQty,1,1540,1540,1540,1540,1540,1540,1540,0.000%,.64851,0.84,0.92
TR_perfuserd_SacanSewingJobNumberAndEnterReportingQty,1,1837,1837,1837,1837,1837,1837,1837,0.000%,.54407,0.70,0.77
TR_perfusere_SacanSewingJobNumberAndEnterReportingQty,1,1946,1946,1946,1946,1946,1946,1946,0.000%,.51361,0.67,0.73
TR_perfuserh_SewingJobSacanning_ContinueButtonClick,1,866,866,866,866,866,866,866,0.000%,1.15340,42.16,1.34
TR_perfusers_SewingJobSacanning_ContinueButtonClick,1,872,872,872,872,872,872,872,0.000%,1.14548,41.87,1.33
TR_perfuserf_SacanSewingJobNumberAndEnterReportingQty,1,1908,1908,1908,1908,1908,1908,1908,0.000%,.52383,0.68,0.74
TR_perfuserg_SacanSewingJobNumberAndEnterReportingQty,1,1661,1661,1661,1661,1661,1661,1661,0.000%,.60132,0.79,0.86
TR_perfuserj_SewingJobSacanning_Pageload,1,2666,2666,2666,2666,2666,2666,2666,0.000%,.37481,4.89,0.41
TR_perfuseru_SewingJobSacanning_Pageload,1,2354,2354,2354,2354,2354,2354,2354,0.000%,.42445,5.54,0.46
TR_perfusert_SewingJobSacanning_Pageload,1,2414,2414,2414,2414,2414,2414,2414,0.000%,.41391,5.40,0.45
TR_perfuserv_SewingJobSacanning_Pageload,1,2351,2351,2351,2351,2351,2351,2351,0.000%,.42481,5.55,0.46
TR_perfuserp_SacanSewingJobNumberAndEnterReportingQty,1,2522,2522,2522,2522,2522,2522,2522,0.000%,.39620,0.52,0.56
TR_perfuserL_SacanSewingJobNumberAndEnterReportingQty,1,2561,2561,2561,2561,2561,2561,2561,0.000%,.39032,0.51,0.55
TR_perfuseri_SacanSewingJobNumberAndEnterReportingQty,1,2551,2551,2551,2551,2551,2551,2551,0.000%,.39139,0.50,0.56
TR_perfuserah_SewingJobSacanning_Pageload,1,3124,3124,3124,3124,3124,3124,3124,0.000%,.32000,4.18,0.35
TR_perfuserag_SewingJobSacanning_Pageload,1,3214,3214,3214,3214,3214,3214,3214,0.000%,.31104,4.06,0.34
TR_perfuserw_SewingJobSacanning_Pageload,1,3507,3507,3507,3507,3507,3507,3507,0.000%,.28506,3.72,0.31
TR_perfusery_SewingJobSacanning_Pageload,1,3458,3458,3458,3458,3458,3458,3458,0.000%,.28910,3.77,0.31
TR_perfuserab_SewingJobSacanning_Pageload,1,3298,3298,3298,3298,3298,3298,3298,0.000%,.30312,3.96,0.33
TR_perfuserz_SewingJobSacanning_Pageload,1,3397,3397,3397,3397,3397,3397,3397,0.000%,.29429,3.84,0.32
TR_perfuserq_SewingJobSacanning_ContinueButtonClick,1,3147,3147,3147,3147,3147,3147,3147,0.000%,.31776,11.61,0.37
TR_perfuseru_SewingJobSacanning_ContinueButtonClick,1,1246,1246,1246,1246,1246,1246,1246,0.000%,.80000,29.24,0.93
TR_perfuserj_SewingJobSacanning_ContinueButtonClick,1,1255,1255,1255,1255,1255,1255,1255,0.000%,.79681,29.12,0.92
TR_perfuserk_SacanSewingJobNumberAndEnterReportingQty,1,2805,2805,2805,2805,2805,2805,2805,0.000%,.35638,0.46,0.51
TR_perfusert_SewingJobSacanning_ContinueButtonClick,1,1342,1342,1342,1342,1342,1342,1342,0.000%,.74516,27.23,0.86
TR_perfusero_SewingJobSacanning_Pageload,1,3908,3908,3908,3908,3908,3908,3908,0.000%,.25575,3.34,0.28
TR_perfuserv_SewingJobSacanning_ContinueButtonClick,1,1448,1448,1448,1448,1448,1448,1448,0.000%,.68966,25.21,0.80
TR_perfuserag_SewingJobSacanning_ContinueButtonClick,1,256,256,256,256,256,256,256,0.000%,3.89105,142.22,4.51
TR_perfusera_SewingJobReport_SubmitButtonClick,1,1916,1916,1916,1916,1916,1916,1916,0.000%,.52192,2.70,1.57
TR_perfuserw_SewingJobSacanning_ContinueButtonClick,1,270,270,270,270,270,270,270,0.000%,3.70370,135.37,4.29
TR_perfuserab_SewingJobSacanning_ContinueButtonClick,1,267,267,267,267,267,267,267,0.000%,3.73134,136.38,4.33
TR_perfusery_SewingJobSacanning_ContinueButtonClick,1,267,267,267,267,267,267,267,0.000%,3.71747,135.87,4.31
TR_perfuserc_SewingJobReport_SubmitButtonClick,1,1896,1896,1896,1896,1896,1896,1896,0.000%,.52743,2.74,1.59
TR_perfuserah_SewingJobSacanning_ContinueButtonClick,1,728,728,728,728,728,728,728,0.000%,1.37174,50.14,1.59
TR_perfuserz_SewingJobSacanning_ContinueButtonClick,1,694,694,694,694,694,694,694,0.000%,1.43885,52.59,1.67
TR_perfuseraa_SewingJobSacanning_Pageload,1,4261,4261,4261,4261,4261,4261,4261,0.000%,.23463,3.06,0.25
TR_perfuserak_SewingJobSacanning_Pageload,1,4094,4094,4094,4094,4094,4094,4094,0.000%,.24426,3.19,0.27
TR_perfuserac_SewingJobSacanning_Pageload,1,4279,4279,4279,4279,4279,4279,4279,0.000%,.23348,3.05,0.25
