Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_SewingJobSacanning_Pageload,3,567,674,794,794,794,233,794,0.000%,2.10231,27.44,2.28
TR_perfuserb_SewingJobSacanning_Pageload,3,1481,1205,3041,3041,3041,199,3041,0.000%,.80021,10.45,0.87
TR_perfusera_SewingJobSacanning_ContinueButtonClick,3,783,1097,1141,1141,1141,111,1141,0.000%,1.31176,47.94,1.52
TR_perfuserc_SewingJobSacanning_Pageload,3,1250,529,3026,3026,3026,196,3026,0.000%,.82102,10.72,0.89
TR_perfuserb_SewingJobSacanning_ContinueButtonClick,3,436,309,882,882,882,117,882,0.000%,.77781,28.43,0.90
TR_perfuserd_SewingJobSacanning_Pageload,3,515,565,752,752,752,228,752,0.000%,2.48756,32.47,2.70
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,3,1133,413,2878,2878,2878,109,2878,0.000%,.77539,28.34,0.90
TR_perfusere_SewingJobSacanning_Pageload,3,1021,568,2236,2236,2236,260,2236,0.000%,1.21902,15.91,1.32
TR_perfuserf_SewingJobSacanning_Pageload,3,1339,724,3027,3027,3027,268,3027,0.000%,.81811,10.68,0.89
TR_perfuserg_SewingJobSacanning_Pageload,3,1597,703,3834,3834,3834,256,3834,0.000%,.67295,8.78,0.73
TR_perfuserf_SewingJobSacanning_ContinueButtonClick,3,583,404,1200,1200,1200,145,1200,0.000%,.78927,28.85,0.91
TR_perfusere_SewingJobSacanning_ContinueButtonClick,3,491,224,1099,1099,1099,151,1099,0.000%,1.27497,46.60,1.48
TR_perfuserd_SewingJobSacanning_ContinueButtonClick,3,810,1044,1075,1075,1075,312,1075,0.000%,1.48368,54.23,1.72
TR_perfuserg_SewingJobSacanning_ContinueButtonClick,3,510,225,1179,1179,1179,126,1179,0.000%,.69348,25.35,0.80
TR_perfuserl_SewingJobSacanning_Pageload,2,1815,458,3172,3172,3172,458,3172,0.000%,.57159,7.46,0.62
TR_perfuserj_SewingJobSacanning_Pageload,3,1800,1740,3227,3227,3227,435,3227,0.000%,.86680,11.31,0.94
TR_perfuserh_SewingJobSacanning_Pageload,3,1578,477,3782,3782,3782,476,3782,0.000%,.68166,8.90,0.74
TR_perfuserl_SewingJobSacanning_ContinueButtonClick,2,274,112,437,437,437,112,437,0.000%,.57554,21.04,0.67
TR_perfuserj_SewingJobSacanning_ContinueButtonClick,3,201,120,371,371,371,112,371,0.000%,.88391,32.31,1.02
TR_perfuserk_SewingJobSacanning_Pageload,2,1343,590,2097,2097,2097,590,2097,0.000%,.83333,10.88,0.90
TR_perfusern_SewingJobSacanning_Pageload,2,535,509,561,561,561,509,561,0.000%,2.38663,31.15,2.59
TR_perfuserm_SewingJobSacanning_Pageload,2,692,658,727,727,727,658,727,0.000%,1.89036,24.68,2.05
TR_perfuserh_SewingJobSacanning_ContinueButtonClick,3,289,241,445,445,445,183,445,0.000%,.73064,26.70,0.85
TR_perfuserk_SewingJobSacanning_ContinueButtonClick,2,209,162,257,257,257,162,257,0.000%,1.01420,37.07,1.17
TR_perfusero_SewingJobSacanning_Pageload,2,1958,821,3095,3095,3095,821,3095,0.000%,.58531,7.64,0.63
TR_perfuseri_SewingJobSacanning_Pageload,3,2805,3347,3758,3758,3758,1311,3758,0.000%,.68353,8.92,0.74
TR_perfuserc_SacanSewingJobNumberAndEnterReportingQty,3,1812,2003,2238,2238,2238,1196,2238,0.000%,.49992,0.69,0.71
Debug Sampler,40,0,0,1,1,1,0,1,0.000%,7.62340,9.16,0.00
TR_perfusera_SacanSewingJobNumberAndEnterReportingQty,3,2519,2290,3916,3916,3916,1353,3916,0.000%,.49245,0.68,0.70
TR_perfuserb_SacanSewingJobNumberAndEnterReportingQty,3,2290,2347,3213,3213,3213,1310,3213,0.000%,.49285,0.71,0.70
TR_perfuserg_SacanSewingJobNumberAndEnterReportingQty,3,1787,1530,2432,2432,2432,1401,2432,0.000%,.53258,0.72,0.76
TR_perfuserf_SacanSewingJobNumberAndEnterReportingQty,3,1958,2007,2365,2365,2365,1502,2365,0.000%,.52966,0.73,0.75
TR_perfuserd_SacanSewingJobNumberAndEnterReportingQty,3,2416,2295,3533,3533,3533,1422,3533,0.000%,.57230,0.74,0.81
TR_perfusere_SacanSewingJobNumberAndEnterReportingQty,3,2669,2878,3580,3580,3580,1549,3580,0.000%,.55845,0.73,0.79
TR_perfusern_SewingJobSacanning_ContinueButtonClick,2,1454,1078,1831,1831,1831,1078,1831,0.000%,1.09170,39.90,1.26
TR_perfusero_SewingJobSacanning_ContinueButtonClick,2,755,379,1132,1132,1132,379,1132,0.000%,.67340,24.61,0.78
TR_perfuserm_SewingJobSacanning_ContinueButtonClick,2,1391,1014,1768,1768,1768,1014,1768,0.000%,1.13058,41.32,1.31
TR_perfuseri_SewingJobSacanning_ContinueButtonClick,3,485,352,969,969,969,136,969,0.000%,.93342,34.12,1.08
TR_perfuserb_SewingJobReport_SubmitButtonClick,3,1854,1999,2571,2571,2571,993,2571,33.333%,.44274,1.31,1.34
TR_perfuserf_SewingJobReport_SubmitButtonClick,3,2071,2645,3010,3010,3010,558,3010,33.333%,.41824,1.59,1.26
TR_perfuserj_SacanSewingJobNumberAndEnterReportingQty,3,2531,1901,3829,3829,3829,1864,3829,0.000%,.52092,0.68,0.74
TR_perfuserl_SacanSewingJobNumberAndEnterReportingQty,2,2136,2113,2160,2160,2160,2113,2160,0.000%,.36503,0.47,0.52
TR_perfuserh_SacanSewingJobNumberAndEnterReportingQty,3,2316,2349,2607,2607,2607,1994,2607,0.000%,.51221,0.67,0.73
TR_perfuserk_SacanSewingJobNumberAndEnterReportingQty,2,2850,2291,3410,3410,3410,2291,3410,0.000%,.39002,0.51,0.55
TR_perfuserg_SewingJobReport_SubmitButtonClick,3,2101,2315,2676,2676,2676,1314,2676,0.000%,.43428,1.90,1.31
TR_perfusera_SewingJobReport_SubmitButtonClick,3,2466,2425,2859,2859,2859,2115,2859,0.000%,.39494,1.91,1.19
TR_perfusern_SacanSewingJobNumberAndEnterReportingQty,2,2501,2018,2984,2984,2984,2018,2984,0.000%,.57770,0.74,0.82
TR_perfusero_SacanSewingJobNumberAndEnterReportingQty,2,2052,2026,2078,2078,2078,2026,2078,0.000%,.51733,0.67,0.74
TR_perfuserc_SewingJobReport_SubmitButtonClick,3,2295,2771,2872,2872,2872,1244,2872,33.333%,.42469,1.60,1.28
TR_perfusere_SewingJobReport_SubmitButtonClick,3,2543,2353,3359,3359,3359,1917,3359,0.000%,.41783,2.17,1.26
TR_perfuserd_SewingJobReport_SubmitButtonClick,3,2697,2640,2965,2965,2965,2488,2965,0.000%,.44215,2.31,1.33
TR_perfuserj_SewingJobReport_SubmitButtonClick,3,2896,3086,3348,3348,3348,2256,3348,0.000%,.43209,2.24,1.30
TR_perfuserm_SacanSewingJobNumberAndEnterReportingQty,2,3063,2882,3245,3245,3245,2882,3245,0.000%,.61595,0.80,0.88
TR_perfuserk_SewingJobReport_SubmitButtonClick,2,2867,2495,3240,3240,3240,2495,3240,0.000%,.32895,1.72,0.99
TR_perfuseri_SacanSewingJobNumberAndEnterReportingQty,3,2299,1776,3421,3421,3421,1700,3421,0.000%,.74553,0.97,1.06
TR_perfuserl_SewingJobReport_SubmitButtonClick,2,2863,2785,2942,2942,2942,2785,2942,0.000%,.32755,1.71,0.99
TR_perfuserh_SewingJobReport_SubmitButtonClick,3,2890,2829,3205,3205,3205,2638,3205,0.000%,.44683,2.33,1.35
TR_perfusero_SewingJobReport_SubmitButtonClick,2,2585,2466,2704,2704,2704,2466,2704,0.000%,.44514,2.32,1.34
TR_perfusern_SewingJobReport_SubmitButtonClick,2,2769,2608,2930,2930,2930,2608,2930,0.000%,.49419,2.57,1.49
TR_perfuserm_SewingJobReport_SubmitButtonClick,2,2617,2214,3021,3021,3021,2214,3021,0.000%,.65985,3.43,1.99
TR_perfuseri_SewingJobReport_SubmitButtonClick,3,2880,3072,3186,3186,3186,2384,3186,0.000%,.77680,4.03,2.34
TOTAL,200,1372,1099,3086,3348,3829,0,3916,1.500%,19.73944,224.52,26.38
