Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_SewingJobSacanning_Pageload,2,1200,324,2076,2076,2076,324,2076,0.000%,.74129,9.68,0.80
TR_perfuserb_SewingJobSacanning_Pageload,2,1176,305,2047,2047,2047,305,2047,0.000%,.76075,9.93,0.82
TR_perfuserc_SewingJobSacanning_Pageload,2,430,340,520,520,520,340,520,0.000%,1.85185,24.17,2.01
TR_perfusere_SewingJobSacanning_Pageload,2,372,284,460,460,460,284,460,0.000%,1.96271,25.62,2.13
TR_perfusera_SewingJobSacanning_ContinueButtonClick,2,178,137,219,219,219,137,219,0.000%,.77042,28.16,0.89
TR_perfuserb_SewingJobSacanning_ContinueButtonClick,2,197,123,271,271,271,123,271,0.000%,.76864,28.09,0.89
TR_perfuserg_SewingJobSacanning_Pageload,2,1686,393,2980,2980,2980,393,2980,0.000%,.56338,7.35,0.61
TR_perfuserf_SewingJobSacanning_Pageload,2,1720,439,3002,3002,3002,439,3002,0.000%,.55804,7.28,0.60
TR_perfuseri_SewingJobSacanning_Pageload,2,1616,329,2903,2903,2903,329,2903,0.000%,.57455,7.50,0.62
TR_perfuserh_SewingJobSacanning_Pageload,2,1740,527,2953,2953,2953,527,2953,0.000%,.57176,7.46,0.62
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,2,235,152,318,318,318,152,318,0.000%,2.23464,81.68,2.59
TR_perfuserd_SewingJobSacanning_Pageload,2,1875,663,3088,3088,3088,663,3088,0.000%,.55203,7.21,0.60
TR_perfuserL_SewingJobSacanning_Pageload,2,2177,477,3878,3878,3878,477,3878,0.000%,.45341,5.92,0.49
TR_perfusere_SewingJobSacanning_ContinueButtonClick,2,274,184,364,364,364,184,364,0.000%,2.15517,78.77,2.50
TR_perfuserm_SewingJobSacanning_Pageload,2,2251,565,3938,3938,3938,565,3938,0.000%,.44366,5.79,0.48
TR_perfuserg_SewingJobSacanning_ContinueButtonClick,2,358,295,421,421,421,295,421,0.000%,.55804,20.40,0.65
TR_perfuserp_SewingJobSacanning_Pageload,2,2141,520,3763,3763,3763,520,3763,0.000%,.46762,6.10,0.51
