Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserb_SewingJobSacanning_Pageload,1,253,253,253,253,253,253,253,0.000%,3.93701,51.39,4.27
TR_perfuserc_SewingJobSacanning_Pageload,1,263,263,263,263,263,263,263,0.000%,3.69004,48.17,4.00
TR_perfusera_SewingJobSacanning_Pageload,1,367,367,367,367,367,367,367,0.000%,2.63852,34.44,2.86
TR_perfuserd_SewingJobSacanning_Pageload,1,206,206,206,206,206,206,206,0.000%,4.69484,61.29,5.09
TR_perfuserb_SewingJobSacanning_ContinueButtonClick,1,121,121,121,121,121,121,121,0.000%,8.26446,302.06,9.57
TR_perfusere_SewingJobSacanning_Pageload,1,245,245,245,245,245,245,245,0.000%,4.06504,53.06,4.41
TR_perfuserf_SewingJobSacanning_Pageload,1,274,274,274,274,274,274,274,0.000%,3.63636,47.47,3.94
TR_perfusera_SewingJobSacanning_ContinueButtonClick,1,254,254,254,254,254,254,254,0.000%,3.93701,143.89,4.56
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,1,261,261,261,261,261,261,261,0.000%,3.83142,140.03,4.44
TR_perfuserd_SewingJobSacanning_ContinueButtonClick,1,215,215,215,215,215,215,215,0.000%,4.65116,170.00,5.39
TR_perfuserg_SewingJobSacanning_Pageload,1,338,338,338,338,338,338,338,0.000%,2.94985,38.51,3.20
TR_perfuserj_SewingJobSacanning_Pageload,1,390,390,390,390,390,390,390,0.000%,2.55754,33.39,2.77
TR_perfuserh_SewingJobSacanning_Pageload,1,405,405,405,405,405,405,405,0.000%,2.46305,32.15,2.67
TR_perfuseri_SewingJobSacanning_Pageload,1,416,416,416,416,416,416,416,0.000%,2.39808,31.30,2.60
TR_perfuserf_SewingJobSacanning_ContinueButtonClick,1,222,222,222,222,222,222,222,0.000%,4.50450,164.63,5.22
TR_perfusere_SewingJobSacanning_ContinueButtonClick,1,410,410,410,410,410,410,410,0.000%,2.43309,88.93,2.82
TR_perfuserk_SewingJobSacanning_Pageload,1,548,548,548,548,548,548,548,0.000%,1.81488,23.69,1.97
TR_perfusern_SewingJobSacanning_Pageload,1,444,444,444,444,444,444,444,0.000%,2.24215,29.27,2.43
TR_perfuserg_SewingJobSacanning_ContinueButtonClick,1,332,332,332,332,332,332,332,0.000%,3.01205,110.09,3.49
TR_perfusero_SewingJobSacanning_Pageload,1,490,490,490,490,490,490,490,0.000%,2.03666,26.59,2.21
TR_perfuserL_SewingJobSacanning_Pageload,1,615,615,615,615,615,615,615,0.000%,1.62602,21.23,1.76
TR_perfusery_SewingJobSacanning_Pageload,1,345,345,345,345,345,345,345,0.000%,2.88184,37.62,3.12
TR_perfuserh_SewingJobSacanning_ContinueButtonClick,1,334,334,334,334,334,334,334,0.000%,2.99401,109.43,3.47
TR_perfuserj_SewingJobSacanning_ContinueButtonClick,1,344,344,344,344,344,344,344,0.000%,2.90698,106.25,3.37
TR_perfuseri_SewingJobSacanning_ContinueButtonClick,1,338,338,338,338,338,338,338,0.000%,2.94118,107.50,3.41
TR_perfuserv_SewingJobSacanning_Pageload,1,445,445,445,445,445,445,445,0.000%,2.24215,29.27,2.43
TR_perfuserk_SewingJobSacanning_ContinueButtonClick,1,215,215,215,215,215,215,215,0.000%,4.62963,169.22,5.36
TR_perfusern_SewingJobSacanning_ContinueButtonClick,1,218,218,218,218,218,218,218,0.000%,4.58716,167.66,5.31
TR_perfuserm_SewingJobSacanning_Pageload,1,779,779,779,779,779,779,779,0.000%,1.28205,16.74,1.39
TR_perfusero_SewingJobSacanning_ContinueButtonClick,1,216,216,216,216,216,216,216,0.000%,4.62963,169.22,5.36
TR_perfuserL_SewingJobSacanning_ContinueButtonClick,1,214,214,214,214,214,214,214,0.000%,4.67290,170.79,5.41
TR_perfusery_SewingJobSacanning_ContinueButtonClick,1,287,287,287,287,287,287,287,0.000%,3.48432,127.35,4.04
TR_perfuserv_SewingJobSacanning_ContinueButtonClick,1,202,202,202,202,202,202,202,0.000%,4.95050,180.94,5.73
TR_perfuserm_SewingJobSacanning_ContinueButtonClick,1,193,193,193,193,193,193,193,0.000%,5.18135,189.37,6.00
TR_perfuserah_SewingJobSacanning_Pageload,1,674,674,674,674,674,674,674,0.000%,1.47929,19.31,1.60
TR_perfuserae_SewingJobSacanning_Pageload,1,724,724,724,724,724,724,724,0.000%,1.37741,17.98,1.49
TR_perfuserd_SacanSewingJobNumberAndEnterReportingQty,1,975,975,975,975,975,975,975,0.000%,1.02249,1.34,1.45
Debug Sampler,40,0,0,0,1,1,0,1,0.000%,5.80804,6.99,0.00
TR_perfuserak_SewingJobSacanning_Pageload,1,693,693,693,693,693,693,693,0.000%,1.43885,18.78,1.56
TR_perfuseran_SewingJobSacanning_Pageload,1,601,601,601,601,601,601,601,0.000%,1.66113,21.69,1.80
TR_perfuseral_SewingJobSacanning_Pageload,1,679,679,679,679,679,679,679,0.000%,1.46843,19.17,1.59
