Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfusera_SewingJobSacanning_Pageload,1,283,283,283,283,283,283,283,0.000%,2.97619,12.13,3.23
TR_perfuserv_SewingJobSacanning_Pageload,1,223,223,223,223,223,223,223,0.000%,3.67647,14.57,3.99
TR_perfuserL_SewingJobSacanning_Pageload,1,410,410,410,410,410,410,410,0.000%,2.17391,8.89,2.36
TR_perfuseru_SewingJobSacanning_Pageload,1,429,429,429,429,429,429,429,0.000%,2.08333,8.26,2.26
TR_perfuserae_SewingJobSacanning_Pageload,1,384,384,384,384,384,384,384,0.000%,2.29885,9.11,2.49
TR_perfuserb_SewingJobSacanning_Pageload,1,509,509,509,509,509,509,509,0.000%,1.78571,7.28,1.94
TR_perfuserm_SewingJobSacanning_Pageload,1,569,569,569,569,569,569,569,0.000%,1.61031,6.59,1.75
TR_perfusera_SewingJobSacanning_ContinueButtonClick,1,396,396,396,396,396,396,396,0.000%,2.23714,22.63,2.59
TR_perfusert_SewingJobSacanning_Pageload,1,929,929,929,929,929,929,929,0.000%,1.01833,4.17,1.10
TR_perfuserag_SewingJobSacanning_Pageload,1,989,989,989,989,989,989,989,0.000%,.96246,3.82,1.04
TR_perfuserk_SewingJobSacanning_Pageload,1,1145,1145,1145,1145,1145,1145,1145,0.000%,.83682,3.42,0.91
TR_perfusern_SewingJobSacanning_Pageload,1,1178,1178,1178,1178,1178,1178,1178,0.000%,.81367,3.33,0.88
TR_perfuserae_SewingJobSacanning_ContinueButtonClick,1,787,787,787,787,787,787,787,0.000%,1.19332,12.07,1.38
TR_perfuserq_SewingJobSacanning_Pageload,1,1253,1253,1253,1253,1253,1253,1253,0.000%,.76746,3.14,0.83
TR_perfuserw_SewingJobSacanning_Pageload,1,1265,1265,1265,1265,1265,1265,1265,0.000%,.76046,3.01,0.82
TR_perfuserm_SewingJobSacanning_ContinueButtonClick,1,686,686,686,686,686,686,686,0.000%,1.35685,13.72,1.57
TR_perfuserb_SewingJobSacanning_ContinueButtonClick,1,789,789,789,789,789,789,789,0.000%,1.19190,12.06,1.38
TR_perfuserv_SewingJobSacanning_ContinueButtonClick,1,1089,1089,1089,1089,1089,1089,1089,0.000%,.87719,8.87,1.02
TR_perfuserag_SewingJobSacanning_ContinueButtonClick,1,195,195,195,195,195,195,195,0.000%,4.06504,41.12,4.71
TR_perfusern_SewingJobSacanning_ContinueButtonClick,1,288,288,288,288,288,288,288,0.000%,2.95858,29.92,3.43
TR_perfusert_SewingJobSacanning_ContinueButtonClick,1,299,299,299,299,299,299,299,0.000%,2.85714,28.90,3.31
TR_perfuserk_SewingJobSacanning_ContinueButtonClick,1,393,393,393,393,393,393,393,0.000%,2.25225,22.78,2.61
TR_perfuserq_SewingJobSacanning_ContinueButtonClick,1,295,295,295,295,295,295,295,0.000%,2.89855,29.32,3.36
TR_perfuserw_SewingJobSacanning_ContinueButtonClick,1,300,300,300,300,300,300,300,0.000%,2.85714,28.90,3.31
TR_perfuserc_SewingJobSacanning_Pageload,1,1936,1936,1936,1936,1936,1936,1936,0.000%,.50302,2.05,0.55
TR_perfuserz_SewingJobSacanning_Pageload,1,2124,2124,2124,2124,2124,2124,2124,0.000%,.45977,1.82,0.50
TR_perfuserz_SewingJobSacanning_ContinueButtonClick,1,193,193,193,193,193,193,193,0.000%,4.09836,41.46,4.75
