Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserw_SewingJobSacanning_Pageload,2,1591,232,2951,2951,2951,232,2951,0.000%,.57127,2.26,0.62
TR_perfuserah_SewingJobSacanning_Pageload,2,1661,308,3015,3015,3015,308,3015,0.000%,.56164,2.23,0.61
TR_perfuserL_SewingJobSacanning_Pageload,2,1686,333,3039,3039,3039,333,3039,0.000%,.55679,2.28,0.60
TR_perfuseraa_SewingJobSacanning_Pageload,2,2264,411,4118,4118,4118,411,4118,0.000%,.42900,1.70,0.47
TR_perfusere_SewingJobSacanning_Pageload,2,1707,475,2939,2939,2939,475,2939,0.000%,.56802,2.32,0.62
TR_perfuserp_SewingJobSacanning_Pageload,2,380,331,430,430,430,331,430,0.000%,2.27273,9.30,2.46
TR_perfusera_SewingJobSacanning_Pageload,2,2004,667,3341,3341,3341,667,3341,0.000%,.51020,2.08,0.55
TR_perfuseral_SewingJobSacanning_Pageload,2,2408,603,4213,4213,4213,603,4213,0.000%,.42043,1.67,0.46
TR_perfuseri_SewingJobSacanning_Pageload,3,1631,559,3891,3891,3891,443,3891,0.000%,.63627,2.59,0.69
TR_perfuserah_SewingJobSacanning_ContinueButtonClick,2,344,298,391,391,391,298,391,0.000%,.56370,5.70,0.65
TR_perfuserL_SewingJobSacanning_ContinueButtonClick,2,390,389,391,391,391,389,391,0.000%,.54870,5.55,0.64
TR_perfuserw_SewingJobSacanning_ContinueButtonClick,2,522,479,566,566,566,479,566,0.000%,.52206,5.28,0.60
TR_perfusert_SewingJobSacanning_Pageload,2,2328,628,4029,4029,4029,628,4029,0.000%,.43659,1.79,0.47
TR_perfuserp_SewingJobSacanning_ContinueButtonClick,2,241,187,296,296,296,187,296,0.000%,3.14465,31.81,3.64
TR_perfusere_SewingJobSacanning_ContinueButtonClick,2,297,297,298,298,298,297,298,0.000%,.59844,6.05,0.69
TR_perfuseru_SewingJobSacanning_Pageload,2,522,326,719,719,719,326,719,0.000%,2.28050,9.04,2.47
TR_perfuseraa_SewingJobSacanning_ContinueButtonClick,2,342,293,392,392,392,293,392,0.000%,.44043,4.46,0.51
TR_perfusera_SewingJobSacanning_ContinueButtonClick,2,241,194,288,288,288,194,288,0.000%,.58089,5.88,0.67
TR_perfuseraf_SewingJobSacanning_Pageload,2,723,318,1129,1129,1129,318,1129,0.000%,1.69492,6.72,1.84
TR_perfuseral_SewingJobSacanning_ContinueButtonClick,2,298,292,305,305,305,292,305,0.000%,.44883,4.54,0.52
TR_perfuseri_SewingJobSacanning_ContinueButtonClick,3,265,300,377,377,377,118,377,0.000%,.67401,6.82,0.78
TR_perfuseru_SewingJobSacanning_ContinueButtonClick,2,193,190,196,196,196,190,196,0.000%,5.74713,58.13,6.66
TR_perfuserai_SewingJobSacanning_Pageload,1,336,336,336,336,336,336,336,0.000%,2.50627,9.94,2.72
TR_perfuserr_SewingJobSacanning_Pageload,2,1706,284,3128,3128,3128,284,3128,0.000%,.62913,2.57,0.68
TR_perfuseraf_SewingJobSacanning_ContinueButtonClick,2,147,114,181,181,181,114,181,0.000%,4.21941,42.68,4.89
TR_perfuserai_SewingJobSacanning_ContinueButtonClick,1,110,110,110,110,110,110,110,0.000%,6.25000,63.23,7.24
TR_perfuserc_SewingJobSacanning_Pageload,2,2641,1148,4134,4134,4134,1148,4134,0.000%,.42617,1.74,0.46
TR_perfuserr_SewingJobSacanning_ContinueButtonClick,2,242,185,299,299,299,185,299,0.000%,.75873,7.67,0.88
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,2,162,120,205,205,205,120,205,0.000%,.53348,5.40,0.62
TR_perfuseraj_SewingJobSacanning_Pageload,1,2228,2228,2228,2228,2228,2228,2228,0.000%,.43840,1.74,0.48
TR_perfusern_SewingJobSacanning_Pageload,2,3036,2240,3832,3832,3832,2240,3832,0.000%,.44723,1.83,0.48
TR_perfuserg_SewingJobSacanning_Pageload,1,2161,2161,2161,2161,2161,2161,2161,0.000%,.45188,1.84,0.49
TR_perfusery_SewingJobSacanning_Pageload,1,2323,2323,2323,2323,2323,2323,2323,0.000%,.42141,1.67,0.46
TR_perfuserg_SewingJobSacanning_ContinueButtonClick,1,107,107,107,107,107,107,107,0.000%,6.36943,64.43,7.38
TR_perfusern_SewingJobSacanning_ContinueButtonClick,2,153,110,197,197,197,110,197,0.000%,.82474,8.34,0.96
TR_perfuseraj_SewingJobSacanning_ContinueButtonClick,1,172,172,172,172,172,172,172,0.000%,4.52489,45.78,5.25
TR_perfusery_SewingJobSacanning_ContinueButtonClick,1,125,125,125,125,125,125,125,0.000%,5.68182,57.47,6.58
TR_perfuseran_SewingJobSacanning_Pageload,1,3113,3113,3113,3113,3113,3113,3113,0.000%,.31606,1.25,0.34
TR_perfuserac_SewingJobSacanning_Pageload,1,3316,3316,3316,3316,3316,3316,3316,0.000%,.29691,1.18,0.32
TR_perfuseran_SewingJobSacanning_ContinueButtonClick,1,296,296,296,296,296,296,296,0.000%,2.89855,29.32,3.36
TR_perfuserac_SewingJobSacanning_ContinueButtonClick,1,208,208,208,208,208,208,208,0.000%,3.87597,39.21,4.49
TR_perfuserad_SewingJobSacanning_Pageload,1,3763,3763,3763,3763,3763,3763,3763,0.000%,.26212,1.04,0.28
TR_perfusert_SewingJobSacanning_ContinueButtonClick,2,2087,290,3884,3884,3884,290,3884,0.000%,.47159,4.77,0.55
TR_perfuserak_SewingJobSacanning_Pageload,1,3909,3909,3909,3909,3909,3909,3909,0.000%,.25246,1.00,0.27
TR_perfuserz_SewingJobSacanning_Pageload,1,3991,3991,3991,3991,3991,3991,3991,0.000%,.24740,0.98,0.27
TR_SUB_perfuserp_SacanSewingJobNumberAndEnterReportingQty,2,3884,3738,4031,4031,4031,3738,4031,0.000%,.48379,0.63,0.69
TR_SUB_perfuserL_SacanSewingJobNumberAndEnterReportingQty,2,2535,934,4137,4137,4137,934,4137,0.000%,.47092,0.71,0.67
TR_perfuserad_SewingJobSacanning_ContinueButtonClick,1,290,290,290,290,290,290,290,0.000%,2.94118,29.75,3.41
TR_perfuserak_SewingJobSacanning_ContinueButtonClick,1,295,295,295,295,295,295,295,0.000%,2.89017,29.24,3.35
TR_perfuserz_SewingJobSacanning_ContinueButtonClick,1,286,286,286,286,286,286,286,0.000%,2.98507,30.20,3.46
TR_perfuserL_Scanning&Reporting,2,3393,1135,5652,5652,5652,1135,5652,50.000%,.34124,0.83,1.00
TR_SUB_perfuserL_SewingJobReport_SubmitButtonClick,2,807,100,1515,1515,1515,100,1515,50.000%,1.23916,1.77,3.74
TR_perfuserp_Scanning&Reporting,2,6887,4248,9527,9527,9527,4248,9527,50.000%,.19964,0.78,0.59
TR_SUB_perfuserp_SewingJobReport_SubmitButtonClick,2,2953,117,5789,5789,5789,117,5789,50.000%,.33962,1.06,1.03
TR_SUB_perfuserr_SacanSewingJobNumberAndEnterReportingQty,2,3496,2291,4701,4701,4701,2291,4701,0.000%,.41641,0.54,0.59
TR_perfuserr_Scanning&Reporting,2,6088,4902,7275,7275,7275,4902,7275,50.000%,.20245,0.79,0.59
TR_SUB_perfuserr_SewingJobReport_SubmitButtonClick,2,2543,102,4984,4984,4984,102,4984,50.000%,.39331,1.23,1.19
TR_SUB_perfuserah_SacanSewingJobNumberAndEnterReportingQty,2,4431,2879,5984,5984,5984,2879,5984,0.000%,.32825,0.43,0.47
TR_SUB_perfusern_SacanSewingJobNumberAndEnterReportingQty,2,2999,1862,4137,4137,4137,1862,4137,0.000%,.47181,0.61,0.67
TR_perfuserah_Scanning&Reporting,2,6971,6179,7763,7763,7763,6179,7763,50.000%,.18060,0.70,0.53
TR_SUB_perfuserah_SewingJobReport_SubmitButtonClick,2,2490,96,4884,4884,4884,96,4884,50.000%,.40112,1.25,1.21
TR_perfusern_Scanning&Reporting,2,5715,4339,7092,7092,7092,4339,7092,50.000%,.20916,0.82,0.61
TR_SUB_perfusern_SewingJobReport_SubmitButtonClick,2,2663,96,5230,5230,5230,96,5230,50.000%,.37509,1.17,1.13
TR_SUB_perfuserai_SacanSewingJobNumberAndEnterReportingQty,1,5709,5709,5709,5709,5709,5709,5709,0.000%,.17209,0.22,0.24
TR_SUB_perfuseraj_SacanSewingJobNumberAndEnterReportingQty,1,4379,4379,4379,4379,4379,4379,4379,0.000%,.22292,0.29,0.32
TR_SUB_perfuseral_SacanSewingJobNumberAndEnterReportingQty,2,4610,2552,6668,6668,6668,2552,6668,0.000%,.29542,0.38,0.42
TR_perfuseral_Scanning&Reporting,2,6899,2762,11037,11037,11037,2762,11037,50.000%,.17784,0.70,0.52
TR_SUB_perfuseral_SewingJobReport_SubmitButtonClick,2,2236,104,4369,4369,4369,104,4369,50.000%,.44683,1.40,1.35
TR_SUB_perfuserak_SacanSewingJobNumberAndEnterReportingQty,1,4477,4477,4477,4477,4477,4477,4477,0.000%,.21810,0.28,0.31
TR_SUB_perfuseraf_SacanSewingJobNumberAndEnterReportingQty,2,8335,8213,8458,8458,8458,8213,8458,0.000%,.23367,0.31,0.33
TR_SUB_perfusert_SacanSewingJobNumberAndEnterReportingQty,2,4999,4845,5154,5154,5154,4845,5154,0.000%,.38059,0.50,0.54
TR_perfuseraf_Scanning&Reporting,2,11334,8416,14253,14253,14253,8416,14253,50.000%,.13836,0.54,0.41
TR_SUB_perfuseraf_SewingJobReport_SubmitButtonClick,2,2947,100,5795,5795,5795,100,5795,50.000%,.33921,1.06,1.02
TR_perfusert_Scanning&Reporting,2,7388,5352,9425,9425,9425,5352,9425,50.000%,.20137,0.79,0.59
TR_SUB_perfusert_SewingJobReport_SubmitButtonClick,2,2338,97,4580,4580,4580,97,4580,50.000%,.42735,1.33,1.29
TR_SUB_perfuserg_SacanSewingJobNumberAndEnterReportingQty,1,7572,7572,7572,7572,7572,7572,7572,0.000%,.13024,0.17,0.19
