Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserk_SewingJobSacanning_Pageload,5,4733,2603,8150,11264,11264,651,11264,20.000%,.40614,4.49,0.35
TR_perfuserc_SewingJobSacanning_Pageload,5,3232,1195,2369,10516,10516,962,10516,0.000%,.40433,5.40,0.44
TR_perfuserj_SewingJobSacanning_Pageload,5,4610,2536,8268,10287,10287,962,10287,20.000%,.44072,4.88,0.38
TR_perfuserb_SewingJobSacanning_Pageload,5,7061,7592,9779,10828,10828,1361,10828,0.000%,.39392,5.18,0.43
TR_perfuseri_SewingJobSacanning_Pageload,5,2436,1286,2925,5759,5759,1001,5759,20.000%,.78815,8.80,0.68
TR_perfusern_SewingJobSacanning_Pageload,5,6450,8864,10551,10717,10717,1001,10717,20.000%,.43305,4.88,0.38
TR_perfuserf_SewingJobSacanning_Pageload,5,3915,1467,5500,10345,10345,1002,10345,20.000%,.42405,4.74,0.37
TR_perfusero_SewingJobSacanning_Pageload,5,4664,1313,9863,10041,10041,1001,10041,20.000%,.44472,4.97,0.39
TR_perfuserh_SewingJobSacanning_Pageload,5,4277,1238,7298,10747,10747,1001,10747,20.000%,.41061,4.63,0.36
TR_perfuserk_SewingJobSacanning_ContinueButtonClick,4,2999,810,5992,5992,5992,499,5992,0.000%,.24481,8.96,0.28
TR_perfuserd_SewingJobSacanning_Pageload,5,6112,8226,8872,10708,10708,1379,10708,0.000%,.39901,5.25,0.43
TR_perfusera_SewingJobSacanning_Pageload,5,4514,2890,7410,7961,7961,1467,7961,0.000%,.58106,7.75,0.63
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,5,4769,4591,8281,9985,9985,440,9985,0.000%,.31264,11.45,0.36
TR_perfuseram_SewingJobSacanning_Pageload,5,6552,9363,10401,11014,11014,985,11014,20.000%,.41862,4.68,0.36
TR_perfuserr_SewingJobSacanning_Pageload,5,4834,2729,8983,10215,10215,1000,10215,20.000%,.44615,4.99,0.39
TR_perfuserak_SewingJobSacanning_Pageload,5,5949,7783,9585,10245,10245,1001,10245,20.000%,.44715,4.95,0.39
TR_perfuseral_SewingJobSacanning_Pageload,5,6464,9724,9884,10583,10583,1001,10583,20.000%,.44739,4.95,0.39
TR_perfuseri_SewingJobSacanning_ContinueButtonClick,4,4382,587,8389,8389,8389,363,8389,0.000%,.30028,11.00,0.35
TR_perfusern_SewingJobSacanning_ContinueButtonClick,4,3457,4293,4587,4587,4587,363,4587,0.000%,.26642,9.76,0.31
TR_perfuserx_SewingJobSacanning_Pageload,5,5334,4379,9785,10456,10456,1003,10456,20.000%,.43760,4.84,0.38
TR_perfuserf_SewingJobSacanning_ContinueButtonClick,4,3468,647,7791,7791,7791,548,7791,0.000%,.25959,9.51,0.30
TR_perfusero_SewingJobSacanning_ContinueButtonClick,4,2546,759,4571,4571,4571,565,4571,0.000%,.27198,9.96,0.32
TR_perfusert_SewingJobSacanning_Pageload,5,4166,3116,4407,11086,11086,1000,11086,20.000%,.41456,4.63,0.36
TR_perfuserh_SewingJobSacanning_ContinueButtonClick,4,2974,832,5891,5891,5891,600,5891,0.000%,.25786,9.44,0.30
TR_perfusers_SewingJobSacanning_Pageload,5,5587,4639,10002,11021,11021,1004,11021,20.000%,.40384,4.52,0.35
TR_perfusera_SewingJobSacanning_ContinueButtonClick,5,5701,5888,7996,8285,8285,553,8285,0.000%,.38700,14.17,0.45
TR_perfuserd_SewingJobSacanning_ContinueButtonClick,5,3199,4487,4579,5887,5887,466,5887,0.000%,.31975,11.71,0.37
TR_perfuseram_SewingJobSacanning_ContinueButtonClick,4,3405,4188,4390,4390,4390,653,4390,0.000%,.26074,9.55,0.30
TR_perfuseraf_SewingJobSacanning_Pageload,5,5769,5460,10042,10777,10777,1002,10777,20.000%,.42684,4.77,0.37
TR_perfuserac_SewingJobSacanning_Pageload,5,5515,4500,9905,10572,10572,1001,10572,20.000%,.42148,4.66,0.37
TR_perfuserr_SewingJobSacanning_ContinueButtonClick,4,4683,4373,8287,8287,8287,890,8287,0.000%,.27906,10.22,0.32
TR_perfuserak_SewingJobSacanning_ContinueButtonClick,4,4012,4679,5785,5785,5785,780,5785,0.000%,.27165,9.95,0.31
TR_perfuserm_SewingJobSacanning_Pageload,5,3154,2600,2674,8214,8214,1002,8214,20.000%,.57169,6.39,0.50
TR_perfusery_SewingJobSacanning_Pageload,5,5115,4234,8419,10681,10681,1001,10681,20.000%,.41729,4.66,0.36
TR_perfusere_SewingJobSacanning_Pageload,5,5125,5626,8256,8272,8272,1003,8272,20.000%,.51419,5.79,0.45
TR_perfuseral_SewingJobSacanning_ContinueButtonClick,4,3733,4591,4778,4778,4778,874,4778,0.000%,.26985,9.88,0.31
