Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TR_perfuserb_SewingJobSacanning_Pageload,1,707,707,707,707,707,707,707,0.00%,1.31579,5.36,1.43
TR_perfuserg_SewingJobSacanning_Pageload,1,647,647,647,647,647,647,647,0.00%,1.43266,5.84,1.55
TR_perfusero_SewingJobSacanning_Pageload,1,516,516,516,516,516,516,516,0.00%,1.75747,7.16,1.91
TR_perfuserp_SewingJobSacanning_Pageload,1,590,590,590,590,590,590,590,0.00%,1.55763,6.35,1.69
TR_perfuserh_SewingJobSacanning_Pageload,1,686,686,686,686,686,686,686,0.00%,1.3587,5.54,1.47
TR_appuserE_SewingJobSacanning_Pageload,1,570,570,570,570,570,570,570,0.00%,1.61031,6.59,1.74
TR_appuserG_SewingJobSacanning_Pageload,1,658,658,658,658,658,658,658,0.00%,1.41243,5.78,1.53
TR_perfuserc_SewingJobSacanning_Pageload,1,901,901,901,901,901,901,901,0.00%,1.04932,4.28,1.14
TR_perfuserr_SewingJobSacanning_Pageload,1,695,695,695,695,695,695,695,0.00%,1.34228,5.47,1.46
TR_perfuserm_SewingJobSacanning_Pageload,1,543,543,543,543,543,543,543,0.00%,1.68067,6.85,1.82
TR_perfusers_SewingJobSacanning_Pageload,1,875,875,875,875,875,875,875,0.00%,1.07991,4.4,1.17
TR_appuserEE_SewingJobSacanning_Pageload,1,566,566,566,566,566,566,566,0.00%,1.62338,6.44,1.76
TR_appuserEA_SewingJobSacanning_Pageload,1,572,572,572,572,572,572,572,0.00%,1.60256,6.35,1.74
TR_appuserCN_SewingJobSacanning_Pageload,1,529,529,529,529,529,529,529,0.00%,1.72117,6.82,1.87
TR_appuserAO_SewingJobSacanning_Pageload,1,1108,1108,1108,1108,1108,1108,1108,0.00%,0.86281,3.42,0.94
TR_perfuserb_SewingJobSacanning_ContinueButtonClick,1,589,589,589,589,589,589,589,0.00%,1.56495,15.83,1.81
TR_perfuserr_SewingJobSacanning_ContinueButtonClick,1,387,387,387,387,387,387,387,0.00%,2.28311,23.09,2.64
TR_perfuserc_SewingJobSacanning_ContinueButtonClick,1,492,492,492,492,492,492,492,0.00%,1.84502,18.66,2.14
TR_perfuserg_SewingJobSacanning_ContinueButtonClick,1,689,689,689,689,689,689,689,0.00%,1.35135,13.67,1.57
TR_appuserCF_SewingJobSacanning_Pageload,1,953,953,953,953,953,953,953,0.00%,0.99602,3.95,1.08
TR_appuserCL_SewingJobSacanning_Pageload,1,596,596,596,596,596,596,596,0.00%,1.54321,6.12,1.67
TR_appuserEA_SewingJobSacanning_ContinueButtonClick,1,445,445,445,445,445,445,445,0.00%,1.91571,19.38,2.22
TR_perfuserm_SewingJobSacanning_ContinueButtonClick,1,597,597,597,597,597,597,597,0.00%,1.54799,15.66,1.79
TR_appuserAC_SewingJobSacanning_Pageload,1,855,855,855,855,855,855,855,0.00%,1.10254,4.51,1.2
TR_appuserAO_SewingJobSacanning_ContinueButtonClick,1,671,671,671,671,671,671,671,0.00%,1.36612,13.82,1.58
TR_appuserEE_SewingJobSacanning_ContinueButtonClick,1,745,745,745,745,745,745,745,0.00%,1.21507,12.29,1.41
TR_perfuserL_SewingJobSacanning_Pageload,1,1949,1949,1949,1949,1949,1949,1949,0.00%,0.49975,2.04,0.54
TR_appuserAW_SewingJobSacanning_Pageload,1,538,538,538,538,538,538,538,0.00%,1.67224,6.63,1.81
TR_appuserAY_SewingJobSacanning_Pageload,1,636,636,636,636,636,636,636,0.00%,1.44718,5.74,1.57
TR_appuserBM_SewingJobSacanning_Pageload,1,558,558,558,558,558,558,558,0.00%,1.5674,6.21,1.7
TR_appuserCF_SewingJobSacanning_ContinueButtonClick,1,572,572,572,572,572,572,572,0.00%,1.61031,16.29,1.87
TR_appuserCL_SewingJobSacanning_ContinueButtonClick,1,584,584,584,584,584,584,584,0.00%,1.5748,15.93,1.82
TR_appuserQ_SewingJobSacanning_Pageload,1,568,568,568,568,568,568,568,0.00%,1.58983,6.5,1.72
TR_appuserAY_SewingJobSacanning_ContinueButtonClick,1,193,193,193,193,193,193,193,0.00%,4.11523,41.63,4.77
TR_appuserBY_SewingJobSacanning_Pageload,1,544,544,544,544,544,544,544,0.00%,1.65837,6.58,1.8
TR_appuserDW_SewingJobSacanning_Pageload,1,1131,1131,1131,1131,1131,1131,1131,0.00%,0.84246,3.34,0.91
TR_perfuserf_SewingJobSacanning_Pageload,1,2460,2460,2460,2460,2460,2460,2460,0.00%,0.39841,1.62,0.43
TR_appuserAW_SewingJobSacanning_ContinueButtonClick,1,379,379,379,379,379,379,379,0.00%,2.29358,23.2,2.66
TR_appuserCN_SewingJobSacanning_ContinueButtonClick,1,1183,1183,1183,1183,1183,1183,1183,0.00%,0.80645,8.16,0.93
TR_perfuserak_SewingJobSacanning_Pageload,1,509,509,509,509,509,509,509,0.00%,1.77936,7.25,1.93
TR_appuserDH_SewingJobSacanning_Pageload,1,1086,1086,1086,1086,1086,1086,1086,0.00%,0.87951,3.49,0.95
TR_perfusern_SewingJobSacanning_Pageload,1,500,500,500,500,500,500,500,0.00%,1.81818,7.41,1.97
TR_appuserQ_SewingJobSacanning_ContinueButtonClick,1,299,299,299,299,299,299,299,0.00%,2.85714,28.9,3.31
TR_appuserCB_SewingJobSacanning_Pageload,1,567,567,567,567,567,567,567,0.00%,1.56495,6.2,1.7
TR_perfuserf_SewingJobSacanning_ContinueButtonClick,1,285,285,285,285,285,285,285,0.00%,2.97619,30.1,3.45
TR_appuserBY_SewingJobSacanning_ContinueButtonClick,1,292,292,292,292,292,292,292,0.00%,2.92398,29.58,3.39
TR_appuserDH_SewingJobSacanning_ContinueButtonClick,1,288,288,288,288,288,288,288,0.00%,2.94985,29.84,3.42
TR_perfuserak_SewingJobSacanning_ContinueButtonClick,1,292,292,292,292,292,292,292,0.00%,2.92398,29.58,3.39
TR_perfusern_SewingJobSacanning_ContinueButtonClick,1,290,290,290,290,290,290,290,0.00%,2.93255,29.66,3.4
TR_appuserDW_SewingJobSacanning_ContinueButtonClick,1,393,393,393,393,393,393,393,0.00%,2.25734,22.84,2.61
TR_perfuserq_SewingJobSacanning_Pageload,1,2744,2744,2744,2744,2744,2744,2744,0.00%,0.35765,1.46,0.39
TR_perfuserd_SewingJobSacanning_Pageload,1,2942,2942,2942,2942,2942,2942,2942,0.00%,0.33411,1.36,0.36
TR_perfusera_SewingJobSacanning_Pageload,1,3032,3032,3032,3032,3032,3032,3032,0.00%,0.32373,1.32,0.35
TR_appuserB_SewingJobSacanning_Pageload,1,2972,2972,2972,2972,2972,2972,2972,0.00%,0.33091,1.35,0.36
TR_appuserCB_SewingJobSacanning_ContinueButtonClick,1,296,296,296,296,296,296,296,0.00%,2.88184,29.15,3.34
TR_perfusera_SewingJobSacanning_ContinueButtonClick,1,104,104,104,104,104,104,104,0.00%,5.2356,52.96,6.06
TR_perfuserd_SewingJobSacanning_ContinueButtonClick,1,136,136,136,136,136,136,136,0.00%,4.44444,44.96,5.15
TR_perfuserq_SewingJobSacanning_ContinueButtonClick,1,137,137,137,137,137,137,137,0.00%,4.14938,41.97,4.81
TR_appuserB_SewingJobSacanning_ContinueButtonClick,1,116,116,116,116,116,116,116,0.00%,6.0241,60.93,6.97
TR_appuserC_SewingJobSacanning_Pageload,1,4129,4129,4129,4129,4129,4129,4129,0.00%,0.23923,0.98,0.26
TR_appuserI_SewingJobSacanning_Pageload,1,3930,3930,3930,3930,3930,3930,3930,0.00%,0.25113,1.03,0.27
TR_appuserAP_SewingJobSacanning_Pageload,1,4179,4179,4179,4179,4179,4179,4179,0.00%,0.23646,0.94,0.26
TR_perfuserj_SewingJobSacanning_Pageload,1,4175,4175,4175,4175,4175,4175,4175,0.00%,0.23669,0.96,0.26
TR_appuserDQ_SewingJobSacanning_Pageload,1,4326,4326,4326,4326,4326,4326,4326,0.00%,0.22852,0.91,0.25
TR_perfusere_SewingJobSacanning_Pageload,1,4467,4467,4467,4467,4467,4467,4467,0.00%,0.22139,0.9,0.24
TR_appuserA_SewingJobSacanning_Pageload,1,4571,4571,4571,4571,4571,4571,4571,0.00%,0.21636,0.88,0.23
TR_appuserH_SewingJobSacanning_Pageload,1,4353,4353,4353,4353,4353,4353,4353,0.00%,0.22712,0.93,0.25
TR_appuserI_SewingJobSacanning_ContinueButtonClick,1,383,383,383,383,383,383,383,0.00%,2.29885,23.25,2.66
TR_appuserC_SewingJobSacanning_ContinueButtonClick,1,393,393,393,393,393,393,393,0.00%,2.25225,22.78,2.61
TR_appuserAP_SewingJobSacanning_ContinueButtonClick,1,394,394,394,394,394,394,394,0.00%,2.25225,22.78,2.61
TR_perfuserj_SewingJobSacanning_ContinueButtonClick,1,394,394,394,394,394,394,394,0.00%,2.25734,22.83,2.61
TR_perfusere_SewingJobSacanning_ContinueButtonClick,1,201,201,201,201,201,201,201,0.00%,3.96825,40.14,4.6
TR_appuserDQ_SewingJobSacanning_ContinueButtonClick,1,212,212,212,212,212,212,212,0.00%,3.81679,38.61,4.42
TR_appuserH_SewingJobSacanning_ContinueButtonClick,1,124,124,124,124,124,124,124,0.00%,5.71429,57.8,6.61
TR_appuserA_SewingJobSacanning_ContinueButtonClick,1,127,127,127,127,127,127,127,0.00%,5.61798,56.82,6.5
TR_appuserD_SewingJobSacanning_Pageload,1,4893,4893,4893,4893,4893,4893,4893,0.00%,0.20198,0.83,0.22
TR_perfusery_SewingJobSacanning_Pageload,1,5130,5130,5130,5130,5130,5130,5130,0.00%,0.18907,0.77,0.2
TR_perfuserv_SewingJobSacanning_Pageload,1,5293,5293,5293,5293,5293,5293,5293,0.00%,0.18713,0.76,0.2
TR_appuserR_SewingJobSacanning_Pageload,1,5364,5364,5364,5364,5364,5364,5364,0.00%,0.18464,0.76,0.2
TR_perfuserab_SewingJobSacanning_Pageload,1,5157,5157,5157,5157,5157,5157,5157,0.00%,0.19201,0.78,0.21
TR_perfuserk_SewingJobSacanning_Pageload,1,5560,5560,5560,5560,5560,5560,5560,0.00%,0.17825,0.73,0.19
TR_appuserM_SewingJobSacanning_Pageload,1,5386,5386,5386,5386,5386,5386,5386,0.00%,0.18392,0.75,0.2
TR_appuserCC_SewingJobSacanning_Pageload,1,5420,5420,5420,5420,5420,5420,5420,0.00%,0.18278,0.72,0.2
TR_perfuserw_SewingJobSacanning_Pageload,1,5216,5216,5216,5216,5216,5216,5216,0.00%,0.18577,0.76,0.2
TR_appuserCE_SewingJobSacanning_Pageload,1,5586,5586,5586,5586,5586,5586,5586,0.00%,0.17662,0.7,0.19
TR_appuserN_SewingJobSacanning_Pageload,1,5581,5581,5581,5581,5581,5581,5581,0.00%,0.17759,0.73,0.19
TR_perfuseraa_SewingJobSacanning_Pageload,1,5515,5515,5515,5515,5515,5515,5515,0.00%,0.17643,0.72,0.19
TR_perfuserae_SewingJobSacanning_Pageload,1,5454,5454,5454,5454,5454,5454,5454,0.00%,0.18165,0.74,0.2
